forecast,n,brier,log_loss,accuracy_50,mean_predicted,observed_rate,probability_sd,calibration_gap,ece,brier_improvement_vs_model,log_loss_improvement_vs_model,note
EXACT_CURRENT_MODEL,2483,0.2447600700601806,0.6826697435205488,0.5666532420459122,0.5549920017416274,0.5739025372533226,0.0723662632336114,-0.018910535511695192,0.03127318550391064,0.0,0.0,frozen probabilities
FIXED_PRIOR_STRICT_FAMILY_RATE,2483,0.24454169480551188,0.6821905980657291,0.5739025372533226,0.5757135640313209,0.5739025372533226,1.1102230246251565e-16,0.0018110267779982703,0.0018110267779982703,0.00021837525466872343,0.00047914545481964055,rate frozen from pre-Aug3 strict partial-provenance rows
LEAVE_ONE_DATE_OUT_RATE,2483,0.24477772151916566,0.6826734773658296,0.5739025372533226,0.5739561181748548,0.5739025372533226,0.003544993572375614,5.3580921532181414e-05,5.3580921532181414e-05,-1.7651458985051827e-05,-3.733845280851078e-06,cross-fitted date-excluded rate
