category,n,share,binomial_bootstrap_ci_low,binomial_bootstrap_ci_high
both_correct,205,0.45154185022026433,0.40748898678414097,0.5
both_wrong,146,0.32158590308370044,0.2775330396475771,0.3656387665198238
proppadia_only_correct,54,0.11894273127753303,0.09030837004405286,0.14977973568281938
betonline_only_correct,49,0.10792951541850221,0.08149779735682819,0.13656387665198239
