band,n,proppadia_brier,betonline_brier,observed_rate,model_closer,market_closer,ties
LT2_5,106,0.2545638828555182,0.25491216980521914,0.5660377358490566,50,56,0
2_5_4_99,89,0.24379681871244122,0.24337520992929285,0.5617977528089888,42,47,0
5_7_49,91,0.23592779483712953,0.23685529968219918,0.5714285714285714,44,47,0
7_5_9_99,57,0.24647418599291931,0.2371584142344959,0.6140350877192983,24,33,0
10_14_99,82,0.25562551703809855,0.25685218163054996,0.524390243902439,39,43,0
GE15,29,0.24886116650032214,0.29287450737132664,0.41379310344827586,17,12,0
