band,n,brier,log_loss,accuracy_50,mean_predicted,observed_rate,probability_sd,calibration_gap,observed_rate_ci_low,observed_rate_ci_high
Q1_LOW,588,0.25393862564391717,0.7011558384913705,0.48639455782312924,0.4561534058845507,0.5136054421768708,0.030577763235407427,-0.05745203629232004,0.47058311129329783,0.5601670613282353
Q2,520,0.2462693012312661,0.6856741313935931,0.575,0.5250528588129372,0.5788461538461539,0.012899656287524909,-0.053793295033216726,0.5557809330628803,0.6040908932065977
Q3,500,0.24477096437063586,0.6826507677632354,0.572,0.5671314121629237,0.572,0.010809962073807399,-0.0048685878370762214,0.5415776281960181,0.601161336194978
Q4,495,0.23768506863244263,0.6682340732225442,0.6060606060606061,0.6100205420070552,0.6060606060606061,0.011802248732566528,0.003959935946449167,0.5586056231003039,0.6517513160906386
Q5_HIGH,380,0.23769398495307806,0.6687830044135554,0.6210526315789474,0.6612462544912199,0.6210526315789474,0.020923592664227546,0.040193622912272464,0.577638412936389,0.6595264794572182
TOP_DECILE,323,0.23684008109332805,0.6670954280146378,0.6253869969040248,0.6656018532035406,0.6253869969040248,0.01967614758064766,0.04021485629951582,0.5729133702531646,0.6749328512396695
