metric,point_estimate,ci_low,ci_high,cluster,replicates
brier,0.2447600700601806,0.24125535727538405,0.24861092058555273,date,2000
log_loss,0.6826697435205488,0.6754811266941928,0.6905765721869139,date,2000
ece,0.03127318550391064,0.018243093956722228,0.05067006992643949,date,2000
calibration_gap,-0.018910535511695192,-0.037211140467137055,0.0009032924872871007,date,2000
brier_improvement_vs_fixed_baseline,-0.00021837525466872343,-0.003743339219490942,0.0028849846688370645,date,2000
