population,dimension,segment,rows,dates,predicted_win_rate,actual_win_rate,calibration_gap,ROI,contribution_to_underperformance
BROAD_EVER_POSITIVE,snapshot_timing,first positive / first confirmed-lineup qualifying observation,299,13,0.41750101615774665,0.3612040133779264,0.05629700277982025,-0.14143965881463882,-16.83280383116625
BROAD_EVER_POSITIVE,edge,3–5 pp,61,13,0.42661224947708576,0.3442622950819672,0.08234995439511855,-0.15967213114754095,-5.0233472181022325
BROAD_EVER_POSITIVE,edge,2–3 pp,44,11,0.4273858818999811,0.3181818181818182,0.10920406371816294,-0.2725379069645124,-4.804978803599168
BROAD_EVER_POSITIVE,edge,>0–1 pp,100,13,0.40382063541957947,0.46,-0.056179364580420554,0.08171209920861551,5.61793645804205
BROAD_EVER_POSITIVE,edge,1–2 pp,65,12,0.41294600104652235,0.2923076923076923,0.12063830873883002,-0.3086153846153847,-7.841490068023953
BROAD_EVER_POSITIVE,edge,5+ pp,29,11,0.44072152412010124,0.27586206896551724,0.164859455154584,-0.2989655172413794,-4.780924199482938
BROAD_EVER_POSITIVE,probability,35–39.99%,87,13,0.3800627402331675,0.367816091954023,0.012246648279144512,-0.06172413793103446,-1.0654584002855603
BROAD_EVER_POSITIVE,probability,40–44.99%,162,13,0.42372809876147804,0.38271604938271603,0.04101204937876202,-0.09944444444444442,-6.643951999359462
BROAD_EVER_POSITIVE,probability,50%+,9,9,0.5190228333421003,0.3333333333333333,0.185689500008767,-0.37125908577608524,-1.6712055000789034
BROAD_EVER_POSITIVE,probability,45–49.99%,35,13,0.46761523538589733,0.3142857142857143,0.15332952110018305,-0.3276893203883495,-5.366533238506408
BROAD_EVER_POSITIVE,probability,<35%,6,3,0.3476091154893178,0.0,0.3476091154893178,-1.0,-2.0856546929359068
BROAD_EVER_POSITIVE,odds,+150 to +199,93,13,0.38470198652533616,0.26881720430107525,0.11588478222426091,-0.2911827956989248,-10.777284746856244
BROAD_EVER_POSITIVE,odds,+100 to +149,197,13,0.42874501617001404,0.4010152284263959,0.027729787743618117,-0.07025380710659895,-5.4627681854927275
BROAD_EVER_POSITIVE,odds,favorite,9,9,0.5103056554241412,0.4444444444444444,0.06586121097969677,-0.15227310950855555,-0.5927508988172712
BROAD_EVER_POSITIVE,batting_order,1–3,221,13,0.427693455921157,0.36199095022624433,0.06570250569491265,-0.1533052397537421,-14.520253758575693
BROAD_EVER_POSITIVE,batting_order,4–6,75,12,0.3894615487357777,0.36,0.02946154873577772,-0.10693333333333338,-2.2096161551833244
BROAD_EVER_POSITIVE,batting_order,7–9,3,2,0.36764463913574247,0.3333333333333333,0.03431130580240915,-0.12999999999999998,-0.10293391740722735
BROAD_EVER_POSITIVE,strict_prior_pa,100–199,41,7,0.4023933870359441,0.2926829268292683,0.1097104602066758,-0.29469680017901095,-4.498128868473708
BROAD_EVER_POSITIVE,strict_prior_pa,300+,247,13,0.42056090967179866,0.3805668016194332,0.039994108052365474,-0.09788619100501035,-9.87854468893425
BROAD_EVER_POSITIVE,strict_prior_pa,200–299,11,6,0.40510275215984487,0.18181818181818182,0.22328457034166305,-0.5481818181818181,-2.4561302737582937
BROAD_EVER_POSITIVE,feature_state,COMPLETE,266,13,0.41889298736415886,0.3684210526315789,0.05047193473257994,-0.12375146307608105,-13.425534638866248
BROAD_EVER_POSITIVE,feature_state,unavailable,33,1,0.40628088461515144,0.30303030303030304,0.1032505815848484,-0.2840172365860439,-3.4072691923
BROAD_FINAL_PREGAME_POSITIVE,snapshot_timing,final pregame,237,13,0.41916932558882475,0.33755274261603374,0.08161658297279101,-0.19962563607415945,-19.343130164551443
BROAD_FINAL_PREGAME_POSITIVE,edge,3–5 pp,51,13,0.4339578768369809,0.3333333333333333,0.10062454350364758,-0.19686274509803922,-5.131851718686031
BROAD_FINAL_PREGAME_POSITIVE,edge,2–3 pp,36,11,0.4277340345163596,0.4166666666666667,0.011067367849692922,-0.03865744184551522,-0.3984252425889423
BROAD_FINAL_PREGAME_POSITIVE,edge,1–2 pp,68,13,0.41191888125181686,0.3088235294117647,0.10309535184005214,-0.26352941176470585,-7.010483925123541
BROAD_FINAL_PREGAME_POSITIVE,edge,5+ pp,18,11,0.43908836159461323,0.2222222222222222,0.21686613937239102,-0.4555555555555555,-3.9035905087030374
BROAD_FINAL_PREGAME_POSITIVE,edge,>0–1 pp,64,12,0.40466841827265443,0.359375,0.04529341827265443,-0.1524938725490196,-2.898778769449883
BROAD_FINAL_PREGAME_POSITIVE,probability,35–39.99%,65,13,0.3801330086011398,0.3230769230769231,0.057056085524216704,-0.17292307692307685,-3.708645559074083
BROAD_FINAL_PREGAME_POSITIVE,probability,40–44.99%,131,13,0.42475740870416234,0.366412213740458,0.05834519496370433,-0.1409923664122138,-7.643220540245277
BROAD_FINAL_PREGAME_POSITIVE,probability,45–49.99%,31,13,0.4672587431109416,0.2903225806451613,0.1769361624657803,-0.3683744465528147,-5.485021036439189
BROAD_FINAL_PREGAME_POSITIVE,probability,50%+,6,6,0.5197262426977395,0.3333333333333333,0.18639290936440617,-0.363611317739758,-1.1183574561864376
BROAD_FINAL_PREGAME_POSITIVE,probability,<35%,4,2,0.3469713931516129,0.0,0.3469713931516129,-1.0,-1.3878855726064516
BROAD_FINAL_PREGAME_POSITIVE,odds,+150 to +199,70,13,0.38523222988733014,0.2571428571428571,0.12808937274447302,-0.32757142857142857,-8.966256092113113
BROAD_FINAL_PREGAME_POSITIVE,odds,+100 to +149,161,13,0.4304486452653039,0.36645962732919257,0.06398901793611134,-0.1501863354037267,-10.302231887713965
BROAD_FINAL_PREGAME_POSITIVE,odds,favorite,6,6,0.5124403641207262,0.5,0.012440364120726244,-0.03354595826263392,-0.0746421847243578
BROAD_FINAL_PREGAME_POSITIVE,batting_order,1–3,177,13,0.42869871824951705,0.3333333333333333,0.09536538491618374,-0.22108065395240561,-16.879673130164505
BROAD_FINAL_PREGAME_POSITIVE,batting_order,4–6,58,12,0.39207090781947024,0.3448275862068966,0.04724332161257366,-0.15258620689655175,-2.740112653529266
BROAD_FINAL_PREGAME_POSITIVE,batting_order,7–9,2,2,0.36167219042882875,0.5,-0.13832780957117125,0.33499999999999996,0.27665561914234255
BROAD_FINAL_PREGAME_POSITIVE,strict_prior_pa,100–199,38,6,0.4041957547478097,0.2894736842105263,0.1147220705372834,-0.3087518107194591,-4.359438680416773
BROAD_FINAL_PREGAME_POSITIVE,strict_prior_pa,300+,190,13,0.42242797446150926,0.3526315789473684,0.06979639551414085,-0.1652563523275597,-13.261315147686718
BROAD_FINAL_PREGAME_POSITIVE,strict_prior_pa,200–299,9,5,0.41359737071643843,0.2222222222222222,0.19137514849421622,-0.46444444444444444,-1.7223763364479465
BROAD_FINAL_PREGAME_POSITIVE,feature_state,COMPLETE,204,13,0.4212542204522131,0.3431372549019608,0.07811696555025233,-0.18597405363841346,-15.935860972251444
BROAD_FINAL_PREGAME_POSITIVE,feature_state,unavailable,33,1,0.40628088461515144,0.30303030303030304,0.1032505815848484,-0.2840172365860439,-3.4072691923
ALL,pitcher_context,NOT_PRESERVED_COMPARABLY,0,0,,,,,
ALL,hitter_context,NOT_PRESERVED_COMPARABLY,0,0,,,,,
ALL,incumbent_agreement,NOT_PRESERVED_COMPARABLY,0,0,,,,,
