era,population,rows,dates,wins,losses,win_rate,average_odds,units,ROI,average_ubo5_probability,expected_wins,actual_minus_expected,Brier_score,log_loss,average_edge_pp
PRE_OBSERVATION_HISTORICAL,BROAD_EVER_POSITIVE,260,12,95,165,0.36538461538461536,132.72692307692307,-34.13788917823756,-0.13129957376245213,0.4191904025352548,108.98950465916624,-13.989504659166244,0.2364330403082383,0.665722804045836,2.292324393521322
LIVE_STALE_HISTORY_ERA,BROAD_EVER_POSITIVE,39,1,13,26,0.3333333333333333,139.05128205128204,-8.152568807339447,-0.2090402258292166,0.40623844030769224,15.843299171999998,-2.8432991719999983,0.22343820367618022,0.6392965225021465,1.8193052873717948
LIVE_REPAIRED_HISTORY_ERA,BROAD_EVER_POSITIVE,0,0,0,0,,,,,,,,,,
PRE_OBSERVATION_HISTORICAL,BROAD_FINAL_PREGAME_POSITIVE,198,12,67,131,0.3383838383838384,132.35353535353536,-39.15870694223634,-0.19777124718301184,0.4217163181441993,83.49983099255147,-16.499830992551466,0.23243571535990734,0.6576471069032942,2.3227652978499878
LIVE_STALE_HISTORY_ERA,BROAD_FINAL_PREGAME_POSITIVE,39,1,13,26,0.3333333333333333,139.05128205128204,-8.152568807339447,-0.2090402258292166,0.40623844030769224,15.843299171999998,-2.8432991719999983,0.22343820367618022,0.6392965225021465,1.8193052873717948
LIVE_REPAIRED_HISTORY_ERA,BROAD_FINAL_PREGAME_POSITIVE,0,0,0,0,,,,,,,,,,
