period,evidence_class,model_key,model_identity,model_hash,point_summary,games,mean_point_forecast,mean_actual,actual_minus_forecast_bias,mae,rmse,median_absolute_error,exact_total_hit_rate,within_1_run_rate,within_2_runs_rate,exact_hit_rate_interpretation,full_distribution_metrics_attached_once,crps,ladder_brier,ladder_log_loss,ladder_ece,distribution_metrics_contract
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEDIAN,1281,8.410616705698672,8.989851678376269,0.5792349726775956,3.5378610460577673,4.53505730180768,3.0,0.0897736143637783,0.2724434035909446,0.4309133489461358,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MODE,1281,7.2989851678376265,8.989851678376269,1.6908665105386418,3.647150663544106,4.803719610064219,3.0,0.09601873536299765,0.2685402029664325,0.44808743169398907,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,MEAN,439,8.266052304145697,8.927107061503417,0.6610547573577193,3.6782613120044236,4.68092949277268,3.205711027258932,0.0,0.17084282460136674,0.3439635535307517,CONTINUOUS_MEAN_EXACT_HIT_NOT_OPERATIONALLY_MEANINGFUL,True,2.6022766473304486,0.23053602911161053,0.6543558561017102,0.04390562249268724,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,MEDIAN,439,7.71753986332574,8.927107061503417,1.2095671981776766,3.6879271070615034,4.8081650372108635,3.0,0.0979498861047836,0.29157175398633256,0.40774487471526194,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,MODE,439,6.683371298405467,8.927107061503417,2.2437357630979498,3.861047835990888,5.175067263766747,3.0,0.11845102505694761,0.27790432801822323,0.45558086560364464,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEAN,439,8.935911733124916,8.927107061503417,-0.00880467162149965,3.765376544507537,4.644464224923119,3.3691256393977564,0.0,0.1366742596810934,0.3097949886104784,CONTINUOUS_MEAN_EXACT_HIT_NOT_OPERATIONALLY_MEANINGFUL,True,2.5806708933979086,0.22910305392378177,0.6502306762616394,0.025919568753067463,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEDIAN,439,8.387243735763098,8.927107061503417,0.5398633257403189,3.6742596810933943,4.683854884936499,3.0,0.08428246013667426,0.2460136674259681,0.4123006833712984,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MODE,439,7.277904328018224,8.927107061503417,1.6492027334851935,3.6719817767653757,4.924024133513763,3.0,0.12300683371298406,0.30751708428246016,0.44874715261959,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,MEAN,126,8.052118735711762,8.61111111111111,0.558992375399351,3.265726718124754,4.092129493546904,2.691570058593833,0.0,0.16666666666666666,0.3888888888888889,CONTINUOUS_MEAN_EXACT_HIT_NOT_OPERATIONALLY_MEANINGFUL,True,2.3138777181992336,0.22434798471609654,0.6408382598645951,0.06835425792700746,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,MEDIAN,126,7.476190476190476,8.61111111111111,1.1349206349206349,3.3253968253968256,4.23046396945127,2.5,0.10317460317460317,0.25396825396825395,0.5,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,MODE,126,6.428571428571429,8.61111111111111,2.1825396825396823,3.5952380952380953,4.611063300574474,3.0,0.07936507936507936,0.29365079365079366,0.4126984126984127,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEAN,126,8.766445394628924,8.61111111111111,-0.15533428351781042,3.27124467203617,4.047216838694606,3.143215951199439,0.0,0.1984126984126984,0.36507936507936506,CONTINUOUS_MEAN_EXACT_HIT_NOT_OPERATIONALLY_MEANINGFUL,True,2.2785095216433855,0.21963848293349914,0.6299698474858353,0.022041251047548994,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEDIAN,126,8.23015873015873,8.61111111111111,0.38095238095238093,3.2698412698412698,4.084426481470769,3.0,0.05555555555555555,0.3253968253968254,0.42857142857142855,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MODE,126,7.111111111111111,8.61111111111111,1.5,3.373015873015873,4.348873234838929,3.0,0.14285714285714285,0.23809523809523808,0.47619047619047616,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
