period,evidence_class,model_key,model_identity,mean_mae,median_mae,median_minus_mean_mae,median_reduces_mae,mean_bias,median_bias,median_minus_mean_bias,mean_mean_minus_median_gap,operational_interpretation
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,3.597206636166537,3.5787094122482532,-0.0184972239182839,True,0.21504740002206743,0.7451705713111385,0.530123171289071,0.530123171289071,MEDIAN_IS_L1_OPTIMAL_TYPICAL_INTEGER_TOTAL_MEAN_REMAINS_EXPECTATION
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,3.6157122846687173,3.5774763666255653,-0.03823591804315196,True,-0.0915221438093045,0.47513357994245786,0.5666557237517623,0.5666557237517624,MEDIAN_IS_L1_OPTIMAL_TYPICAL_INTEGER_TOTAL_MEAN_REMAINS_EXPECTATION
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,3.5209459692414056,3.5565964090554254,0.03565043981401983,False,0.5774332448470871,1.1053864168618266,0.5279531720147395,0.5279531720147395,MEDIAN_IS_L1_OPTIMAL_TYPICAL_INTEGER_TOTAL_MEAN_REMAINS_EXPECTATION
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,3.5549530763792703,3.5378610460577673,-0.01709203032150297,True,0.01306059625846816,0.5792349726775956,0.5661743764191275,0.5661743764191276,MEDIAN_IS_L1_OPTIMAL_TYPICAL_INTEGER_TOTAL_MEAN_REMAINS_EXPECTATION
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,3.6782613120044236,3.6879271070615034,0.009665795057079762,False,0.6610547573577193,1.2095671981776766,0.5485124408199572,0.5485124408199572,MEDIAN_IS_L1_OPTIMAL_TYPICAL_INTEGER_TOTAL_MEAN_REMAINS_EXPECTATION
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,3.765376544507537,3.6742596810933943,-0.09111686341414282,True,-0.00880467162149965,0.5398633257403189,0.5486679973618186,0.5486679973618185,MEDIAN_IS_L1_OPTIMAL_TYPICAL_INTEGER_TOTAL_MEAN_REMAINS_EXPECTATION
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,3.265726718124754,3.3253968253968256,0.05967010727207178,False,0.558992375399351,1.1349206349206349,0.5759282595212839,0.5759282595212839,MEDIAN_IS_L1_OPTIMAL_TYPICAL_INTEGER_TOTAL_MEAN_REMAINS_EXPECTATION
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,3.27124467203617,3.2698412698412698,-0.0014034021949003161,True,-0.15533428351781042,0.38095238095238093,0.5362866644701914,0.5362866644701914,MEDIAN_IS_L1_OPTIMAL_TYPICAL_INTEGER_TOTAL_MEAN_REMAINS_EXPECTATION
