row_type,period,block_type,excluded_block,contrast,metric,remaining_games,candidate_metric,reference_metric,candidate_minus_reference,favors_c,POINT_SUMMARY_ROBUSTNESS,min_candidate_minus_reference,max_candidate_minus_reference,delta_sign_changes,fraction_blocks_favoring_c
LEAVE_TIME_BLOCK_OUT,2026_SEQUENTIAL_EARLY,CALENDAR_MONTH,2026-05,C_MEDIAN_MINUS_CONTROL_CURRENT_MEAN_MAE,MAE,862,3.5754060324825985,3.559769617208145,0.015636415274453253,False,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_SEQUENTIAL_EARLY,CALENDAR_MONTH,2026-06,C_MEDIAN_MINUS_CONTROL_CURRENT_MEAN_MAE,MAE,887,3.5467869222096957,3.528929956760002,0.017856965449693618,False,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_SEQUENTIAL_EARLY,CALENDAR_MONTH,2026-03,C_MEDIAN_MINUS_CONTROL_MEDIAN_MAE,MAE,1205,3.530290456431535,3.55103734439834,-0.020746887966804906,True,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_SEQUENTIAL_EARLY,CALENDAR_MONTH,2026-04,C_MEDIAN_MINUS_CONTROL_MEDIAN_MAE,MAE,889,3.5028121484814396,3.517435320584927,-0.014623172103487292,True,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_SEQUENTIAL_EARLY,CALENDAR_MONTH,2026-05,C_MEDIAN_MINUS_CONTROL_MEDIAN_MAE,MAE,862,3.5754060324825985,3.617169373549884,-0.04176334106728552,True,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_SEQUENTIAL_EARLY,CALENDAR_MONTH,2026-06,C_MEDIAN_MINUS_CONTROL_MEDIAN_MAE,MAE,887,3.5467869222096957,3.544532130777903,0.0022547914317927464,False,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_SEQUENTIAL_EARLY,CALENDAR_MONTH,2026-03,C_MEAN_MINUS_CONTROL_MEAN_RMSE,RMSE,1205,4.479832255102495,4.502054596136897,-0.02222234103440268,True,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_SEQUENTIAL_EARLY,CALENDAR_MONTH,2026-04,C_MEAN_MINUS_CONTROL_MEAN_RMSE,RMSE,889,4.468937901401863,4.487255925137526,-0.018318023735663047,True,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_SEQUENTIAL_EARLY,CALENDAR_MONTH,2026-05,C_MEAN_MINUS_CONTROL_MEAN_RMSE,RMSE,862,4.54226712634236,4.585406202142943,-0.04313907580058274,True,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_SEQUENTIAL_EARLY,CALENDAR_MONTH,2026-06,C_MEAN_MINUS_CONTROL_MEAN_RMSE,RMSE,887,4.426820086735756,4.42894269678052,-0.002122610044763995,True,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_LATE_HOLDOUT,CALENDAR_MONTH,2026-07,C_MEDIAN_MINUS_CONTROL_CURRENT_MEAN_MAE,MAE,68,3.5294117647058822,3.512594534098905,0.01681723060697715,False,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_LATE_HOLDOUT,CALENDAR_MONTH,2026-08,C_MEDIAN_MINUS_CONTROL_CURRENT_MEAN_MAE,MAE,371,3.700808625336927,3.70862611226743,-0.007817486930503215,True,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_LATE_HOLDOUT,CALENDAR_MONTH,2026-07,C_MEDIAN_MINUS_CONTROL_MEDIAN_MAE,MAE,68,3.5294117647058822,3.485294117647059,0.04411764705882337,False,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_LATE_HOLDOUT,CALENDAR_MONTH,2026-08,C_MEDIAN_MINUS_CONTROL_MEDIAN_MAE,MAE,371,3.700808625336927,3.725067385444744,-0.0242587601078168,True,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_LATE_HOLDOUT,CALENDAR_MONTH,2026-07,C_MEAN_MINUS_CONTROL_MEAN_RMSE,RMSE,68,4.437768753539953,4.442236741901612,-0.004467988361659181,True,MODERATE,,,,
LEAVE_TIME_BLOCK_OUT,2026_LATE_HOLDOUT,CALENDAR_MONTH,2026-08,C_MEAN_MINUS_CONTROL_MEAN_RMSE,RMSE,371,4.681359554835043,4.72337124563126,-0.04201169079621714,True,MODERATE,,,,
SUMMARY,FROZEN_2025_VALIDATION,CALENDAR_MONTH,ALL,C_MEDIAN_MINUS_CONTROL_CURRENT_MEAN_MAE,MAE,VARIES,,,,,MODERATE,-0.029745295436501618,-0.011770106955224957,False,1.0
SUMMARY,FROZEN_2025_VALIDATION,CALENDAR_MONTH,ALL,C_MEDIAN_MINUS_CONTROL_MEDIAN_MAE,MAE,VARIES,,,,,MODERATE,-0.006923837784372111,0.00823643410852748,True,0.7142857142857143
SUMMARY,FROZEN_2025_VALIDATION,CALENDAR_MONTH,ALL,C_MEAN_MINUS_CONTROL_MEAN_RMSE,RMSE,VARIES,,,,,MODERATE,-0.02079565885877166,-0.004836087085919871,False,1.0
SUMMARY,2026_SEQUENTIAL_EARLY,CALENDAR_MONTH,ALL,C_MEDIAN_MINUS_CONTROL_CURRENT_MEAN_MAE,MAE,VARIES,,,,,MODERATE,0.015636415274453253,0.017856965449693618,False,0.0
SUMMARY,2026_SEQUENTIAL_EARLY,CALENDAR_MONTH,ALL,C_MEDIAN_MINUS_CONTROL_MEDIAN_MAE,MAE,VARIES,,,,,MODERATE,-0.04176334106728552,0.0022547914317927464,True,0.75
SUMMARY,2026_SEQUENTIAL_EARLY,CALENDAR_MONTH,ALL,C_MEAN_MINUS_CONTROL_MEAN_RMSE,RMSE,VARIES,,,,,MODERATE,-0.04313907580058274,-0.002122610044763995,False,1.0
SUMMARY,2026_LATE_HOLDOUT,CALENDAR_MONTH,ALL,C_MEDIAN_MINUS_CONTROL_CURRENT_MEAN_MAE,MAE,VARIES,,,,,MODERATE,-0.007817486930503215,0.01681723060697715,True,0.5
SUMMARY,2026_LATE_HOLDOUT,CALENDAR_MONTH,ALL,C_MEDIAN_MINUS_CONTROL_MEDIAN_MAE,MAE,VARIES,,,,,MODERATE,-0.0242587601078168,0.04411764705882337,True,0.5
SUMMARY,2026_LATE_HOLDOUT,CALENDAR_MONTH,ALL,C_MEAN_MINUS_CONTROL_MEAN_RMSE,RMSE,VARIES,,,,,MODERATE,-0.04201169079621714,-0.004467988361659181,False,1.0
