period,evidence_class,control_mean_rmse,c_mean_rmse,c_minus_control_mean_rmse,control_actual_minus_mean_bias,c_actual_minus_mean_bias,c_minus_control_absolute_bias,c_mean_superior_on_rmse,c_mean_closer_to_zero_bias,squared_loss_contract
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,4.591661831793692,4.577408098000191,-0.0142537337935007,0.21504740002206743,-0.0915221438093045,-0.12352525621276293,True,True,CONDITIONAL_MEAN_IS_NATURAL_POINT_SUMMARY
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,4.500767948230816,4.47925376644542,-0.021514181785396325,0.5774332448470871,0.01306059625846816,-0.564372648588619,True,True,CONDITIONAL_MEAN_IS_NATURAL_POINT_SUMMARY
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,4.68092949277268,4.644464224923119,-0.036465267849560945,0.6610547573577193,-0.00880467162149965,-0.6522500857362197,True,True,CONDITIONAL_MEAN_IS_NATURAL_POINT_SUMMARY
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,4.092129493546904,4.047216838694606,-0.044912654852297784,0.558992375399351,-0.15533428351781042,-0.40365809188154056,True,True,CONDITIONAL_MEAN_IS_NATURAL_POINT_SUMMARY
