period,evidence_class,control_variance_quantile_band,control_variance_q25,control_variance_q50,control_variance_q75,model_key,model_identity,games,mean_predictive_variance,mean_mean_minus_median_gap,mean_actual,mean_mae,median_mae,median_minus_mean_mae
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,Q1_LOWEST,17.146826485114723,18.14659867395065,19.326093412205374,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,609,16.469731780055422,0.3891440650699967,8.722495894909688,3.490296134605625,3.4991789819376025,0.008882847331977306
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,Q1_LOWEST,17.146826485114723,18.14659867395065,19.326093412205374,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,609,17.856145024741096,0.5043876558158383,8.722495894909688,3.5065922560709133,3.4827586206896552,-0.023833635381258045
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,Q2,17.146826485114723,18.14659867395065,19.326093412205374,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,608,17.647361748699314,0.43545013515059483,8.667763157894736,3.5254416044089023,3.5065789473684212,-0.018862657040481068
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,Q2,17.146826485114723,18.14659867395065,19.326093412205374,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,608,18.864135370037186,0.6767576039021598,8.667763157894736,3.5394364612027895,3.504934210526316,-0.03450225067647361
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,Q3,17.146826485114723,18.14659867395065,19.326093412205374,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,608,18.70385093433661,0.7628192786748226,8.863486842105264,3.574309092759836,3.557565789473684,-0.016743303286152145
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,Q3,17.146826485114723,18.14659867395065,19.326093412205374,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,608,19.74915195856621,0.5715219646064491,8.863486842105264,3.5975434919963845,3.5559210526315788,-0.0416224393648057
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,Q4_HIGHEST,17.146826485114723,18.14659867395065,19.326093412205374,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,608,20.99262145843406,0.5333110797908358,9.299342105263158,3.798955552532509,3.7516447368421053,-0.04731081569040363
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,Q4_HIGHEST,17.146826485114723,18.14659867395065,19.326093412205374,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,608,21.489497379865032,0.5140580852680232,9.299342105263158,3.8194564031360287,3.7664473684210527,-0.05300903471497609
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,Q1_LOWEST,16.332340172535154,17.18735746523216,18.36467216478615,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,321,15.769287190944798,0.8176349819017675,8.672897196261681,3.472259350792924,3.5669781931464173,0.09471884235349348
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,Q1_LOWEST,16.332340172535154,17.18735746523216,18.36467216478615,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,321,17.87182803310022,0.5157539901517172,8.672897196261681,3.458936266620025,3.454828660436137,-0.004107606183888279
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,Q2,16.332340172535154,17.18735746523216,18.36467216478615,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,320,16.74069500763478,0.14737589192241946,8.49375,3.3435727670139643,3.325,-0.018572767013964153
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,Q2,16.332340172535154,17.18735746523216,18.36467216478615,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,320,18.80623615062022,0.6569021443350825,8.49375,3.4210507231689062,3.3625,-0.058550723168906416
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,Q3,16.332340172535154,17.18735746523216,18.36467216478615,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,320,17.755424056361154,0.4691996098314636,8.946875,3.556728661008576,3.571875,0.015146338991423924
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,Q3,16.332340172535154,17.18735746523216,18.36467216478615,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,320,19.68842063813893,0.5479170276248067,8.946875,3.5683466151503596,3.559375,-0.00897161515035938
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,Q4_HIGHEST,16.332340172535154,17.18735746523216,18.36467216478615,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,320,20.21409752284768,0.6766969487474104,9.846875,3.711375243832811,3.7625,0.051124756167189034
