period,evidence_class,model_key,model_identity,model_hash,point_summary,games,mean_point_forecast,mean_actual,actual_minus_forecast_bias,mae,rmse,median_absolute_error,exact_total_hit_rate,within_1_run_rate,within_2_runs_rate,exact_hit_rate_interpretation,full_distribution_metrics_attached_once,crps,ladder_brier,ladder_log_loss,ladder_ece,distribution_metrics_contract
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEAN,2433,8.979726007352255,8.888203863542952,-0.0915221438093045,3.6157122846687173,4.577408098000191,3.0971460661878325,0.0,0.16440608302507193,0.32922318125770655,CONTINUOUS_MEAN_EXACT_HIT_NOT_OPERATIONALLY_MEANINGFUL,True,2.5241640023600667,0.22641751218939213,0.6444313999739554,0.013561273605048127,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEDIAN,2433,8.413070283600494,8.888203863542952,0.47513357994245786,3.5774763666255653,4.6103405995540525,3.0,0.07644882860665844,0.260583641594739,0.426222770242499,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MODE,2433,7.288943690916564,8.888203863542952,1.599260172626387,3.642827784628031,4.860190839240242,3.0,0.10521989313604603,0.2667488697081792,0.4558158651870119,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEAN,1281,8.976791082117801,8.989851678376269,0.01306059625846816,3.5549530763792703,4.47925376644542,3.1057167290986794,0.0,0.1834504293520687,0.33879781420765026,CONTINUOUS_MEAN_EXACT_HIT_NOT_OPERATIONALLY_MEANINGFUL,True,2.488193035061624,0.22495367973025673,0.6413549241148075,0.00455050885720445,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEDIAN,1281,8.410616705698672,8.989851678376269,0.5792349726775956,3.5378610460577673,4.53505730180768,3.0,0.0897736143637783,0.2724434035909446,0.4309133489461358,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MODE,1281,7.2989851678376265,8.989851678376269,1.6908665105386418,3.647150663544106,4.803719610064219,3.0,0.09601873536299765,0.2685402029664325,0.44808743169398907,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEAN,439,8.935911733124916,8.927107061503417,-0.00880467162149965,3.765376544507537,4.644464224923119,3.3691256393977564,0.0,0.1366742596810934,0.3097949886104784,CONTINUOUS_MEAN_EXACT_HIT_NOT_OPERATIONALLY_MEANINGFUL,True,2.5806708933979086,0.22910305392378177,0.6502306762616394,0.025919568753067463,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEDIAN,439,8.387243735763098,8.927107061503417,0.5398633257403189,3.6742596810933943,4.683854884936499,3.0,0.08428246013667426,0.2460136674259681,0.4123006833712984,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MODE,439,7.277904328018224,8.927107061503417,1.6492027334851935,3.6719817767653757,4.924024133513763,3.0,0.12300683371298406,0.30751708428246016,0.44874715261959,INTEGER_POINT_SUMMARY_EXACT_HIT_MEANINGFUL,False,,,,,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,21828319efc421661f833484246b81e48721282ccd65f84ccc4f94222d7dd1cd,MEAN,126,8.766445394628924,8.61111111111111,-0.15533428351781042,3.27124467203617,4.047216838694606,3.143215951199439,0.0,0.1984126984126984,0.36507936507936506,CONTINUOUS_MEAN_EXACT_HIT_NOT_OPERATIONALLY_MEANINGFUL,True,2.2785095216433855,0.21963848293349914,0.6299698474858353,0.022041251047548994,MODEL_PERIOD_INVARIANT_ACROSS_POINT_SUMMARIES
