period,evidence_class,model_key,model_identity,presentation,stored_precision_contract,mean_point_forecast,mean_actual,actual_minus_forecast_bias,mae,rmse,median_absolute_error,exact_total_hit_rate,within_1_run_rate,within_2_runs_rate,mae_minus_unrounded_mean,rmse_minus_unrounded_mean
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,EXISTING_MARKDOWN_MEAN_3_DECIMALS,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.976789227166277,8.989851678376269,0.013062451209992196,3.5549469164715073,4.479248060833,3.106,0.0,0.18423106947697113,0.33879781420765026,-6.159907762981476e-06,-5.705612419859563e-06
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,UNROUNDED_MEAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.266052304145697,8.927107061503417,0.6610547573577193,3.6782613120044236,4.68092949277268,3.205711027258932,0.0,0.17084282460136674,0.3439635535307517,0.0,0.0
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,UNROUNDED_EXACT_MEDIAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,7.71753986332574,8.927107061503417,1.2095671981776766,3.6879271070615034,4.8081650372108635,3.0,0.0979498861047836,0.29157175398633256,0.40774487471526194,0.009665795057079762,0.1272355444381832
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,EXISTING_MARKDOWN_MEAN_3_DECIMALS,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.266022779043281,8.927107061503417,0.6610842824601367,3.678250569476082,4.6809226968461735,3.2059999999999995,0.0,0.17084282460136674,0.3439635535307517,-1.074252834154521e-05,-6.795926506875105e-06
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,UNROUNDED_MEAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.935911733124916,8.927107061503417,-0.00880467162149965,3.765376544507537,4.644464224923119,3.3691256393977564,0.0,0.1366742596810934,0.3097949886104784,0.0,0.0
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,UNROUNDED_EXACT_MEDIAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.387243735763098,8.927107061503417,0.5398633257403189,3.6742596810933943,4.683854884936499,3.0,0.08428246013667426,0.2460136674259681,0.4123006833712984,-0.09111686341414282,0.039390660013379986
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,EXISTING_MARKDOWN_MEAN_3_DECIMALS,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.935899772209567,8.927107061503417,-0.008792710706150309,3.7653895216400914,4.644467355951718,3.3689999999999998,0.0,0.1366742596810934,0.3097949886104784,1.2977132554325976e-05,3.131028598168939e-06
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,UNROUNDED_MEAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.052118735711762,8.61111111111111,0.558992375399351,3.265726718124754,4.092129493546904,2.691570058593833,0.0,0.16666666666666666,0.3888888888888889,0.0,0.0
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,UNROUNDED_EXACT_MEDIAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,7.476190476190476,8.61111111111111,1.1349206349206349,3.3253968253968256,4.23046396945127,2.5,0.10317460317460317,0.25396825396825395,0.5,0.05967010727207178,0.1383344759043661
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,EXISTING_MARKDOWN_MEAN_3_DECIMALS,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.05215873015873,8.61111111111111,0.558952380952381,3.265714285714286,4.092117502075625,2.6915,0.0,0.16666666666666666,0.3888888888888889,-1.2432410467777544e-05,-1.1991471279060306e-05
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,UNROUNDED_MEAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.766445394628924,8.61111111111111,-0.15533428351781042,3.27124467203617,4.047216838694606,3.143215951199439,0.0,0.1984126984126984,0.36507936507936506,0.0,0.0
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,UNROUNDED_EXACT_MEDIAN,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.23015873015873,8.61111111111111,0.38095238095238093,3.2698412698412698,4.084426481470769,3.0,0.05555555555555555,0.3253968253968254,0.42857142857142855,-0.0014034021949003161,0.03720964277616279
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,EXISTING_MARKDOWN_MEAN_3_DECIMALS,FULL_FLOAT_IN_LEDGER_CSV_3_DECIMALS_IN_SHADOW_MARKDOWN_NO_PUBLIC_TOTALS_UI,8.766468253968254,8.61111111111111,-0.1553571428571429,3.271246031746033,4.047211506233703,3.143,0.0,0.1984126984126984,0.36507936507936506,1.359709862924774e-06,-5.332460903062497e-06
