period,evidence_class,control_mean_forecast_band,model_key,model_identity,games,mean_forecast,median_forecast,mean_actual,mean_based_mae,median_based_mae,actual_minus_mean_bias,actual_minus_median_bias,c_mean_minus_control_mean_mae,c_median_minus_control_current_mean_mae,c_median_minus_control_median_mae,point_summary_reduction_in_c_delta
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,<7.5,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,12,8.020085663684666,7.666666666666667,7.5,3.5052879326518553,3.5,-0.5200856636846675,-0.16666666666666666,0.09621942495592206,0.09093149230406672,0.16666666666666652,0.005287932651855343
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,7.5-7.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,295,7.8398045387334605,7.0,8.769491525423728,3.520810428603887,3.6203389830508477,0.9296869866902683,1.769491525423729,-0.033925559183018095,-0.022505343858124416,-0.12203389830508504,-0.011420215324893679
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,7.5-7.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,295,8.503105439301223,7.989830508474577,8.769491525423728,3.486884869420869,3.4983050847457626,0.2663860861225056,0.7796610169491526,-0.033925559183018095,-0.022505343858124416,-0.12203389830508504,-0.011420215324893679
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,8.0-8.49,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,523,8.23163642777618,7.980879541108987,8.665391969407265,3.3957620878659682,3.3804971319311665,0.43375554163108604,0.6845124282982792,0.06662880233337765,3.1411178008866614e-05,0.015296367112810572,0.06659739115536878
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,8.0-8.49,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,523,8.855591741843458,8.22944550669216,8.665391969407265,3.462390890199346,3.395793499043977,-0.1901997724361928,0.4359464627151052,0.06662880233337765,3.1411178008866614e-05,0.015296367112810572,0.06659739115536878
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,8.5-8.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,307,8.707503326130977,8.0,8.947882736156352,3.4230305980745817,3.469055374592834,0.24037941002537402,0.9478827361563518,0.029862842874844198,0.029738131567112358,-0.016286644951140072,0.00012471130773183958
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,8.5-8.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,307,9.209088537438532,8.732899022801304,8.947882736156352,3.452893440949426,3.452768729641694,-0.26120580128218013,0.21498371335504887,0.029862842874844198,0.029738131567112358,-0.016286644951140072,0.00012471130773183958
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,9.0-9.49,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,60,9.167150403294812,8.833333333333334,9.466666666666667,4.337305266284999,4.266666666666667,0.29951626337185566,0.6333333333333333,0.07392082213334383,0.029361400381667124,0.09999999999999964,0.04455942175167671
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,9.0-9.49,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,60,9.558792482056079,9.033333333333333,9.466666666666667,4.411226088418343,4.366666666666666,-0.09212581538941181,0.43333333333333335,0.07392082213334383,0.029361400381667124,0.09999999999999964,0.04455942175167671
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,9.5-9.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,37,9.812892055438706,9.0,12.297297297297296,4.914906598780278,5.135135135135135,2.4844052418585925,3.2972972972972974,0.11976115987302727,0.22022853635485706,0.0,-0.1004673764818298
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,9.5-9.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,37,10.137251712824442,9.432432432432432,12.297297297297296,5.034667758653305,5.135135135135135,2.1600455844728557,2.864864864864865,0.11976115987302727,0.22022853635485706,0.0,-0.1004673764818298
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,>=10.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,47,10.287519870985681,9.74468085106383,11.425531914893616,3.443405582403717,3.595744680851064,1.1380120439079366,1.6808510638297873,-0.009886330278994215,0.17361569419202771,0.021276595744680993,-0.18350202447102193
2026_SEQUENTIAL_EARLY,PRIMARY_OUT_OF_TIME_EVIDENCE,>=10.0,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,47,10.368972752323367,9.553191489361701,11.425531914893616,3.433519252124723,3.617021276595745,1.0565591625702502,1.872340425531915,-0.009886330278994215,0.17361569419202771,0.021276595744680993,-0.18350202447102193
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,<7.5,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,14,7.42021180476048,7.0,9.642857142857142,3.1533411347896783,3.2142857142857144,2.222645338096662,2.642857142857143,0.00035458864358206554,0.060944579496036155,0.0,-0.06058999085245409
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,<7.5,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,14,8.252242417466093,7.857142857142857,9.642857142857142,3.1536957234332603,3.2142857142857144,1.390614725391051,1.7857142857142858,0.00035458864358206554,0.060944579496036155,0.0,-0.06058999085245409
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,7.5-7.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,144,7.788793064095807,7.0,8.722222222222221,3.2318166171127456,3.3472222222222223,0.9334291581264154,1.7222222222222223,0.030024897652913385,-0.023483283779412112,-0.13888888888888884,0.0535081814323255
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,7.5-7.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,144,8.492055129931636,7.986111111111111,8.722222222222221,3.261841514765659,3.2083333333333335,0.23016709229058796,0.7361111111111112,0.030024897652913385,-0.023483283779412112,-0.13888888888888884,0.0535081814323255
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,8.0-8.49,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,169,8.233683722809955,7.964497041420119,8.49112426035503,3.709531552581894,3.6863905325443787,0.25744053754507573,0.5266272189349113,0.13552912766264358,-0.005389540747574806,0.017751479289940697,0.14091866841021838
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,8.0-8.49,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,169,8.938408195723564,8.349112426035504,8.49112426035503,3.8450606802445377,3.7041420118343193,-0.4472839353685354,0.14201183431952663,0.13552912766264358,-0.005389540747574806,0.017751479289940697,0.14091866841021838
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,8.5-8.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,76,8.678445380811862,8.0,8.578947368421053,4.07711575868888,3.8947368421052633,-0.09949801239080894,0.5789473684210527,0.1613462043592424,-0.011326285004669145,0.17105263157894735,0.17267248936391155
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,8.5-8.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,76,9.257726328619075,8.723684210526315,8.578947368421053,4.238461963048122,4.065789473684211,-0.6787789601980224,-0.14473684210526316,0.1613462043592424,-0.011326285004669145,0.17105263157894735,0.17267248936391155
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,9.0-9.49,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,8,9.220629419346007,8.75,11.875,4.37178575278597,4.375,2.654370580653992,3.125,0.217737839173064,0.1282142472140304,0.125,0.08952359195903359
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,9.0-9.49,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,8,9.94232252781039,9.375,11.875,4.589523591959034,4.5,1.9326774721896112,2.5,0.217737839173064,0.1282142472140304,0.125,0.08952359195903359
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,9.5-9.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,16,9.767936120630582,9.0,12.8125,5.204516762713246,5.4375,3.044563879369419,3.8125,-0.14355018298964595,0.04548323728675374,-0.1875,-0.1890334202763997
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,9.5-9.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,16,10.355299773609888,9.6875,12.8125,5.0609665797236,5.25,2.4572002263901127,3.125,-0.14355018298964595,0.04548323728675374,-0.1875,-0.1890334202763997
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,>=10.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,12,10.185115303506436,9.5,11.75,4.184180245521367,4.25,1.5648846964935628,2.25,-0.0580663605001801,0.06581975447863275,0.0,-0.12388611497881286
2026_LATE_HOLDOUT,PRIMARY_OUT_OF_TIME_EVIDENCE,>=10.0,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,12,10.423029636215356,9.833333333333334,11.75,4.126113885021187,4.25,1.3269703637846455,1.9166666666666667,-0.0580663605001801,0.06581975447863275,0.0,-0.12388611497881286
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,<7.5,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,9,7.406928117087042,7.0,9.11111111111111,3.161418695254882,3.2222222222222223,1.7041829940240685,2.111111111111111,-0.06517739139793344,0.06080352696734037,0.0,-0.1259809183652738
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,<7.5,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,9,8.217077836202433,7.888888888888889,9.11111111111111,3.0962413038569485,3.2222222222222223,0.894033274908678,1.2222222222222223,-0.06517739139793344,0.06080352696734037,0.0,-0.1259809183652738
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,7.5-7.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,60,7.759861712923583,7.0,8.2,2.9627540540626587,3.033333333333333,0.4401382870764164,1.2,-0.017166922026567555,0.02057927927067471,-0.04999999999999982,-0.037746201297242266
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,7.5-7.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,60,8.525703006883127,7.983333333333333,8.2,2.945587132036091,2.9833333333333334,-0.325703006883127,0.21666666666666667,-0.017166922026567555,0.02057927927067471,-0.04999999999999982,-0.037746201297242266
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,8.0-8.49,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,41,8.215875668612311,7.951219512195122,8.585365853658537,3.9158509464890314,3.902439024390244,0.369490185046225,0.6341463414634146,0.05275157981817502,-0.01341192209878761,0.0,0.06616350191696263
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,8.0-8.49,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,41,8.968324138634122,8.341463414634147,8.585365853658537,3.9686025263072064,3.902439024390244,-0.38295828497558587,0.24390243902439024,0.05275157981817502,-0.01341192209878761,0.0,0.06616350191696263
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,8.5-8.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,11,8.750960132341326,8.0,8.727272727272727,2.437896215616912,2.5454545454545454,-0.023687405068599465,0.7272727272727273,0.10005900692160319,-0.07425985198054841,-0.18181818181818166,0.1743188589021516
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,8.5-8.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,11,9.19750463640946,8.909090909090908,8.727272727272727,2.5379552225385154,2.3636363636363638,-0.47023190913673346,-0.18181818181818182,0.10005900692160319,-0.07425985198054841,-0.18181818181818166,0.1743188589021516
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,9.5-9.99,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,4,9.788079149599357,9.0,13.75,3.9619208504006442,4.75,3.9619208504006442,4.75,-0.24406836374704843,0.28807914959935577,-0.5,-0.5321475133464042
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,9.5-9.99,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,4,10.032147513346404,9.5,13.75,3.717852486653596,4.25,3.717852486653596,4.25,-0.24406836374704843,0.28807914959935577,-0.5,-0.5321475133464042
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,>=10.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,1,10.049124403226593,9.0,8.0,2.0491244032265925,1.0,-2.0491244032265925,-1.0,0.024683643319317383,-1.0491244032265925,0.0,1.0738080465459099
PROSPECTIVE_AUG06_15,RETROSPECTIVE_POST_HOC_DIAGNOSTIC,>=10.0,C_CONFIDENCE_ONLY,DIRECT_NEGATIVE_BINOMIAL_COUNT_CONFIDENCE_ONLY_V1,1,10.07380804654591,9.0,8.0,2.07380804654591,1.0,-2.07380804654591,-1.0,0.024683643319317383,-1.0491244032265925,0.0,1.0738080465459099
