period,evidence_class,game_date,game_pk,actual_total,model_key,model_identity,model_hash,dispersion_alpha,theoretical_distribution_mean,folded_support_distribution_mean,distribution_median,distribution_mode,current_stored_control_raw_point_forecast,model_frozen_point_forecast,current_stored_raw_equals_model_theoretical_mean,current_stored_raw_equality_contract,theoretical_variance,mean_minus_median,mean_minus_mode,theoretical_minus_folded_support_mean,mean_absolute_error_row,median_absolute_error_row,mode_absolute_error_row,mean_squared_error_row,median_squared_error_row,mode_squared_error_row,support_contract
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,2025-03-18,778563,5.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,0.12944479977012996,9.365525817906715,9.364363138139261,9.0,8.0,9.365525817906715,9.365525817906715,True,EXACT_WITHIN_2E_12,20.719527099108916,0.3655258179067147,1.3655258179067147,0.001162679767453767,4.365525817906715,4.0,3.0,19.05781566681009,16.0,9.0,0..30_WITH_30_PLUS_TAIL
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,2025-03-19,778564,9.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,0.12944479977012996,10.000628099467754,9.998209752395812,9.0,8.0,10.000628099467754,10.000628099467754,True,EXACT_WITHIN_2E_12,22.946734211744662,1.0006280994677539,2.000628099467754,0.00241834707194144,1.0006280994677539,0.0,1.0,1.001256593444449,0.0,1.0,0..30_WITH_30_PLUS_TAIL
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,2025-03-27,778557,6.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,0.12944479977012996,8.66163481540857,8.661171365461994,8.0,7.0,8.66163481540857,8.66163481540857,True,EXACT_WITHIN_2E_12,18.373090816884105,0.6616348154085703,1.6616348154085703,0.0004634499465758779,2.6616348154085703,2.0,1.0,7.084299890595014,4.0,1.0,0..30_WITH_30_PLUS_TAIL
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,2025-03-27,778556,14.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,0.12944479977012996,8.993796081593114,8.993069598768482,8.0,7.0,8.993796081593114,8.993796081593114,True,EXACT_WITHIN_2E_12,19.464374675555774,0.9937960815931142,1.9937960815931142,0.0007264828246320576,5.006203918406886,6.0,7.0,25.06207767267246,36.0,49.0,0..30_WITH_30_PLUS_TAIL
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,2025-03-27,778553,7.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,0.12944479977012996,8.551871791195396,8.551474924677246,8.0,7.0,8.551871791195396,8.551871791195396,True,EXACT_WITHIN_2E_12,18.01875394109856,0.5518717911953956,1.5518717911953956,0.0003968665181499631,1.5518717911953956,1.0,0.0,2.408306056308006,1.0,0.0,0..30_WITH_30_PLUS_TAIL
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,2025-03-27,778555,10.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,0.12944479977012996,9.156229490878014,9.155333638160718,9.0,7.0,9.156229490878014,9.156229490878014,True,EXACT_WITHIN_2E_12,20.008433429088218,0.15622949087801352,2.1562294908780135,0.0008958527172957531,0.8437705091219865,1.0,3.0,0.7119486720639763,1.0,9.0,0..30_WITH_30_PLUS_TAIL
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,2025-03-27,778545,11.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,0.12944479977012996,8.570562971552397,8.570155386118419,8.0,7.0,8.570562971552397,8.570562971552397,True,EXACT_WITHIN_2E_12,18.078872443116936,0.5705629715523965,1.5705629715523965,0.00040758543397778624,2.4294370284476035,3.0,4.0,5.902164275192321,9.0,16.0,0..30_WITH_30_PLUS_TAIL
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,2025-03-27,778554,9.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,0.12944479977012996,8.194022417727258,8.193788835289086,8.0,7.0,8.194022417727258,8.194022417727258,True,EXACT_WITHIN_2E_12,16.885205601703706,0.1940224177272576,1.1940224177272576,0.00023358243817206414,0.8059775822727424,1.0,2.0,0.6495998631262153,1.0,4.0,0..30_WITH_30_PLUS_TAIL
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,2025-03-27,778558,11.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,0.12944479977012996,9.321868700413287,9.32076663401802,9.0,8.0,9.321868700413287,9.321868700413287,True,EXACT_WITHIN_2E_12,20.57026402378024,0.32186870041328675,1.3218687004132867,0.0011020663952674425,1.6781312995867133,2.0,3.0,2.816124658652591,4.0,9.0,0..30_WITH_30_PLUS_TAIL
FROZEN_2025_VALIDATION,PRIMARY_OUT_OF_TIME_EVIDENCE,2025-03-27,778559,4.0,A_CONTROL,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,fb1c730d295ce28d90436ec95cb71d1a81813679de8364e838255111917498ac,0.12944479977012996,8.737914555347723,8.73739937358055,8.0,7.0,8.737914555347723,8.737914555347723,True,EXACT_WITHIN_2E_12,18.621173979838225,0.7379145553477233,1.7379145553477233,0.0005151817671738002,4.737914555347723,4.0,3.0,22.447834333775816,16.0,9.0,0..30_WITH_30_PLUS_TAIL
