period,side,support_state,variant,experience_signal_shape,chronological_growth_after_n3,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece
FROZEN_2025_VALIDATION,HOME,N0,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,59,9.086053661683083,10.745762711864407,1.6597090501813236,4.39727539260437,5.702310024682759,3.192592092525807,0.2515632946901624,0.698809293143699,0.14141418063940134
FROZEN_2025_VALIDATION,HOME,N0,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,59,9.064181040008858,10.745762711864407,1.6815816718555507,4.403535025097235,5.709465265138302,3.1975881656618736,0.2521388647049767,0.7000988623208966,0.14321511371444132
FROZEN_2025_VALIDATION,HOME,N1_2,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,84,9.115329798134464,9.083333333333334,-0.03199646480113295,3.5731371114282062,4.501514966681929,2.4950353449491334,0.22297188295808643,0.6366784453425449,0.011844772942784985
FROZEN_2025_VALIDATION,HOME,N1_2,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,84,9.11224700377973,9.083333333333334,-0.028913670446396894,3.572686629001482,4.50128468751572,2.494952491363104,0.2229621276004944,0.6366555063029237,0.012300140263511512
FROZEN_2025_VALIDATION,HOME,N3_PLUS,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,2290,8.972012448386655,8.833187772925765,-0.13882467546089117,3.597137651997975,4.5475279596859055,2.508010967383097,0.22589604131073898,0.6433147853416513,0.016072456629494074
FROZEN_2025_VALIDATION,HOME,N3_PLUS,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,2290,8.96979939551963,8.833187772925765,-0.1366116225938641,3.5973034882568715,4.547837279189821,2.508203003004779,0.22591656144297106,0.6433598639199052,0.015727496309787606
FROZEN_2025_VALIDATION,AWAY,N0,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,56,8.933030969337038,7.892857142857143,-1.0401738264798939,3.4033594926947086,4.206079628700876,2.334393108040821,0.21842589304999196,0.6275082975982471,0.09886065452857049
FROZEN_2025_VALIDATION,AWAY,N0,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,56,8.969518834029078,7.892857142857143,-1.0766616911719356,3.4157179508060755,4.215147097314961,2.339560467109193,0.21899590159377022,0.6287412803336433,0.10186156098156059
FROZEN_2025_VALIDATION,AWAY,N1_2,C_CONFIDENCE_ONLY,LOW_DEPTH_EFFECT_ONLY,NONE,87,8.937335147077338,9.873563218390805,0.9362280713134632,3.7837214385795885,4.927621015274757,2.7683830983950957,0.23336234176813772,0.6597184761938649,0.08263027093663845
FROZEN_2025_VALIDATION,AWAY,N1_2,D_LOW_DEPTH,LOW_DEPTH_EFFECT_ONLY,NONE,87,8.912591445056579,9.873563218390805,0.9609717733342271,3.7878968944842315,4.932669517217633,2.7717931732876746,0.23373005974140573,0.6605166627017741,0.08733725538486586
