variant,period,games,crps,ladder_brier,ladder_log_loss,ladder_ece,delta_crps_vs_control,delta_brier_vs_control,delta_log_loss_vs_control,delta_ece_vs_control,probability_effect
A_CONTROL,FROZEN_2025_VALIDATION,2433,2.5315957786140326,0.22718558400314987,0.646296657014328,0.01646743865268339,0.0,0.0,0.0,0.0,CONTROL_REFERENCE
A_CONTROL,2026_SEQUENTIAL_EARLY,1281,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.049748805580974394,0.0,0.0,0.0,0.0,CONTROL_REFERENCE
A_CONTROL,2026_LATE_HOLDOUT,439,2.6022766473304486,0.23053602911161053,0.6543558561017102,0.04390562249268724,0.0,0.0,0.0,0.0,CONTROL_REFERENCE
A_CONTROL,PROSPECTIVE_AUG06_15,126,2.3138777181992336,0.22434798471609654,0.6408382598645951,0.06835425792700746,0.0,0.0,0.0,0.0,CONTROL_REFERENCE
B_PARK_ONLY,FROZEN_2025_VALIDATION,2433,2.5261521172892056,0.22662294593769958,0.6449158736349274,0.010254202207018295,-0.005443661324826987,-0.0005626380654502883,-0.0013807833794006186,-0.0062132364456650956,IMPROVED
B_PARK_ONLY,2026_SEQUENTIAL_EARLY,1281,2.4930419264371597,0.22561928466544015,0.6427887258728482,0.014864062839443547,-0.012105675984591002,-0.001280202448663531,-0.0032673557243901863,-0.03488474274153085,IMPROVED
B_PARK_ONLY,2026_LATE_HOLDOUT,439,2.595315853634535,0.23071209742868853,0.6540085325048086,0.034253115547978184,-0.006960793695913736,0.0001760683170780042,-0.0003473235969015942,-0.009652506944709052,IMPROVED
B_PARK_ONLY,PROSPECTIVE_AUG06_15,126,2.2967736770811533,0.22184329077228265,0.634916603473847,0.029047055029137316,-0.017104041118080282,-0.0025046939438138904,-0.005921656390748042,-0.03930720289787014,IMPROVED
C_CONFIDENCE_ONLY,FROZEN_2025_VALIDATION,2433,2.5241640023600667,0.22641751218939213,0.6444313999739554,0.013561273605048127,-0.00743177625396596,-0.0007680718137577369,-0.0018652570403726587,-0.0029061650476352643,IMPROVED
C_CONFIDENCE_ONLY,2026_SEQUENTIAL_EARLY,1281,2.488193035061624,0.22495367973025673,0.6413549241148075,0.00455050885720445,-0.01695456736012657,-0.001945807383846948,-0.004701157482430829,-0.045198296723769946,IMPROVED
C_CONFIDENCE_ONLY,2026_LATE_HOLDOUT,439,2.5806708933979086,0.22910305392378177,0.6502306762616394,0.025919568753067463,-0.02160575393254005,-0.0014329751878287555,-0.0041251798400707695,-0.017986053739619774,IMPROVED
C_CONFIDENCE_ONLY,PROSPECTIVE_AUG06_15,126,2.2785095216433855,0.21963848293349914,0.6299698474858353,0.022041251047548994,-0.03536819655584811,-0.004709501782597408,-0.010868412378759795,-0.04631300687945847,IMPROVED
D_LOW_DEPTH,FROZEN_2025_VALIDATION,2433,2.524463044771679,0.22645044695455765,0.6445043089942298,0.013188114394673978,-0.007132733842353467,-0.0007351370485922104,-0.0017923480200982,-0.0032793242580094126,IMPROVED
D_LOW_DEPTH,2026_SEQUENTIAL_EARLY,1281,2.488027440430039,0.22493278886262172,0.6413108160368296,0.004028949655237707,-0.017120161991711846,-0.001966698251481963,-0.0047452655604087735,-0.045719855925736685,IMPROVED
D_LOW_DEPTH,2026_LATE_HOLDOUT,439,2.5809962133495037,0.22913843237059578,0.650310753642774,0.025667741098697874,-0.021280433980944924,-0.0013975967410147505,-0.0040451024589361895,-0.018237881393989363,IMPROVED
D_LOW_DEPTH,PROSPECTIVE_AUG06_15,126,2.2788183625328156,0.21967057356502412,0.630040108261964,0.021733638561346726,-0.035059355666418046,-0.004677411151072425,-0.01079815160263109,-0.04662061936566073,IMPROVED
