period,control_raw_forecast_band,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece
FROZEN_2025_VALIDATION,<7.5,A_CONTROL,1,7.4730785603173135,9.0,1.5269214396826865,1.5269214396826865,1.5269214396826865,1.2740864836859527,0.17697264395228707,0.523301503377151,0.37698395461830125
FROZEN_2025_VALIDATION,<7.5,B_PARK_ONLY,1,8.187955818432872,9.0,0.8120441815671278,0.8120441815671278,0.8120441815671278,1.100358940662296,0.15495454205706777,0.48758232440876226,0.37142551231982346
FROZEN_2025_VALIDATION,<7.5,C_CONFIDENCE_ONLY,1,8.26511110988001,9.0,0.7348888901199899,0.7348888901199899,0.7348888901199899,1.088190017029836,0.15327473068842215,0.4850047350874413,0.37109443235567513
FROZEN_2025_VALIDATION,<7.5,D_LOW_DEPTH,1,8.26133444386573,9.0,0.7386655561342703,0.7386655561342703,0.7386655561342703,1.0887622806045252,0.15335434950709367,0.4851266415655835,0.37111013278761945
FROZEN_2025_VALIDATION,7.5-7.99,A_CONTROL,186,7.866759037264501,8.575268817204302,0.7085097799398008,3.4497633577266322,4.535248326419312,2.495613069631965,0.22481347810784957,0.6421535980181093,0.04882820340391777
FROZEN_2025_VALIDATION,7.5-7.99,B_PARK_ONLY,186,8.254176861267888,8.575268817204302,0.3210919559364132,3.4628513186216803,4.47877199279086,2.4655396814288304,0.22173750825165403,0.6348522994396008,0.020167590649547287
FROZEN_2025_VALIDATION,7.5-7.99,C_CONFIDENCE_ONLY,186,8.33579947035704,8.575268817204302,0.23946934684726012,3.488846142927915,4.4816890861018095,2.469773876127462,0.22260545304211582,0.636618995340308,0.0151037777222005
FROZEN_2025_VALIDATION,7.5-7.99,D_LOW_DEPTH,186,8.331995281137939,8.575268817204302,0.2432735360663619,3.4892474433064,4.483157844011695,2.4705102284439393,0.22267951852136067,0.6367828710880575,0.014863629217250545
FROZEN_2025_VALIDATION,8.0-8.49,A_CONTROL,858,8.270340466232598,8.750582750582751,0.4802422843501525,3.519977238542111,4.480753913593291,2.47608231060777,0.2293382266095299,0.6511625574930624,0.0408081361739025
FROZEN_2025_VALIDATION,8.0-8.49,B_PARK_ONLY,858,8.553323006553088,8.750582750582751,0.19725974402966334,3.5245477356984987,4.445498158875988,2.456180742821205,0.22702683260095094,0.6457236994615403,0.018576031814700186
FROZEN_2025_VALIDATION,8.0-8.49,C_CONFIDENCE_ONLY,858,8.659710156968991,8.750582750582751,0.09087259361375963,3.5290333769373152,4.439661865226601,2.4534907919837243,0.22671236065330028,0.6450087786648696,0.013575902774548544
FROZEN_2025_VALIDATION,8.0-8.49,D_LOW_DEPTH,858,8.656618574685334,8.750582750582751,0.09396417589741626,3.5293029325313388,4.440179926577105,2.453807502075456,0.22674817250999887,0.6450910981027916,0.013499194383101707
FROZEN_2025_VALIDATION,8.5-8.99,A_CONTROL,853,8.73748446574074,8.807737397420867,0.0702529316801282,3.5987887674967842,4.609448916659037,2.537585514688557,0.22496803370896926,0.6413114487206797,0.007025565955401251
FROZEN_2025_VALIDATION,8.5-8.99,B_PARK_ONLY,853,8.92791692178758,8.807737397420867,-0.12017952436671193,3.6231111793977364,4.617150608645703,2.5427780936852047,0.2256732062683619,0.64285067573323,0.017663674814390757
FROZEN_2025_VALIDATION,8.5-8.99,C_CONFIDENCE_ONLY,853,9.045159436954986,8.807737397420867,-0.2374220395341193,3.622750747502414,4.613581876768995,2.5399663706282696,0.22524525064890183,0.6419075667078471,0.025700279766912776
FROZEN_2025_VALIDATION,8.5-8.99,D_LOW_DEPTH,853,9.042762357409833,8.807737397420867,-0.23502495998896425,3.6228726332534835,4.613876011332772,2.5401209281378763,0.22526066476055387,0.6419396442530725,0.02550312902893437
FROZEN_2025_VALIDATION,9.0-9.49,A_CONTROL,340,9.18320747183876,8.773529411764706,-0.4096780600740533,3.814467894083647,4.7373847153334605,2.6245856680894484,0.23149852384223368,0.6552215519855684,0.04238860624482516
FROZEN_2025_VALIDATION,9.0-9.49,B_PARK_ONLY,340,9.192185357704764,8.773529411764706,-0.41865594594005884,3.8345805800879202,4.772836418259296,2.6427223026156588,0.2332884011363502,0.6593152888000373,0.0436992087324201
FROZEN_2025_VALIDATION,9.0-9.49,C_CONFIDENCE_ONLY,340,9.31657098856116,8.773529411764706,-0.5430415767964542,3.8641514969411888,4.775726406039105,2.6463091927271414,0.2340474812433602,0.6608222729318072,0.05287829953225328
FROZEN_2025_VALIDATION,9.0-9.49,D_LOW_DEPTH,340,9.314094670347737,8.773529411764706,-0.5405652585830298,3.8647409913165327,4.776397747943567,2.6468135836729862,0.23411059845075252,0.6609610366426102,0.052679515842561295
FROZEN_2025_VALIDATION,9.5-9.99,A_CONTROL,88,9.73048217567934,10.409090909090908,0.6786087334115687,4.081078871816927,5.451298721153615,2.926642424206973,0.22729990137618045,0.6461375174758245,0.04477611141603099
FROZEN_2025_VALIDATION,9.5-9.99,B_PARK_ONLY,88,9.578069729039358,10.409090909090908,0.8310211800515499,4.067242451493485,5.423309275095276,2.9216007012480163,0.2284134370110314,0.6485452650827909,0.05339385466805139
FROZEN_2025_VALIDATION,9.5-9.99,C_CONFIDENCE_ONLY,88,9.716004568044061,10.409090909090908,0.6930863410468474,4.03588218310563,5.3781074637129205,2.896933079947263,0.22558032377026965,0.6423595968295187,0.04262975043613756
FROZEN_2025_VALIDATION,9.5-9.99,D_LOW_DEPTH,88,9.71337138963197,10.409090909090908,0.6957195194589386,4.03701851578683,5.3791565206847105,2.8976338008656284,0.2256496495114227,0.6425084939763896,0.042826570392550375
FROZEN_2025_VALIDATION,>=10.0,A_CONTROL,107,10.313084813695475,10.289719626168225,-0.023365187527249802,3.391210521160095,4.182979551807389,2.3829129431895058,0.21839650182673384,0.6271432381342179,0.03358329532515634
