variant,period,games,actual_minus_forecast_bias,bias_stability
A_CONTROL,FROZEN_2025_VALIDATION,2433,0.21504740002206743,MATERIAL_DRIFT
A_CONTROL,2026_SEQUENTIAL_EARLY,1281,0.5774332448470871,MATERIAL_DRIFT
A_CONTROL,2026_LATE_HOLDOUT,439,0.6610547573577193,MATERIAL_DRIFT
A_CONTROL,PROSPECTIVE_AUG06_15,126,0.558992375399351,MATERIAL_DRIFT
B_PARK_ONLY,FROZEN_2025_VALIDATION,2433,0.022841271842263648,SMALL_RESIDUAL_BIAS
B_PARK_ONLY,2026_SEQUENTIAL_EARLY,1281,0.17030081717828816,SMALL_RESIDUAL_BIAS
B_PARK_ONLY,2026_LATE_HOLDOUT,439,0.17216178771991095,SMALL_RESIDUAL_BIAS
B_PARK_ONLY,PROSPECTIVE_AUG06_15,126,0.023905626931632923,SMALL_RESIDUAL_BIAS
C_CONFIDENCE_ONLY,FROZEN_2025_VALIDATION,2433,-0.0915221438093045,SMALL_RESIDUAL_BIAS
C_CONFIDENCE_ONLY,2026_SEQUENTIAL_EARLY,1281,0.01306059625846816,SMALL_RESIDUAL_BIAS
C_CONFIDENCE_ONLY,2026_LATE_HOLDOUT,439,-0.00880467162149965,SMALL_RESIDUAL_BIAS
C_CONFIDENCE_ONLY,PROSPECTIVE_AUG06_15,126,-0.15533428351781042,SMALL_RESIDUAL_BIAS
D_LOW_DEPTH,FROZEN_2025_VALIDATION,2433,-0.08880232035263821,SMALL_RESIDUAL_BIAS
D_LOW_DEPTH,2026_SEQUENTIAL_EARLY,1281,0.015561795541819596,SMALL_RESIDUAL_BIAS
D_LOW_DEPTH,2026_LATE_HOLDOUT,439,-0.006360806738358838,SMALL_RESIDUAL_BIAS
D_LOW_DEPTH,PROSPECTIVE_AUG06_15,126,-0.15274119199537492,SMALL_RESIDUAL_BIAS
