period,metric,games,clusters,draws,seed,control_observed,repaired_observed,repaired_minus_control,ci_low,ci_high,fraction_draws_favoring_repaired,favor_contract,variant
2026_SEQUENTIAL_EARLY,crps,1281,98,10000,20260816,2.5051476024217507,2.488193035061624,-0.01695456736012657,-0.03778157299201228,0.004230939514069487,0.9443,LOWER_IS_BETTER,C_CONFIDENCE_ONLY
2026_SEQUENTIAL_EARLY,brier,1281,98,10000,20260816,0.22689948711410368,0.22495367973025673,-0.001945807383846948,-0.0043458722652204166,0.0004634756680101711,0.9439,LOWER_IS_BETTER,C_CONFIDENCE_ONLY
2026_SEQUENTIAL_EARLY,mae,1281,98,10000,20260816,3.5209459692414056,3.5544338338833588,0.03348786464195319,-0.001242381019819494,0.06775304028737462,0.0295,LOWER_IS_BETTER,D_LOW_DEPTH
2026_SEQUENTIAL_EARLY,rmse,1281,98,10000,20260816,4.500767948230816,4.478977860862776,-0.021790087368040112,-0.056244308161834476,0.013759476305758012,0.891,LOWER_IS_BETTER,D_LOW_DEPTH
2026_SEQUENTIAL_EARLY,actual_minus_forecast_bias,1281,98,10000,20260816,0.5774332448470871,0.015561795541819596,-0.5618714493052676,-0.5781566308333088,-0.545113548423911,0.9897,ABSOLUTE_BIAS_CLOSER_TO_ZERO,D_LOW_DEPTH
2026_SEQUENTIAL_EARLY,crps,1281,98,10000,20260816,2.5051476024217507,2.488027440430039,-0.017120161991711846,-0.037881034494676905,0.003949952588313013,0.947,LOWER_IS_BETTER,D_LOW_DEPTH
2026_SEQUENTIAL_EARLY,brier,1281,98,10000,20260816,0.22689948711410368,0.2249327888626217,-0.001966698251481991,-0.004351345537268788,0.00043543421609404864,0.9464,LOWER_IS_BETTER,D_LOW_DEPTH
2026_LATE_HOLDOUT,mae,439,33,10000,20260816,3.6782613120044236,3.7588648957244715,0.08060358372004783,0.03533202280349827,0.12488138694963195,0.0005,LOWER_IS_BETTER,B_PARK_ONLY
2026_LATE_HOLDOUT,rmse,439,33,10000,20260816,4.68092949277268,4.664873737287822,-0.01605575548485838,-0.05862598919907209,0.028343989879427448,0.7593,LOWER_IS_BETTER,B_PARK_ONLY
2026_LATE_HOLDOUT,actual_minus_forecast_bias,439,33,10000,20260816,0.6610547573577193,0.17216178771991095,-0.48889296963780837,-0.5140226436251675,-0.46293719464318017,0.982,ABSOLUTE_BIAS_CLOSER_TO_ZERO,B_PARK_ONLY
2026_LATE_HOLDOUT,crps,439,33,10000,20260816,2.6022766473304486,2.595315853634535,-0.006960793695913736,-0.03404126702163158,0.019300842628158333,0.6898,LOWER_IS_BETTER,B_PARK_ONLY
2026_LATE_HOLDOUT,brier,439,33,10000,20260816,0.23053602911161053,0.23071209742868853,0.0001760683170780042,-0.0031955495527858408,0.003475164079381861,0.458,LOWER_IS_BETTER,B_PARK_ONLY
2026_LATE_HOLDOUT,mae,439,33,10000,20260816,3.6782613120044236,3.765376544507537,0.08711523250311348,0.028530403488086723,0.14356387341115104,0.0021,LOWER_IS_BETTER,C_CONFIDENCE_ONLY
2026_LATE_HOLDOUT,rmse,439,33,10000,20260816,4.68092949277268,4.644464224923119,-0.036465267849560945,-0.09628561494389729,0.02554443111321745,0.8783,LOWER_IS_BETTER,C_CONFIDENCE_ONLY
2026_LATE_HOLDOUT,actual_minus_forecast_bias,439,33,10000,20260816,0.6610547573577193,-0.00880467162149965,-0.669859428979219,-0.6900345298415923,-0.6491255604727834,0.951,ABSOLUTE_BIAS_CLOSER_TO_ZERO,C_CONFIDENCE_ONLY
2026_LATE_HOLDOUT,crps,439,33,10000,20260816,2.6022766473304486,2.5806708933979086,-0.02160575393254005,-0.05974051910492256,0.015247514407073436,0.8721,LOWER_IS_BETTER,C_CONFIDENCE_ONLY
2026_LATE_HOLDOUT,brier,439,33,10000,20260816,0.23053602911161053,0.2291030539237818,-0.0014329751878287278,-0.005929979453965102,0.002975115577479085,0.731,LOWER_IS_BETTER,C_CONFIDENCE_ONLY
2026_LATE_HOLDOUT,mae,439,33,10000,20260816,3.6782613120044236,3.7655056703605734,0.08724435835614974,0.02885683775114505,0.14368496685104462,0.0021,LOWER_IS_BETTER,D_LOW_DEPTH
2026_LATE_HOLDOUT,rmse,439,33,10000,20260816,4.68092949277268,4.644912909775722,-0.03601658299695831,-0.0956058401296549,0.02575841432118832,0.8764,LOWER_IS_BETTER,D_LOW_DEPTH
2026_LATE_HOLDOUT,actual_minus_forecast_bias,439,33,10000,20260816,0.6610547573577193,-0.006360806738358838,-0.6674155640960782,-0.6873206331048226,-0.646825326587454,0.9511,ABSOLUTE_BIAS_CLOSER_TO_ZERO,D_LOW_DEPTH
2026_LATE_HOLDOUT,crps,439,33,10000,20260816,2.6022766473304486,2.5809962133495037,-0.021280433980944924,-0.05931930852272627,0.01545565780476284,0.8688,LOWER_IS_BETTER,D_LOW_DEPTH
2026_LATE_HOLDOUT,brier,439,33,10000,20260816,0.23053602911161053,0.22913843237059575,-0.0013975967410147783,-0.0058949585607197,0.002998907558666325,0.7266,LOWER_IS_BETTER,D_LOW_DEPTH
