period,feature,support_band,training_max,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece
FROZEN_2025_VALIDATION,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,A_CONTROL,180,9.535770941124795,9.222222222222221,-0.3135487189025722,3.396454360471806,4.202665881584896,2.3429138581997586,0.22439228545872794,0.6397724929440617,0.016984487736785056
FROZEN_2025_VALIDATION,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,B_PARK_ONLY,180,9.050524903568704,9.222222222222221,0.17169731865351984,3.3996396029209492,4.2689610125502835,2.382913760813367,0.2295063661073886,0.65115498453789,0.02525781136207972
FROZEN_2025_VALIDATION,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,C_CONFIDENCE_ONLY,180,9.183996528664581,9.222222222222221,0.03822569355764085,3.3800405310000543,4.238383889157409,2.3636127879801254,0.22676818193209117,0.6450660393273947,0.015150038287600857
FROZEN_2025_VALIDATION,park_history_depth,WITHIN_TRAINING_SUPPORT,161.0,D_LOW_DEPTH,180,9.18277385132931,9.222222222222221,0.03944837089291309,3.3811643969337757,4.239392590525412,2.364249268441409,0.2268577671170312,0.6452657876737423,0.014101751107797034
FROZEN_2025_VALIDATION,park_history_depth,ABOVE_TRAINING_MAX,161.0,A_CONTROL,2253,8.604239195003927,8.861517976031957,0.25727878102803065,3.613245433159458,4.621327795178799,2.5466702329746935,0.22740875033159902,0.6468178951557607,0.018661179882284946
FROZEN_2025_VALIDATION,park_history_depth,ABOVE_TRAINING_MAX,161.0,B_PARK_ONLY,2253,8.850569331098717,8.861517976031957,0.010948644933241818,3.625778072675265,4.605694893716743,2.5375959273938,0.22639257947940217,0.6444174093816947,0.010499527722548694
FROZEN_2025_VALIDATION,park_history_depth,ABOVE_TRAINING_MAX,161.0,C_CONFIDENCE_ONLY,2253,8.963406125489753,8.861517976031957,-0.1018881494577955,3.6345409201149486,4.603416977706801,2.5369909968511406,0.22638949596494218,0.6443806964304051,0.015497243449219773
FROZEN_2025_VALIDATION,park_history_depth,ABOVE_TRAINING_MAX,161.0,D_LOW_DEPTH,2253,8.960566689826317,8.861517976031957,-0.09904871379435996,3.6347668175663634,4.603877196233844,2.537263080164244,0.22641790473119094,0.6444434718161063,0.015145909868703393
FROZEN_2025_VALIDATION,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,A_CONTROL,1854,8.650633111931047,8.950377562028047,0.2997444500970015,3.565309527406447,4.600329085107535,2.523085001646783,0.22647811555679015,0.6448654294483653,0.021285007302899103
FROZEN_2025_VALIDATION,home_starter_prior_starts,WITHIN_TRAINING_SUPPORT,65.0,B_PARK_ONLY,1854,8.891655710187184,8.950377562028047,0.05872185184086242,3.5755412701197034,4.582313155014598,2.5128123596063676,0.22536815516209813,0.6422020295279944,0.00712043846356873
