variant,term,control_coefficient,candidate_coefficient,candidate_minus_control,absolute_change,sign_flip,mechanically_count_style_term,status,coefficient_reassignment_risk
B_PARK_ONLY,league_total,-0.01265250483616578,-0.009121384581001273,0.0035311202551645063,0.0035311202551645063,False,False,RETAINED,LOW
B_PARK_ONLY,home_offense,0.01438300487029133,0.015087237812546086,0.0007042329422547559,0.0007042329422547559,False,False,RETAINED,LOW
B_PARK_ONLY,home_prevention,-0.013582351836678185,-0.012296395860512854,0.001285955976165331,0.001285955976165331,False,False,RETAINED,LOW
B_PARK_ONLY,away_offense,0.013564475744245507,0.01422722503703608,0.0006627492927905737,0.0006627492927905737,False,False,RETAINED,LOW
B_PARK_ONLY,away_prevention,-0.013586090275206979,-0.012712933632803715,0.0008731566424032642,0.0008731566424032642,False,False,RETAINED,LOW
B_PARK_ONLY,home_starter_ra9,0.013753975761015624,0.014250473464018296,0.000496497703002672,0.000496497703002672,False,False,RETAINED,LOW
B_PARK_ONLY,away_starter_ra9,0.006799765020473005,0.00701805004626481,0.0002182850257918048,0.0002182850257918048,False,False,RETAINED,LOW
B_PARK_ONLY,home_starter_prior_starts,0.012677233712015375,0.0006045472197127954,-0.01207268649230258,0.01207268649230258,False,False,RETAINED,LOW
B_PARK_ONLY,away_starter_prior_starts,0.0008268356527004493,-0.010872043168452675,-0.011698878821153124,0.011698878821153124,True,False,RETAINED,LOW
B_PARK_ONLY,home_expected_outs,-0.011065970207803344,-0.007414313935690596,0.003651656272112748,0.003651656272112748,False,False,RETAINED,LOW
B_PARK_ONLY,away_expected_outs,0.007419496809107899,0.010418727359514813,0.002999230550406914,0.002999230550406914,False,False,RETAINED,LOW
B_PARK_ONLY,home_workload_uncertainty_outs,0.010362819278096425,0.010388781746984557,2.5962468888132348e-05,2.5962468888132348e-05,False,False,RETAINED,LOW
B_PARK_ONLY,away_workload_uncertainty_outs,0.0014323801126656583,0.0013164015179776812,-0.00011597859468797712,0.00011597859468797712,False,False,RETAINED,LOW
B_PARK_ONLY,home_bullpen_ra9,0.015070549615556185,0.01284178156967175,-0.002228768045884434,0.002228768045884434,False,False,RETAINED,LOW
B_PARK_ONLY,away_bullpen_ra9,0.010854280711089645,0.009848791942991162,-0.001005488768098483,0.001005488768098483,False,False,RETAINED,LOW
B_PARK_ONLY,home_bullpen_likely_available_reliever_count,-0.01084444912895344,-0.012382836433609365,-0.0015383873046559242,0.0015383873046559242,False,True,RETAINED,LOW
B_PARK_ONLY,away_bullpen_likely_available_reliever_count,0.003558827664027518,0.0021600145225947357,-0.0013988131414327822,0.0013988131414327822,False,True,RETAINED,LOW
B_PARK_ONLY,home_bullpen_recent_innings_burden,-0.000834537374008508,-0.0022483806124508248,-0.0014138432384423168,0.0014138432384423168,False,False,RETAINED,LOW
B_PARK_ONLY,away_bullpen_recent_innings_burden,0.007154814495771844,0.006149485167285061,-0.001005329328486783,0.001005329328486783,False,False,RETAINED,LOW
B_PARK_ONLY,strict_prior_total_run_factor,0.04347158492532503,0.0443690137870892,0.0008974288617641657,0.0008974288617641657,False,False,RETAINED,LOW
B_PARK_ONLY,park_history_depth,-0.02681303790069205,nan,nan,nan,False,False,REMOVED,LOW
B_PARK_ONLY,game_number,0.003839049993724805,0.003112184877286818,-0.000726865116437987,0.000726865116437987,False,True,RETAINED,LOW
B_PARK_ONLY,home_starter_n0,nan,nan,nan,nan,False,False,REMOVED,LOW
B_PARK_ONLY,home_starter_n1_2,nan,nan,nan,nan,False,False,REMOVED,LOW
B_PARK_ONLY,away_starter_n0,nan,nan,nan,nan,False,False,REMOVED,LOW
B_PARK_ONLY,away_starter_n1_2,nan,nan,nan,nan,False,False,REMOVED,LOW
C_CONFIDENCE_ONLY,league_total,-0.01265250483616578,-0.007650561803718463,0.0050019430324473165,0.0050019430324473165,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,home_offense,0.01438300487029133,0.015165920655995545,0.0007829157857042156,0.0007829157857042156,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,home_prevention,-0.013582351836678185,-0.011540466649533098,0.002041885187145086,0.002041885187145086,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,away_offense,0.013564475744245507,0.013775102685456396,0.00021062694121088896,0.00021062694121088896,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,away_prevention,-0.013586090275206979,-0.011846246357311912,0.0017398439178950668,0.0017398439178950668,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,home_starter_ra9,0.013753975761015624,0.014260987454727389,0.000507011693711765,0.000507011693711765,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,away_starter_ra9,0.006799765020473005,0.007002475915133584,0.0002027108946605783,0.0002027108946605783,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,home_starter_prior_starts,0.012677233712015375,nan,nan,nan,False,False,REMOVED,LOW
C_CONFIDENCE_ONLY,away_starter_prior_starts,0.0008268356527004493,nan,nan,nan,False,False,REMOVED,LOW
C_CONFIDENCE_ONLY,home_expected_outs,-0.011065970207803344,-0.007361001572272555,0.003704968635530789,0.003704968635530789,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,away_expected_outs,0.007419496809107899,0.0076670565942527575,0.0002475597851448585,0.0002475597851448585,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,home_workload_uncertainty_outs,0.010362819278096425,0.010736750416472023,0.0003739311383755984,0.0003739311383755984,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,away_workload_uncertainty_outs,0.0014323801126656583,0.0019722974722490407,0.0005399173595833824,0.0005399173595833824,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,home_bullpen_ra9,0.015070549615556185,0.011500430968169254,-0.003570118647386931,0.003570118647386931,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,away_bullpen_ra9,0.010854280711089645,0.008867486409897794,-0.001986794301191851,0.001986794301191851,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,home_bullpen_likely_available_reliever_count,-0.01084444912895344,-0.013262985030833062,-0.0024185359018796208,0.0024185359018796208,False,True,RETAINED,LOW
C_CONFIDENCE_ONLY,away_bullpen_likely_available_reliever_count,0.003558827664027518,0.0020310716464405666,-0.0015277560175869513,0.0015277560175869513,False,True,RETAINED,LOW
C_CONFIDENCE_ONLY,home_bullpen_recent_innings_burden,-0.000834537374008508,-0.0025168109530165667,-0.0016822735790080587,0.0016822735790080587,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,away_bullpen_recent_innings_burden,0.007154814495771844,0.006379359474389643,-0.0007754550213822011,0.0007754550213822011,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,strict_prior_total_run_factor,0.04347158492532503,0.04519379965478723,0.0017222147294621987,0.0017222147294621987,False,False,RETAINED,LOW
C_CONFIDENCE_ONLY,park_history_depth,-0.02681303790069205,nan,nan,nan,False,False,REMOVED,LOW
C_CONFIDENCE_ONLY,game_number,0.003839049993724805,0.00341793920317846,-0.0004211107905463447,0.0004211107905463447,False,True,RETAINED,LOW
C_CONFIDENCE_ONLY,home_starter_n0,nan,nan,nan,nan,False,False,REMOVED,LOW
C_CONFIDENCE_ONLY,home_starter_n1_2,nan,nan,nan,nan,False,False,REMOVED,LOW
C_CONFIDENCE_ONLY,away_starter_n0,nan,nan,nan,nan,False,False,REMOVED,LOW
C_CONFIDENCE_ONLY,away_starter_n1_2,nan,nan,nan,nan,False,False,REMOVED,LOW
D_LOW_DEPTH,league_total,-0.01265250483616578,-0.007377931335224827,0.005274573500940952,0.005274573500940952,False,False,RETAINED,LOW
D_LOW_DEPTH,home_offense,0.01438300487029133,0.015161011157259598,0.0007780062869682681,0.0007780062869682681,False,False,RETAINED,LOW
D_LOW_DEPTH,home_prevention,-0.013582351836678185,-0.011551804231314383,0.0020305476053638014,0.0020305476053638014,False,False,RETAINED,LOW
