comparison,delta
C_MEAN_MINUS_RAW_MEAN_MAE,0.1282777034503395
C_MEDIAN_MINUS_RAW_MEAN_MAE,0.060426856862641376
C_MEDIAN_MINUS_C_MEAN_MAE,-0.06785084658769813
