variant,line_policy,games,crps,proper_score_rows,brier,log_loss,ece
RAW_MEAN,FROZEN_GOVERNED_TOTAL_LINE,104,2.4780741465066374,101,0.247355341133771,0.6877613184077835,0.04508656736141217
RAW_V1_INTERCEPT,FROZEN_GOVERNED_TOTAL_LINE,104,2.4662461417389334,101,0.24699736169041162,0.6872413880557438,0.03200668102292778
C,FROZEN_GOVERNED_TOTAL_LINE,104,2.501614637037153,101,0.25249260226534725,0.6986094670970873,0.05714148894375809
STRICT_PRIOR_LEAGUE_BASELINE,COMMON_RAW_ALPHA_COMPARATIVE_BASELINE,104,2.5373025606184423,0,nan,nan,nan
TEAM_SHRUNK_BASELINE,COMMON_RAW_ALPHA_COMPARATIVE_BASELINE,104,2.516099675663952,0,nan,nan,nan
