metric,estimate,ci_95_lower,ci_95_upper,bootstrap_fraction_favoring_c,negative_delta_means,bootstrap_reps,seed
C_MEAN_MINUS_RAW_MAE,0.1282777034503395,0.008172286399237576,0.20694189050646283,0.0181,C_BETTER,10000,20260825
C_MEDIAN_MINUS_RAW_MAE,0.060426856862641376,0.02444532802367939,0.08900205843481902,0.0007,C_BETTER,10000,20260825
C_MINUS_RAW_RMSE,0.021727207402212123,-0.07257250782319014,0.11140635657283414,0.3137,C_BETTER,10000,20260825
C_MINUS_RAW_ABSOLUTE_BIAS,-0.36122466711977635,-0.7276224882510283,0.6497002643532752,0.7381,C_BETTER,10000,20260825
C_MINUS_RAW_CRPS,0.023540490530515434,-0.04362671923125838,0.07307656636537055,0.2192,C_BETTER,10000,20260825
C_MINUS_RAW_BRIER,0.005137261131576254,-0.007824929444432832,0.01432908357086164,0.1845,C_BETTER,10000,20260825
C_MINUS_RAW_LOG_LOSS,0.010848148689303727,-0.01559661595757333,0.029382621744972977,0.1773,C_BETTER,10000,20260825
