separation_band,n,nonpush_n,c_brier,c_log_loss,market_brier,market_log_loss,mean_actual_total,c_absolute_error,market_line_absolute_error,c_only_correct,market_only_correct
<0.5,36,35,0.2498289335598773,0.6927691647547997,0.25413826705684656,0.7014266638398888,8.833333333333334,3.475312733674917,3.4444444444444446,15,6
0.5-0.99,45,42,0.2443716386643167,0.6816874194754513,0.2488888766715903,0.6909225437392712,9.022222222222222,3.6823332110473763,3.688888888888889,10,8
1.0-1.49,13,11,0.27128626199494266,0.7360168974741529,0.24226591956020463,0.6776621252337314,8.23076923076923,4.149028452472933,3.6538461538461537,0,4
1.5-1.99,7,7,0.24652775324204815,0.6862902922581006,0.246000161638032,0.685128711291466,9.285714285714286,3.582740025979708,3.7857142857142856,1,0
>=2.0,3,3,0.3396324519313186,0.8856659059904994,0.24336261278390378,0.6798521958675225,5.0,4.074561690561853,2.0,0,1
