date,topic,experiment,decision,old_path,new_path
,HITS_OVER_1.5,mlb_hits15_champion_orientation_control_audit,NO_TERMINAL_DECISION_FILE,artifacts/analysis/model_development/mlb_hits15_champion_orientation_control_audit,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/hits/hits_15_over/mlb_hits15_champion_orientation_control_audit
,HITS_OVER_1.5,mlb_hits15_hitter_owned_multi_hit_validation,NO_TERMINAL_DECISION_FILE,artifacts/analysis/model_development/mlb_hits15_hitter_owned_multi_hit_validation,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/hits/hits_15_over/mlb_hits15_hitter_owned_multi_hit_validation
,HITS_OVER_1.5,mlb_hits15_three_way_directional_ownership_validation,NO_TERMINAL_DECISION_FILE,artifacts/analysis/model_development/mlb_hits15_three_way_directional_ownership_validation,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/hits/hits_15_over/mlb_hits15_three_way_directional_ownership_validation
,HITS_OVER_1.5,mlb_hits15_two_sided_matchup_advantage_audit,NO_TERMINAL_DECISION_FILE,artifacts/analysis/model_development/mlb_hits15_two_sided_matchup_advantage_audit,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/hits/hits_15_over/mlb_hits15_two_sided_matchup_advantage_audit
,HITS_UNDER_1.5,mlb_hits15_pitcher_suppression_under_validation,NO_TERMINAL_DECISION_FILE,artifacts/analysis/model_development/mlb_hits15_pitcher_suppression_under_validation,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/hits/hits_15_under/mlb_hits15_pitcher_suppression_under_validation
,HITS_UNDER_1.5,mlb_hits15_prospective_suppression_shadow,NO_TERMINAL_DECISION_FILE,artifacts/analysis/model_development/mlb_hits15_prospective_suppression_shadow,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/hits/hits_15_under/mlb_hits15_prospective_suppression_shadow
,HITS_UNDER_1.5,mlb_hits15_suppression_price_timing_and_shadow,NO_TERMINAL_DECISION_FILE,artifacts/analysis/model_development/mlb_hits15_suppression_price_timing_and_shadow,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/hits/hits_15_under/mlb_hits15_suppression_price_timing_and_shadow
,TB1.5_BATTING_ORDER,mlb_bol_tb15_historical_batting_order_rejection_audit,BOL_TB15_BOTTOM_ORDER_REPLICATION_DECISION = TIER1_HISTORY_TOO_LIMITED_FOR_DECISION,artifacts/analysis/model_development/mlb_bol_tb15_historical_batting_order_rejection_audit,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/batting_order/mlb_bol_tb15_historical_batting_order_rejection_audit
,TB1.5_BATTING_ORDER,mlb_ubo5_tb15_batting_order_calibration_audit,MLB_UBO5_TB15_PRODUCTION_ACTION_DECISION = READ_ONLY_NO_FILTER_MODEL_OR_ROUTING_CHANGE,artifacts/analysis/model_development/mlb_ubo5_tb15_batting_order_calibration_audit,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/batting_order/mlb_ubo5_tb15_batting_order_calibration_audit
,TB1.5_BATTING_ORDER,mlb_ubo5_tb15_order_penalty_interaction_audit,`UBO5_ORDER_MODEL_REDESIGN_DECISION = CONTINUED_PROSPECTIVE_OBSERVATION_ONLY`,artifacts/analysis/model_development/mlb_ubo5_tb15_order_penalty_interaction_audit,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/batting_order/mlb_ubo5_tb15_order_penalty_interaction_audit
,BOL_TB1.5,mlb_bol_tb15_low_opportunity_weak_contact_audit,`BOL_TB15_PROSPECTIVE_SHADOW_DECISION = BOUNDED_H8_SHADOW_TRACKING_JUSTIFIED_DIRECTIONAL_NOT_CERTIFIED`,artifacts/analysis/model_development/mlb_bol_tb15_low_opportunity_weak_contact_audit,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/bol_market_universe/mlb_bol_tb15_low_opportunity_weak_contact_audit
,HITS_TB_CROSS_PROP,mlb_hits15_tb15_cross_prop_rejection_audit,HITS15_TB15_INCREMENTAL_ORDER_VALUE_DECISION = NO_USEFUL_INCREMENTAL_VALUE_DESCRIPTIVE_ONLY,artifacts/analysis/model_development/mlb_hits15_tb15_cross_prop_rejection_audit,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/cross_prop_overlap/mlb_hits15_tb15_cross_prop_rejection_audit
,UBO5_TB1.5,mlb_ubo5_tb15_production_decommission,UBO5_TB15_REPOSITORY_DELETION_DECISION = NOT_PERFORMED_DECOMMISSION_ONLY,artifacts/analysis/model_development/mlb_ubo5_tb15_production_decommission,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/decommission/mlb_ubo5_tb15_production_decommission
,UBO5_TB1.5,mlb_ubo5_completed_game_feedback_loop,MLB_UBO5_PRODUCTION_ACTION_DECISION = MODEL_FROZEN_INPUT_FEEDBACK_LOOP_REPAIRED,artifacts/analysis/model_development/mlb_ubo5_completed_game_feedback_loop,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/reconciliation_and_closeout/mlb_ubo5_completed_game_feedback_loop
,UBO5_TB1.5,mlb_ubo5_tb15_counterfactual_incumbent_repair,NO_TERMINAL_DECISION_FILE,artifacts/analysis/model_development/mlb_ubo5_tb15_counterfactual_incumbent_repair,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/reconciliation_and_closeout/mlb_ubo5_tb15_counterfactual_incumbent_repair
,UBO5_TB1.5,mlb_ubo5_tb15_daily_feature_ledger_integration_repair,NO_TERMINAL_DECISION_FILE,artifacts/analysis/model_development/mlb_ubo5_tb15_daily_feature_ledger_integration_repair,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/reconciliation_and_closeout/mlb_ubo5_tb15_daily_feature_ledger_integration_repair
,UBO5_TB1.5,mlb_ubo5_tb15_human_readable_board,`MLB_UBO5_TB15_PRODUCTION_ACTION_DECISION = ROUTING_UNCHANGED_PRESENTATION_ONLY`,artifacts/analysis/model_development/mlb_ubo5_tb15_human_readable_board,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/reconciliation_and_closeout/mlb_ubo5_tb15_human_readable_board
,UBO5_TB1.5,mlb_ubo5_tb15_launchagent_daily_integration,`MLB_UBO5_TB15_PRODUCTION_ACTION_DECISION = ROUTE_REMAINS_ACTIVE_WITH_INCUMBENT_FAIL_CLOSED_FALLBACK`,artifacts/analysis/model_development/mlb_ubo5_tb15_launchagent_daily_integration,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/reconciliation_and_closeout/mlb_ubo5_tb15_launchagent_daily_integration
,UBO5_TB1.5,mlb_ubo5_tb15_outcome_reconciliation_lifecycle_repair,UBO5_TB15_RECONCILIATION_LIFECYCLE_DECISION = REPAIRED_NONBLOCKING_VISIBLE_FAIL_CLOSED,artifacts/analysis/model_development/mlb_ubo5_tb15_outcome_reconciliation_lifecycle_repair,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/reconciliation_and_closeout/mlb_ubo5_tb15_outcome_reconciliation_lifecycle_repair
,UBO5_TB1.5,mlb_ubo5_tb15_production_coverage_fallback_audit,NO_TERMINAL_DECISION_FILE,artifacts/analysis/model_development/mlb_ubo5_tb15_production_coverage_fallback_audit,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/reconciliation_and_closeout/mlb_ubo5_tb15_production_coverage_fallback_audit
,UBO5_TB1.5,mlb_total_bases_exact_champion_shadow_endpoint,NO_TERMINAL_DECISION_FILE,artifacts/analysis/model_development/mlb_total_bases_exact_champion_shadow_endpoint,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/ubo5/mlb_total_bases_exact_champion_shadow_endpoint
,UBO5_TB1.5,mlb_total_bases_production_shadow_ubo_terminal_reconciliation,NO_TERMINAL_DECISION_FILE,artifacts/analysis/model_development/mlb_total_bases_production_shadow_ubo_terminal_reconciliation,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/ubo5/mlb_total_bases_production_shadow_ubo_terminal_reconciliation
,UBO5_TB1.5,mlb_ubo5_tb15_broad_board_pre_post_bridge,UBO5_TB15_BROAD_APPROACH_REPLICATION_DECISION = BROAD_APPROACH_NOT_REPLICATED_IN_MARKET_POSITIVE_TAIL,artifacts/analysis/model_development/mlb_ubo5_tb15_broad_board_pre_post_bridge,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/ubo5/mlb_ubo5_tb15_broad_board_pre_post_bridge
,UBO5_TB1.5,mlb_ubo5_tb15_consensus_filter_test,MLB_UBO5_TB15_UPLOAD_AUTOMATION_DECISION = NOT_AUTHORIZED_DIAGNOSTIC_ONLY,artifacts/analysis/model_development/mlb_ubo5_tb15_consensus_filter_test,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/ubo5/mlb_ubo5_tb15_consensus_filter_test
,UBO5_TB1.5,mlb_ubo5_tb15_original_win_rate_contract_replay,UBO5_RAW_VS_EDGE_INTERPRETATION_DECISION = EDGE_BOARD_TESTS_MARKET_DISAGREEMENT_NOT_ORIGINAL_PROBABILITY_CONTRACT,artifacts/analysis/model_development/mlb_ubo5_tb15_original_win_rate_contract_replay,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/ubo5/mlb_ubo5_tb15_original_win_rate_contract_replay
,UBO5_TB1.5,mlb_ubo5_tb15_probability_advantage_decomposition,`UBO5_TB15_PRODUCTION_ACTION_DECISION = READ_ONLY_NO_CHANGE`,artifacts/analysis/model_development/mlb_ubo5_tb15_probability_advantage_decomposition,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/ubo5/mlb_ubo5_tb15_probability_advantage_decomposition
,UBO5_TB1.5,mlb_ubo5_tb15_upload_filter_test,MLB_UBO5_TB15_UPLOAD_AUTOMATION_DECISION = NOT_AUTHORIZED_DIAGNOSTIC_ONLY,artifacts/analysis/model_development/mlb_ubo5_tb15_upload_filter_test,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/ubo5/mlb_ubo5_tb15_upload_filter_test
,UBO5_TB1.5,mlb_ubo5_tb15_vs_incumbent_daily_population,UBO5_VS_INCUMBENT_LINEAGE_DECISION = NO_COMPARABLE_CANDIDATES_CAPTURE_STAGE_PASS_NO_SUBSTITUTION,artifacts/analysis/model_development/mlb_ubo5_tb15_vs_incumbent_daily_population,artifacts/analysis/model_development/mlb_hits_total_bases_research_archive/total_bases/tb15/ubo5/mlb_ubo5_tb15_vs_incumbent_daily_population
