script,purpose,historical_package,runtime_status,new_path or retained path
analyze_mlb_ubo5_tb15_broad_pre_post.py,UBO5_TB1.5,,RESEARCH_ONLY_UNREACHABLE,backend/mlb/scripts/research_archive/hits_total_bases/total_bases/ubo5/analyze_mlb_ubo5_tb15_broad_pre_post.py
audit_mlb_ubo5_tb15_july27_winner_recognition.py,UBO5_TB1.5,,RESEARCH_ONLY_UNREACHABLE,backend/mlb/scripts/research_archive/hits_total_bases/total_bases/ubo5/audit_mlb_ubo5_tb15_july27_winner_recognition.py
audit_mlb_ubo5_tb15_original_win_rate_contract.py,UBO5_TB1.5,,RESEARCH_ONLY_UNREACHABLE,backend/mlb/scripts/research_archive/hits_total_bases/total_bases/ubo5/audit_mlb_ubo5_tb15_original_win_rate_contract.py
audit_mlb_ubo5_tb15_production_coverage_fallback.py,UBO5_TB1.5,,RESEARCH_ONLY_UNREACHABLE,backend/mlb/scripts/research_archive/hits_total_bases/total_bases/ubo5/audit_mlb_ubo5_tb15_production_coverage_fallback.py
certify_mlb_ubo5_tb15_daily_ledger_repair.py,UBO5_TB1.5,,RESEARCH_ONLY_UNREACHABLE,backend/mlb/scripts/research_archive/hits_total_bases/total_bases/ubo5/certify_mlb_ubo5_tb15_daily_ledger_repair.py
certify_mlb_ubo5_tb15_outcome_reconciliation_repair.py,UBO5_TB1.5,,RESEARCH_ONLY_UNREACHABLE,backend/mlb/scripts/research_archive/hits_total_bases/total_bases/ubo5/certify_mlb_ubo5_tb15_outcome_reconciliation_repair.py
inventory_mlb_ubo5_tb15_vs_incumbent_daily.py,UBO5_TB1.5,,RESEARCH_ONLY_UNREACHABLE,backend/mlb/scripts/research_archive/hits_total_bases/total_bases/ubo5/inventory_mlb_ubo5_tb15_vs_incumbent_daily.py
run_mlb_ubo5_tb15_consensus_filter_test.py,UBO5_TB1.5,,RESEARCH_ONLY_UNREACHABLE,backend/mlb/scripts/research_archive/hits_total_bases/total_bases/ubo5/run_mlb_ubo5_tb15_consensus_filter_test.py
run_mlb_ubo5_tb15_role_envelope_pilot.py,UBO5_TB1.5,,RESEARCH_ONLY_UNREACHABLE,backend/mlb/scripts/research_archive/hits_total_bases/total_bases/ubo5/run_mlb_ubo5_tb15_role_envelope_pilot.py
run_mlb_ubo5_tb15_upload_filter_test.py,UBO5_TB1.5,,RESEARCH_ONLY_UNREACHABLE,backend/mlb/scripts/research_archive/hits_total_bases/total_bases/ubo5/run_mlb_ubo5_tb15_upload_filter_test.py
ubo5_tb15_outcome_resolver.py,Generic exact-ID outcome resolution,,ACTIVE_RETAINED,backend/mlb/shared/ubo5_tb15_outcome_resolver.py
build_mlb_bol_tb15_market_board.py,Neutral board generator,,ACTIVE_RETAINED,backend/mlb/scripts/build_mlb_bol_tb15_market_board.py
test_shared_mlb_ubo5_tb15_production_route.py,Decommission enforcement,,ACTIVE_RETAINED,backend/tests/test_shared_mlb_ubo5_tb15_production_route.py
test_mlb_bol_tb15_market_board.py,Neutral-board regression,,ACTIVE_RETAINED,backend/tests/test_mlb_bol_tb15_market_board.py
