canonical_season,game_id,regulation_home_goals,regulation_away_goals,regulation_tied,went_to_overtime,went_to_shootout,max_period,decision_type,final_home_goals,final_away_goals
2023,2023020001,5,3,False,False,False,3,REGULATION,5,3
2023,2023020002,2,4,False,False,False,3,REGULATION,2,4
2023,2023020003,4,1,False,False,False,3,REGULATION,4,1
2023,2023020004,5,3,False,False,False,3,REGULATION,5,3
2023,2023020005,5,5,True,True,True,4,SHOOTOUT,6,5
2023,2023020006,3,1,False,False,False,3,REGULATION,3,1
2023,2023020007,5,3,False,False,False,3,REGULATION,5,3
2023,2023020008,2,5,False,False,False,3,REGULATION,2,5
2023,2023020009,8,1,False,False,False,3,REGULATION,8,1
2023,2023020010,1,5,False,False,False,3,REGULATION,1,5
2023,2023020011,2,4,False,False,False,3,REGULATION,2,4
2023,2023020012,4,3,False,False,False,3,REGULATION,4,3
2023,2023020013,1,1,True,True,True,4,SHOOTOUT,2,1
2023,2023020014,2,0,False,False,False,3,REGULATION,2,0
2023,2023020015,3,0,False,False,False,3,REGULATION,3,0
2023,2023020016,1,4,False,False,False,3,REGULATION,1,4
2023,2023020017,3,3,True,True,True,4,SHOOTOUT,3,4
2023,2023020018,0,4,False,False,False,3,REGULATION,0,4
2023,2023020019,5,2,False,False,False,3,REGULATION,5,2
2023,2023020020,6,4,False,False,False,3,REGULATION,6,4
2023,2023020021,3,2,False,False,False,3,REGULATION,3,2
2023,2023020022,5,3,False,False,False,3,REGULATION,5,3
2023,2023020023,6,4,False,False,False,3,REGULATION,6,4
2023,2023020024,3,2,False,False,False,3,REGULATION,3,2
2023,2023020025,5,2,False,False,False,3,REGULATION,5,2
2023,2023020026,7,4,False,False,False,3,REGULATION,7,4
2023,2023020027,3,2,False,False,False,3,REGULATION,3,2
2023,2023020028,1,1,True,True,True,4,SHOOTOUT,2,1
2023,2023020029,3,4,False,False,False,3,REGULATION,3,4
2023,2023020030,1,1,True,True,True,4,SHOOTOUT,1,2
2023,2023020031,4,1,False,False,False,3,REGULATION,4,1
2023,2023020032,5,5,True,True,True,4,SHOOTOUT,5,6
2023,2023020033,5,2,False,False,False,3,REGULATION,5,2
2023,2023020034,6,3,False,False,False,3,REGULATION,6,3
2023,2023020035,0,4,False,False,False,3,REGULATION,0,4
2023,2023020036,3,4,False,False,False,3,REGULATION,3,4
2023,2023020037,2,1,False,False,False,3,REGULATION,2,1
2023,2023020038,1,4,False,False,False,3,REGULATION,1,4
2023,2023020039,2,2,True,True,True,4,SHOOTOUT,3,2
2023,2023020040,2,2,True,True,False,4,OVERTIME,3,2
2023,2023020041,2,5,False,False,False,3,REGULATION,2,5
2023,2023020042,2,0,False,False,False,3,REGULATION,2,0
2023,2023020043,1,0,False,False,False,3,REGULATION,1,0
2023,2023020044,1,6,False,False,False,3,REGULATION,1,6
2023,2023020045,1,5,False,False,False,3,REGULATION,1,5
2023,2023020046,1,4,False,False,False,3,REGULATION,1,4
2023,2023020047,3,6,False,False,False,3,REGULATION,3,6
2023,2023020048,2,2,True,True,True,4,SHOOTOUT,3,2
2023,2023020049,6,1,False,False,False,3,REGULATION,6,1
2023,2023020050,6,3,False,False,False,3,REGULATION,6,3
2023,2023020051,3,4,False,False,False,3,REGULATION,3,4
2023,2023020052,3,1,False,False,False,3,REGULATION,3,1
2023,2023020053,1,4,False,False,False,3,REGULATION,1,4
2023,2023020054,4,1,False,False,False,3,REGULATION,4,1
2023,2023020055,4,3,False,False,False,3,REGULATION,4,3
2023,2023020056,3,7,False,False,False,3,REGULATION,3,7
2023,2023020057,2,6,False,False,False,3,REGULATION,2,6
2023,2023020058,3,5,False,False,False,3,REGULATION,3,5
2023,2023020059,2,3,False,False,False,3,REGULATION,2,3
2023,2023020060,7,4,False,False,False,3,REGULATION,7,4
2023,2023020061,4,0,False,False,False,3,REGULATION,4,0
2023,2023020062,1,3,False,False,False,3,REGULATION,1,3
2023,2023020063,3,1,False,False,False,3,REGULATION,3,1
2023,2023020064,4,4,True,True,False,4,OVERTIME,4,5
2023,2023020065,2,5,False,False,False,3,REGULATION,2,5
2023,2023020066,2,1,False,False,False,3,REGULATION,2,1
2023,2023020067,3,1,False,False,False,3,REGULATION,3,1
2023,2023020068,3,5,False,False,False,3,REGULATION,3,5
2023,2023020069,2,2,True,True,False,4,OVERTIME,3,2
2023,2023020070,3,3,True,True,False,4,OVERTIME,3,4
2023,2023020071,3,5,False,False,False,3,REGULATION,3,5
2023,2023020072,4,4,True,True,False,4,OVERTIME,5,4
2023,2023020073,4,4,True,True,False,4,OVERTIME,4,5
2023,2023020074,5,1,False,False,False,3,REGULATION,5,1
2023,2023020075,4,2,False,False,False,3,REGULATION,4,2
2023,2023020076,6,4,False,False,False,3,REGULATION,6,4
2023,2023020077,2,2,True,True,False,4,OVERTIME,2,3
2023,2023020078,1,4,False,False,False,3,REGULATION,1,4
2023,2023020079,2,4,False,False,False,3,REGULATION,2,4
2023,2023020080,6,2,False,False,False,3,REGULATION,6,2
2023,2023020081,1,3,False,False,False,3,REGULATION,1,3
2023,2023020082,1,3,False,False,False,3,REGULATION,1,3
2023,2023020083,1,4,False,False,False,3,REGULATION,1,4
2023,2023020084,2,2,True,True,False,4,OVERTIME,2,3
2023,2023020085,4,6,False,False,False,3,REGULATION,4,6
2023,2023020086,3,0,False,False,False,3,REGULATION,3,0
2023,2023020087,2,5,False,False,False,3,REGULATION,2,5
2023,2023020088,1,4,False,False,False,3,REGULATION,1,4
2023,2023020089,3,1,False,False,False,3,REGULATION,3,1
2023,2023020090,4,7,False,False,False,3,REGULATION,4,7
2023,2023020091,4,4,True,True,False,4,OVERTIME,4,5
2023,2023020092,0,3,False,False,False,3,REGULATION,0,3
2023,2023020093,4,2,False,False,False,3,REGULATION,4,2
2023,2023020094,7,4,False,False,False,3,REGULATION,7,4
2023,2023020095,2,3,False,False,False,3,REGULATION,2,3
2023,2023020096,1,3,False,False,False,3,REGULATION,1,3
2023,2023020097,6,3,False,False,False,3,REGULATION,6,3
2023,2023020098,3,2,False,False,False,3,REGULATION,3,2
2023,2023020099,4,6,False,False,False,3,REGULATION,4,6
2023,2023020100,3,3,True,True,False,4,OVERTIME,3,4
2023,2023020101,2,2,True,True,False,4,OVERTIME,3,2
2023,2023020102,1,4,False,False,False,3,REGULATION,1,4
2023,2023020103,3,3,True,True,False,4,OVERTIME,4,3
2023,2023020104,6,2,False,False,False,3,REGULATION,6,2
2023,2023020105,4,0,False,False,False,3,REGULATION,4,0
2023,2023020106,6,0,False,False,False,3,REGULATION,6,0
2023,2023020107,3,2,False,False,False,3,REGULATION,3,2
2023,2023020108,1,4,False,False,False,3,REGULATION,1,4
2023,2023020109,0,3,False,False,False,3,REGULATION,0,3
2023,2023020110,0,3,False,False,False,3,REGULATION,0,3
2023,2023020111,3,3,True,True,False,4,OVERTIME,3,4
2023,2023020112,3,0,False,False,False,3,REGULATION,3,0
2023,2023020113,5,4,False,False,False,3,REGULATION,5,4
2023,2023020114,2,2,True,True,True,4,SHOOTOUT,3,2
2023,2023020115,4,5,False,False,False,3,REGULATION,4,5
2023,2023020116,5,0,False,False,False,3,REGULATION,5,0
2023,2023020117,4,7,False,False,False,3,REGULATION,4,7
2023,2023020118,3,2,False,False,False,3,REGULATION,3,2
2023,2023020119,4,1,False,False,False,3,REGULATION,4,1
2023,2023020120,0,2,False,False,False,3,REGULATION,0,2
2023,2023020121,3,3,True,True,True,4,SHOOTOUT,4,3
2023,2023020122,2,2,True,True,False,4,OVERTIME,3,2
2023,2023020123,2,5,False,False,False,3,REGULATION,2,5
2023,2023020124,3,3,True,True,False,4,OVERTIME,3,4
2023,2023020125,3,3,True,True,True,4,SHOOTOUT,3,4
2023,2023020126,4,0,False,False,False,3,REGULATION,4,0
2023,2023020127,4,3,False,False,False,3,REGULATION,4,3
2023,2023020128,3,1,False,False,False,3,REGULATION,3,1
2023,2023020129,5,2,False,False,False,3,REGULATION,5,2
2023,2023020130,2,2,True,True,False,4,OVERTIME,3,2
2023,2023020131,2,3,False,False,False,3,REGULATION,2,3
2023,2023020132,3,4,False,False,False,3,REGULATION,3,4
2023,2023020133,3,3,True,True,False,4,OVERTIME,3,4
2023,2023020134,3,3,True,True,False,4,OVERTIME,3,4
2023,2023020135,2,2,True,True,False,4,OVERTIME,2,3
2023,2023020136,5,3,False,False,False,3,REGULATION,5,3
2023,2023020137,8,1,False,False,False,3,REGULATION,8,1
2023,2023020138,2,2,True,True,True,4,SHOOTOUT,3,2
2023,2023020139,1,4,False,False,False,3,REGULATION,1,4
2023,2023020140,5,2,False,False,False,3,REGULATION,5,2
2023,2023020141,2,5,False,False,False,3,REGULATION,2,5
2023,2023020142,3,4,False,False,False,3,REGULATION,3,4
2023,2023020143,4,1,False,False,False,3,REGULATION,4,1
2023,2023020144,3,3,True,True,False,4,OVERTIME,4,3
2023,2023020145,2,2,True,True,True,4,SHOOTOUT,3,2
2023,2023020146,4,2,False,False,False,3,REGULATION,4,2
2023,2023020147,0,2,False,False,False,3,REGULATION,0,2
2023,2023020148,2,1,False,False,False,3,REGULATION,2,1
2023,2023020149,2,3,False,False,False,3,REGULATION,2,3
2023,2023020150,0,3,False,False,False,3,REGULATION,0,3
2023,2023020151,3,5,False,False,False,3,REGULATION,3,5
2023,2023020152,3,4,False,False,False,3,REGULATION,3,4
2023,2023020153,3,2,False,False,False,3,REGULATION,3,2
2023,2023020154,4,2,False,False,False,3,REGULATION,4,2
2023,2023020155,5,2,False,False,False,3,REGULATION,5,2
2023,2023020156,1,10,False,False,False,3,REGULATION,1,10
2023,2023020157,1,5,False,False,False,3,REGULATION,1,5
2023,2023020158,4,1,False,False,False,3,REGULATION,4,1
2023,2023020159,2,5,False,False,False,3,REGULATION,2,5
2023,2023020160,3,5,False,False,False,3,REGULATION,3,5
2023,2023020161,5,4,False,False,False,3,REGULATION,5,4
2023,2023020162,4,6,False,False,False,3,REGULATION,4,6
2023,2023020163,0,5,False,False,False,3,REGULATION,0,5
2023,2023020164,6,3,False,False,False,3,REGULATION,6,3
2023,2023020165,4,6,False,False,False,3,REGULATION,4,6
2023,2023020166,2,1,False,False,False,3,REGULATION,2,1
2023,2023020167,3,3,True,True,False,4,OVERTIME,3,4
2023,2023020168,5,2,False,False,False,3,REGULATION,5,2
2023,2023020169,4,4,True,True,True,4,SHOOTOUT,5,4
2023,2023020170,3,6,False,False,False,3,REGULATION,3,6
2023,2023020171,2,10,False,False,False,3,REGULATION,2,10
2023,2023020172,2,0,False,False,False,3,REGULATION,2,0
2023,2023020173,7,0,False,False,False,3,REGULATION,7,0
2023,2023020174,2,4,False,False,False,3,REGULATION,2,4
2023,2023020175,4,2,False,False,False,3,REGULATION,4,2
2023,2023020176,4,4,True,True,False,4,OVERTIME,5,4
2023,2023020177,5,5,True,True,False,4,OVERTIME,6,5
2023,2023020178,2,3,False,False,False,3,REGULATION,2,3
2023,2023020179,6,2,False,False,False,3,REGULATION,6,2
2023,2023020180,2,2,True,True,False,4,OVERTIME,3,2
2023,2023020181,3,5,False,False,False,3,REGULATION,3,5
2023,2023020182,2,4,False,False,False,3,REGULATION,2,4
2023,2023020183,5,3,False,False,False,3,REGULATION,5,3
2023,2023020184,2,5,False,False,False,3,REGULATION,2,5
2023,2023020185,3,3,True,True,True,4,SHOOTOUT,4,3
2023,2023020186,4,2,False,False,False,3,REGULATION,4,2
2023,2023020187,0,2,False,False,False,3,REGULATION,0,2
2023,2023020188,6,3,False,False,False,3,REGULATION,6,3
2023,2023020189,2,1,False,False,False,3,REGULATION,2,1
2023,2023020190,3,6,False,False,False,3,REGULATION,3,6
2023,2023020191,3,3,True,True,False,4,OVERTIME,3,4
2023,2023020192,1,4,False,False,False,3,REGULATION,1,4
2023,2023020193,5,2,False,False,False,3,REGULATION,5,2
2023,2023020194,2,5,False,False,False,3,REGULATION,2,5
2023,2023020195,2,2,True,True,False,4,OVERTIME,2,3
2023,2023020196,4,1,False,False,False,3,REGULATION,4,1
2023,2023020197,2,5,False,False,False,3,REGULATION,2,5
2023,2023020198,3,5,False,False,False,3,REGULATION,3,5
2023,2023020199,2,1,False,False,False,3,REGULATION,2,1
2023,2023020200,6,3,False,False,False,3,REGULATION,6,3
2023,2023020201,3,4,False,False,False,3,REGULATION,3,4
2023,2023020202,3,3,True,True,False,4,OVERTIME,3,4
2023,2023020203,3,2,False,False,False,3,REGULATION,3,2
2023,2023020204,3,2,False,False,False,3,REGULATION,3,2
2023,2023020205,5,2,False,False,False,3,REGULATION,5,2
2023,2023020206,2,4,False,False,False,3,REGULATION,2,4
2023,2023020207,4,4,True,True,True,4,SHOOTOUT,5,4
2023,2023020208,3,6,False,False,False,3,REGULATION,3,6
2023,2023020209,5,0,False,False,False,3,REGULATION,5,0
2023,2023020210,5,4,False,False,False,3,REGULATION,5,4
2023,2023020211,2,3,False,False,False,3,REGULATION,2,3
2023,2023020212,2,2,True,True,False,4,OVERTIME,3,2
2023,2023020213,4,1,False,False,False,3,REGULATION,4,1
2023,2023020214,0,4,False,False,False,3,REGULATION,0,4
2023,2023020215,5,2,False,False,False,3,REGULATION,5,2
2023,2023020216,1,4,False,False,False,3,REGULATION,1,4
2023,2023020217,4,0,False,False,False,3,REGULATION,4,0
2023,2023020218,5,7,False,False,False,3,REGULATION,5,7
2023,2023020219,2,8,False,False,False,3,REGULATION,2,8
2023,2023020220,1,4,False,False,False,3,REGULATION,1,4
2023,2023020221,2,4,False,False,False,3,REGULATION,2,4
2023,2023020222,4,3,False,False,False,3,REGULATION,4,3
2023,2023020223,3,8,False,False,False,3,REGULATION,3,8
2023,2023020224,2,5,False,False,False,3,REGULATION,2,5
2023,2023020225,3,3,True,True,True,4,SHOOTOUT,4,3
2023,2023020226,4,1,False,False,False,3,REGULATION,4,1
2023,2023020227,4,1,False,False,False,3,REGULATION,4,1
2023,2023020228,1,5,False,False,False,3,REGULATION,1,5
2023,2023020229,2,5,False,False,False,3,REGULATION,2,5
2023,2023020230,3,5,False,False,False,3,REGULATION,3,5
2023,2023020231,1,2,False,False,False,3,REGULATION,1,2
2023,2023020232,3,0,False,False,False,3,REGULATION,3,0
2023,2023020233,3,3,True,True,False,4,OVERTIME,4,3
2023,2023020234,2,3,False,False,False,3,REGULATION,2,3
2023,2023020235,5,0,False,False,False,3,REGULATION,5,0
2023,2023020236,6,3,False,False,False,3,REGULATION,6,3
2023,2023020237,3,5,False,False,False,3,REGULATION,3,5
2023,2023020238,1,3,False,False,False,3,REGULATION,1,3
2023,2023020239,3,3,True,True,False,4,OVERTIME,4,3
2023,2023020240,8,2,False,False,False,3,REGULATION,8,2
2023,2023020241,3,3,True,True,False,4,OVERTIME,4,3
2023,2023020242,4,4,True,True,False,4,OVERTIME,5,4
2023,2023020243,2,3,False,False,False,3,REGULATION,2,3
2023,2023020244,5,6,False,False,False,3,REGULATION,5,6
2023,2023020245,2,5,False,False,False,3,REGULATION,2,5
2023,2023020246,2,4,False,False,False,3,REGULATION,2,4
2023,2023020247,5,2,False,False,False,3,REGULATION,5,2
2023,2023020248,3,3,True,True,True,4,SHOOTOUT,4,3
2023,2023020249,2,1,False,False,False,3,REGULATION,2,1
2023,2023020250,5,1,False,False,False,3,REGULATION,5,1
