canonical_season,gate,gate_name,input_rows,qualified_rows,excluded_rows,exclusion_reason
2023,0,RAW_GAMES,1400,1400,0,NONE
2023,1,IDENTITY_QUALIFIED,1400,1400,0,NONE
2023,2,FINAL_STATUS_QUALIFIED,1400,1400,0,NONE
2023,3,SCORE_QUALIFIED,1400,1400,0,NONE
2023,4,WINNER_QUALIFIED,1400,1400,0,NONE
2023,5,FIXED_MONEYLINE_OUTCOME_POPULATION,1400,1400,0,NONE
2024,0,RAW_GAMES,1398,1398,0,NONE
2024,1,IDENTITY_QUALIFIED,1398,1398,0,NONE
2024,2,FINAL_STATUS_QUALIFIED,1398,1398,0,NONE
2024,3,SCORE_QUALIFIED,1398,1398,0,NONE
2024,4,WINNER_QUALIFIED,1398,1398,0,NONE
2024,5,FIXED_MONEYLINE_OUTCOME_POPULATION,1398,1398,0,NONE
ALL,0,RAW_GAMES,2798,2798,0,NONE
ALL,1,IDENTITY_QUALIFIED,2798,2798,0,NONE
ALL,2,FINAL_STATUS_QUALIFIED,2798,2798,0,NONE
ALL,3,SCORE_QUALIFIED,2798,2798,0,NONE
ALL,4,WINNER_QUALIFIED,2798,2798,0,NONE
ALL,5,FIXED_MONEYLINE_OUTCOME_POPULATION,2798,2798,0,NONE
