league,slate_date,game_date,game_id,game_type,home_team_code,away_team_code,player_id,player_name,prop_type,market_key,line,prob_over,prob_under,fair_odds_over_american,fair_odds_under_american,model_pick_side,model_pick_prob,prediction_source_file,generated_at_utc
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,672960,Kazuma Okamoto,hits,batter_hits,0.5,0.559245,0.440755,-127,127,over,0.559245,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,672960,Kazuma Okamoto,hits_runs_rbis,batter_h+r+rbi,1.5,0.605191,0.394809,-153,153,over,0.605191,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,672960,Kazuma Okamoto,singles,batter_singles,0.5,0.508955,0.491045,-104,104,over,0.508955,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,672960,Kazuma Okamoto,total_bases,batter_bases,1.5,0.583597,0.416403,-140,140,over,0.583597,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,691785,Marcelo Mayer,hits,batter_hits,0.5,0.466179,0.533821,115,-115,under,0.533821,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,691785,Marcelo Mayer,singles,batter_singles,0.5,0.459048,0.540952,118,-118,under,0.540952,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,691785,Marcelo Mayer,total_bases,batter_bases,0.5,0.550767,0.449233,-123,123,over,0.550767,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,664702,Myles Straw,hits,batter_hits,0.5,0.428578,0.571422,133,-133,under,0.571422,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,664702,Myles Straw,singles,batter_singles,0.5,0.508955,0.491045,-104,104,over,0.508955,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
MLB,2026-04-27,2026-04-27,822825,R,TOR,BOS,664702,Myles Straw,total_bases,batter_bases,0.5,0.500698,0.499302,-100,100,over,0.500698,backend/mlb/data/processed/mlb_predictions_wide_calibrated_weighted.csv,2026-04-27T17:48:57.447987+00:00
