player_id,game_id,team_id,opponent_id,is_home,game_date,season,season_5on5_icetime_per_game,season_5on5_shifts_per_game,szn_toi_per_game_5on5,szn_toi_per_game_pp,szn_toi_per_game_pk,szn_shifts_per_game_pp,szn_shifts_per_game_pk,d5_sog_per60,d10_sog_per60,d20_sog_per60,attempts_d10_per60,rest_days,b2b_flag,pace_matchup_index
8470613,2025020699,21,29,True,2026-01-10,2025,,,15.7282608695652,1.42,2.69710144927536,2.5,3.56521739130435,,,,,2,False,0.94994399502177971496
8470621,2025020709,26,22,False,2026-01-10,2025,,,11.0231481481481,2.42058823529412,0.175,2.58823529411765,1.5,,,,,5,False,0.94994399502177971496
8471215,2025020698,5,20,True,2026-01-10,2025,,,14.6939393939394,2.94666666666667,0.320833333333333,3,1.5,,,,,2,False,1.04821406347230870000
8471675,2025020698,5,20,True,2026-01-10,2025,,,16.7826086956522,3.61439393939394,0.338333333333333,3.18181818181818,1.6,,,,,2,False,1.04821406347230870000
8471685,2025020709,26,22,False,2026-01-10,2025,,,14.415873015873,3.0425,1.15614035087719,3.2,3.63157894736842,,,,,5,False,0.98270068450528936031
8471724,2025020698,5,20,True,2026-01-10,2025,,,19.1016666666667,1.72156862745098,1.74537037037037,2.41176470588235,2.33333333333333,,,,,2,False,1.04821406347230870000
8471817,2025020700,28,25,True,2026-01-10,2025,,,8.25526315789474,0.319047619047619,0.0833333333333333,1.14285714285714,1,,,,,3,False,0.78616054760423148825
8473419,2025020704,13,9,False,2026-01-10,2025,,,13.8946666666667,3.56933333333333,1.58913043478261,3.56,2.8695652173913,,,,,4,False,0.94994399502177971496
8473422,2025020707,16,18,False,2026-01-10,2025,,,10.5307692307692,1.86833333333333,2.08,2.6,4.2,,,,,1,True,0.88443061605476042428
8473507,2025020704,13,9,False,2026-01-10,2025,,,13.555,1.89166666666667,1.24880952380952,2.57142857142857,2.57142857142857,,,,,2,False,1.08097075295581830000
8473512,2025020704,9,13,True,2026-01-10,2025,,,13.0931818181818,2.3219696969697,2.14285714285714,2.90909090909091,4,,,,,2,False,0.94994399502177971496
8473533,2025020706,12,55,True,2026-01-10,2025,,,12.918115942029,1.20396825396825,2.44924242424242,3.19047619047619,3.81818181818182,,,,,2,False,0.94994399502177971496
8473986,2025020701,24,7,False,2026-01-10,2025,,,11.4263888888889,1.55,2.32569444444444,2.125,4.08333333333333,,,,,2,False,0.94994399502177971496
8473994,2025020700,25,28,False,2026-01-10,2025,,,12.0190476190476,1.16969696969697,0.352777777777778,1.54545454545455,1,,,,,6,False,1.08097075295581830000
8474037,2025020703,17,8,False,2026-01-10,2025,,,11.1377192982456,1.7780701754386,0.172222222222222,2.15789473684211,1.33333333333333,,,,,2,False,1.01545737398879900000
8474090,2025020699,29,21,False,2026-01-10,2025,,,10.0119047619048,0.225,1.0125,1,1.75,,,,,12,False,1.01545737398879900000
8474102,2025020704,9,13,True,2026-01-10,2025,,,11.2121212121212,2.1469696969697,0.343055555555556,2.63636363636364,1.33333333333333,,,,,2,False,0.94994399502177971496
