game_date,game_pk,original_raw_expected_total,corrected_state_raw_expected_total,corrected_minus_original,original_probability_distribution_0_to_30plus,corrected_probability_distribution_0_to_30plus,evidence_class,original_prediction_preserved
2026-08-07,822699,8.265037795601522,8.30165316348323,0.036615367881708494,"[0.0036245242131416567,0.01447283411593468,0.0326355681635866,0.05468398402513857,0.07578736714495792,0.09186244306157888,0.10070290080689125,0.10205939635233488,0.09709891274814142,0.08769160176680754,0.07580871307433991,0.0631403866611203,0.05092628290170229,0.039940127335772166,0.030561131989808855,0.022878690351915587,0.016796082649594393,0.01211596454806132,0.008602293529919137,0.006020163735596265,0.004158034561011112,0.0028374763599133077,0.0019149672083567596,0.0012792250315649468,0.0008464845504178825,0.000555228769571958,0.0003612180518162562,0.00023321082176371984,0.00014949403700752166,9.518947944694822e-05,0.0001601019527859341]","[0.0035610431562865547,0.014249716613490938,0.03220106478641153,0.05407115096935434,0.07509805651719388,0.09122130497847375,0.10021360423785886,0.10178038940214318,0.09704024657921635,0.08782576451201894,0.07608682671833253,0.06350735076511482,0.0513316411005792,0.040344006728894787,0.03093609057498803,0.02320884703082349,0.017074846978002944,0.012343355088132744,0.008782454289277764,0.006159370878838536,0.004263267255071531,0.0029155005469630865,0.0019718261800117064,0.0013200204137109742,0.0008753447797556171,0.0005753849299852213,0.00037513050292071033,0.0002427102089789412,0.00015591562015713608,9.949038694882208e-05,0.00016827727006304467]",COUNTERFACTUAL_CORRECTED_FEATURE_STATE_NOT_ORIGINAL_PREDICTION,True
2026-08-07,822863,7.827489310909554,7.908886228119543,0.08139691720998865,"[0.004490925488034913,0.01746085141903542,0.03833804816016161,0.06254980452356658,0.08440916755769393,0.09962257818372246,0.10633806536587788,0.10493654415161519,0.09721093439121324,0.08548417837332169,0.07195713300261833,0.05835646183538845,0.045830087047951336,0.034998153959127073,0.026075468311151626,0.019007317498787674,0.013587033936194344,0.009543367305916865,0.006597583437676795,0.004495789051364664,0.003023519021393517,0.0020090181051914155,0.0013202006083691427,0.0008587218711723478,0.0005532884439861696,0.0003533714944758779,0.00022384942657607322,0.00014072207418377788,8.783434900008464e-05,5.445734411905361e-05,8.552426111247503e-05]","[0.004313429013996004,0.016856914171360662,0.03720219033500619,0.06100849639155031,0.0827522545946397,0.0981688825732718,0.1053248085831112,0.10447070711481883,0.09727668163267945,0.08598154100161803,0.07274768656724388,0.05930074387606212,0.04681097896616449,0.035930894727752696,0.026907965647224228,0.019714938641139684,0.014165278373854534,0.01000064349612573,0.006949235839264333,0.004759747755847794,0.003217485293993889,0.0021488869527146385,0.0014193696020492644,0.000927970026354057,0.0006009784191071514,0.0003858021499833663,0.0002456489824524651,0.00015521978019006848,9.73811897127164e-05,6.068662692110856e-05,9.655167378954764e-05]",COUNTERFACTUAL_CORRECTED_FEATURE_STATE_NOT_ORIGINAL_PREDICTION,True
2026-08-07,823024,7.443677350555572,7.443677350555572,0.0,"[0.005447167121907233,0.020649869412427475,0.044207803154708764,0.07032535519656315,0.09253214659817087,0.10648240198163776,0.11082196834365489,0.10663036717584257,0.09631330967715415,0.08257982794896969,0.06777649806987333,0.05359339499436659,0.04103836417915889,0.030556354418345772,0.02219757647032092,0.015776523743858743,0.010995935626226758,0.007530541569720252,0.005076057168350639,0.003372598022518414,0.002211507432178268,0.0014327703681479593,0.0009180148603383935,0.0005822095829780317,0.00036575937551678727,0.00022776785046828066,0.00014068051146363264,8.622976897954934e-05,5.2477897138147665e-05,3.1723824345947305e-05,4.6797654668161796e-05]","[0.005447167121907233,0.020649869412427475,0.044207803154708764,0.07032535519656315,0.09253214659817087,0.10648240198163776,0.11082196834365489,0.10663036717584257,0.09631330967715415,0.08257982794896969,0.06777649806987333,0.05359339499436659,0.04103836417915889,0.030556354418345772,0.02219757647032092,0.015776523743858743,0.010995935626226758,0.007530541569720252,0.005076057168350639,0.003372598022518414,0.002211507432178268,0.0014327703681479593,0.0009180148603383935,0.0005822095829780317,0.00036575937551678727,0.00022776785046828066,0.00014068051146363264,8.622976897954934e-05,5.2477897138147665e-05,3.1723824345947305e-05,4.6797654668161796e-05]",COUNTERFACTUAL_CORRECTED_FEATURE_STATE_NOT_ORIGINAL_PREDICTION,True
2026-08-07,823103,7.8947180797185945,7.886804049133603,-0.007914030584991849,"[0.004343746592071072,0.016960355375263872,0.03739731557457664,0.061274148773283646,0.08303894952866164,0.0984217098287517,0.10550250777855494,0.10455424854901986,0.0972682146245483,0.08589788448368413,0.07261251462207238,0.059138115017927755,0.046641241980748524,0.03576888982977998,0.026762910400989284,0.019591286319591103,0.014063961925728709,0.00992031723899362,0.006887311281206596,0.004713154162774837,0.0031831662724259727,0.0021240824438414517,0.0014017428408626784,0.0009156338544614841,0.0005924637955876233,0.00037999915380818733,0.00024173971284707185,0.000152614269723998,9.566172352587583e-05,5.956226038314399e-05,9.454978430383934e-05]","[0.0043607860791407185,0.01701844083998361,0.037506779081694294,0.06142301749231996,0.08319940640169766,0.09856297568629943,0.10560152841217264,0.10460046761545369,0.09726294277068623,0.08585062257801084,0.07253656370858143,0.059046953922007796,0.046546244580217784,0.0356783302965749,0.026681910358202277,0.01952230314627834,0.014007489400865188,0.00987558203608624,0.0068528523128385905,0.004687246848009431,0.0031640987185531655,0.0021103116166918227,0.0013919642676372842,0.0009087953619381021,0.0005877472375548432,0.00037678701673367815,0.00023957738587591357,0.0001511741316817451,9.471201167291045e-05,5.8941685474844276e-05,9.344699906461012e-05]",COUNTERFACTUAL_CORRECTED_FEATURE_STATE_NOT_ORIGINAL_PREDICTION,True
2026-08-07,823191,7.608556197600744,7.642364681066875,0.033808483466130745,"[0.005010715811562532,0.019207286354848307,0.041578351356091156,0.0668805591007265,0.08898160343450767,0.10353926051567897,0.10896140855149675,0.1060101339899343,0.09682163570457657,0.08394207712412553,0.06966337209995901,0.055700137354197765,0.043127538099919406,0.032470262124744007,0.023851156729196098,0.01714094772130002,0.012080233618611082,0.008365443767544329,0.005701759674805563,0.0038305983219441833,0.0025398616804125063,0.0016638642217571698,0.0010779798253627234,0.0006912894048430795,0.0004391325684066377,0.00027651088575941806,0.00017269246089121973,0.00010703265336281075,6.586506468949029e-05,4.026093577095528e-05,6.102884297437429e-05]","[0.004926183689888865,0.018925434391327475,0.04105973344172503,0.06619386974969443,0.08826471409092299,0.10293450149386833,0.10856694838546668,0.10586229888036758,0.09690258621960567,0.08419992012875412,0.07003344276294808,0.05612111162954296,0.04355055375450983,0.03286198733553226,0.024192819816118077,0.017425325139556504,0.012308082779569933,0.008542265684942702,0.005835284220132023,0.003929060674087677,0.0026109659157598146,0.0017142653034541904,0.0011131143979838532,0.0007154150685360134,0.00045547321851539173,0.00028744082237064074,0.0001799196538764096,0.00011176106607010646,6.89284292752979e-05,4.222757475868391e-05,6.436428083836698e-05]",COUNTERFACTUAL_CORRECTED_FEATURE_STATE_NOT_ORIGINAL_PREDICTION,True
2026-08-07,823266,7.601690081896365,7.592165918571041,-0.009524163325323798,"[0.005028082766082012,0.0192650913970771,0.04168451415735983,0.0670208282768604,0.08912766723339062,0.10366204874187582,0.10904100718037313,0.10603932280876094,0.09680424320148275,0.08388882411219566,0.06958751130360122,0.0556141744265972,0.043041392420803196,0.03239066439483152,0.023781865825366344,0.01708337700624016,0.012034183922126636,0.008329764292505063,0.005674858706325954,0.0038107913906116203,0.0025255794997319178,0.0016537554090044113,0.0010709432160101553,0.0006864645717687899,0.0004358693112022603,0.00027433125752869146,0.00017125326325612914,0.00010609237846777304,6.525674890018156e-05,3.987095077464684e-05,6.0369828887928304e-05]","[0.005052285580577593,0.019345592325381394,0.04183224635944378,0.06721585352679194,0.08933053837779918,0.10383235018175117,0.10915112975823842,0.10607934050874969,0.09677958248563641,0.0838144581276592,0.06948189014345835,0.055494673249524236,0.04292176784627203,0.03228023067438437,0.02368580679219151,0.017003623014627822,0.011970433317893145,0.008280402046420556,0.005637664784416982,0.003783422622231724,0.002505856569853556,0.0016398039484540059,0.001061237478025331,0.0006798134420836845,0.00043137343447124005,0.00027133004253495485,0.00016927270292424454,0.00010479914602700427,6.442055704465661e-05,3.93351779454305e-05,5.946577718633691e-05]",COUNTERFACTUAL_CORRECTED_FEATURE_STATE_NOT_ORIGINAL_PREDICTION,True
2026-08-07,823349,7.832949083727505,7.896772600111242,0.06382351638373684,"[0.004478764954447254,0.017419601976909366,0.03826072527248342,0.06244526966321593,0.08429728645004164,0.09952499016032838,0.10627069239818529,0.10490638018870757,0.09721664982544487,0.08551881295270233,0.07201121895978699,0.05842055152459312,0.04589631008353991,0.03506086408156319,0.026131237900464222,0.019054567031835584,0.013625526877898878,0.00957371892480289,0.006620858614260771,0.00451321202645644,0.003036287596769209,0.0020182011061330636,0.0013266944328320493,0.0008632446418844592,0.0005563951755895433,0.00035547876131583215,0.00022526230311578475,0.0001416593193068473,8.844997174795674e-05,5.4858023685996e-05,8.622879995117537e-05]","[0.0043393353630690745,0.016945311972230433,0.03736895356412613,0.06123555813941632,0.08299733105470583,0.09838504134471397,0.10547677347613113,0.10454219752954895,0.09726951956958997,0.08591009137843231,0.0726321794974032,0.059161743410760914,0.04666588203801203,0.035792391733673046,0.02678394136500024,0.019609204859394352,0.014078636646689336,0.009931946362854289,0.006896272332896476,0.0047198937608105,0.003188128289602196,0.0021276673065742458,0.0014042892915823537,0.0009174152726465626,0.0005936928614007679,0.00038083646602793354,0.00024230355462437632,0.00015298991834196318,9.590952888071988e-05,5.972423749609462e-05,9.483787336414347e-05]",COUNTERFACTUAL_CORRECTED_FEATURE_STATE_NOT_ORIGINAL_PREDICTION,True
2026-08-07,823428,8.95510950463879,9.012483871724186,0.057374367085396116,"[0.002615163991280411,0.010846222126212522,0.025403471880895295,0.04421188513301182,0.06364330035552994,0.08012551827894424,0.09123297332736689,0.09603727551387886,0.09490261739539435,0.08902230067681853,0.07993498959201065,0.06915156660454383,0.057931363733699115,0.04719089419357817,0.03750551952337131,0.029163114110736743,0.022237590440905383,0.01666152334150964,0.012287059382340359,0.00893138869911835,0.0064073104870081355,0.004541474859797255,0.0031834863470651055,0.0022088467559944784,0.0015181499210974315,0.0010342953549609473,0.0006989064469381267,0.00046867877646253423,0.0003120523415649414,0.00020638090630686803,0.0003846795016579185]","[0.0025467047265165994,0.010593525428644281,0.024884988649203042,0.04343759351720098,0.06271360541673468,0.07918852989027098,0.09043272346302707,0.09547638448709873,0.09462734966228206,0.08902657229812955,0.08017521140705007,0.06956448379638189,0.05844961407858069,0.047753857040373805,0.03806517111465501,0.02968580637106896,0.022703093253933382,0.01706060248527397,0.012618564957886163,0.009199481565843985,0.006619153994559504,0.004705502215849421,0.003308220221556423,0.002302180438589418,0.0015869775624931597,0.0010843838774190098,0.0007349196789170576,0.0004942861822853782,0.0003300752650624276,0.00021894619527944122,0.00041149075783283515]",COUNTERFACTUAL_CORRECTED_FEATURE_STATE_NOT_ORIGINAL_PREDICTION,True
2026-08-07,823515,8.46329851065773,8.576620111789946,0.1133216011322169,"[0.003295400318281217,0.013309261550626134,0.030355315758181345,0.051445444757930656,0.07211519792378414,0.08841199135415692,0.09802985576868042,0.10048762446362146,0.09669792453392737,0.08832913758825374,0.07723396177050555,0.06506383041039641,0.05307836907395197,0.042104473232153626,0.032586028360906245,0.024673817976728147,0.018321304831033936,0.01336748153701805,0.009599509839592093,0.006794950624607943,0.0047468914249256975,0.0032763980356387296,0.002236500234149119,0.0015111158360308437,0.0010113769356467582,0.0006709793771488868,0.0004415194685366148,0.00028831836935087977,0.0001869350270654615,0.00012039237129631883,0.0002086912458732039]","[0.00312251345797558,0.012691036880320966,0.029128955227515043,0.04968028587060781,0.07008272284996458,0.086465398275454,0.09647983325461548,0.09952627891104782,0.09638053816510046,0.08859785167589122,0.07796048293469676,0.06609260079367142,0.05425975038245093,0.04331471554601606,0.03373538465405035,0.025706183217910225,0.019208995265004327,0.014104082792738826,0.010192748788246527,0.007260651213956838,0.005104410278339825,0.0035455200033574657,0.00243556227128198,0.0016560561339448057,0.0011154172303276025,0.0007446985059612411,0.0004931376662233316,0.0003240691105383504,0.00021144772463413134,0.00013704345728414577,0.00024162746087176188]",COUNTERFACTUAL_CORRECTED_FEATURE_STATE_NOT_ORIGINAL_PREDICTION,True
2026-08-07,823750,7.42363777798358,7.467553611115299,0.04391583313171932,"[0.005503081663482287,0.020833197036986332,0.044539044887109275,0.07075501937632207,0.09296967464999227,0.10683901296980253,0.1110404572606997,0.10669391239461858,0.09623840067606382,0.08240231593662979,0.06753795770253819,0.053331453662473036,0.04078172082974087,0.030323574847017573,0.021998231856763282,0.015613378346532493,0.010867286357829757,0.00743221880208875,0.005002903605380859,0.003319430388599667,0.0021736556370145913,0.0014063139463186614,0.0008998264564207549,0.0005698909366629284,0.00035752895696879264,0.0002223368927662588,0.00013713755472338204,8.394272035257055e-05,5.1015904946399444e-05,3.0797684202084654e-05,4.528005895233532e-05]","[0.005381383346309541,0.020433760497154584,0.043816499777578614,0.0698165590879775,0.09201251515600256,0.10605712812625388,0.1105593920312908,0.106551224639971,0.09639879531935829,0.08278793154752533,0.06805811909348342,0.05390385739922692,0.0413434176998555,0.030833699207191572,0.022435585725471566,0.015971691953982417,0.011150120407947743,0.00764858922709588,0.005164037537199926,0.0034366493759042977,0.0022571831851469766,0.0014647474573916241,0.0009400341513194875,0.0005971466888383413,0.00037575511817113,0.00023437410112342146,0.0001449969588414046,8.90204809017464e-05,5.42646362376382e-05,3.2857443311942535e-05,4.866262193519124e-05]",COUNTERFACTUAL_CORRECTED_FEATURE_STATE_NOT_ORIGINAL_PREDICTION,True
