file,sha256
concise_mlb_hits_aug3_aug13_original_prospective_evidence_v1.md,676302b76ee32918865b7a98b7313d2ba3da3dcd9aa9f219c41b94a00d64d7f5
hits05_original_prospective_confidence_ordering.csv,9f519af3c3e0f33a069bfacdd65d4db0646590e7c6ba2dcbb8a6e822f9407b1c
hits05_original_prospective_quality.csv,75f68b8c26700886d16297d9c411454f052ddd6200431584d9ce474a58c5ef60
hits05_original_prospective_reliability.csv,07cd1ee6f983855062f875abb70b25b74eb33b5659f60d37ded7040df62dd795
hits15_under_original_prospective_quality.csv,b5bd5963ccaa90804c7bf7cd603ed4ab6d86f22907aa314d2ecc02cbaee4f9e6
hits_forward_capture_readiness.md,4f5d966a647f049cb5947602c95e530eb572316b349a1bc4b6f61cdd6b43f4d6
hits_original_current_model_continuity.csv,809f3bf0d9f0274fcda10a2fac8510ed53cb1ac7664cad02920059582c689b6b
hits_original_prospective_betonline_parity.csv,926709f86614587bd34c566164d74204c5403bcb113d358974662f33916f029d
hits_original_prospective_daily_metrics.csv,e589f5a45bee306e94bd4d53c1574fdb210bea6f3742c9c19e571eed24b054b0
hits_original_prospective_lineage_inventory.csv,4b4fd867c76b974f4ad68655823db228351eb944cbf333a6afda165e71e2d512
hits_original_prospective_primary_predictions.csv,37bb31ad5ab6b95154eee7deb06f30227cd619bd99484e9b8392a51d048dc67b
hits_original_prospective_provenance_performance.csv,7ac27469df6c420340624a9045988b7d7911df2f423b7dbbfeae7d36b7f21312
hits_original_prospective_separation.csv,1f40b507b88b2c95463a6107c54d8840fa07987d8427e2e8097b64c79c17cb25
hits_original_prospective_snapshot_diagnostic.csv,976a066d8afba23156e90262dae6d3defcf54ae630e8036380589ac2c127a72b
hits_original_prospective_timing_validation.csv,5220f449cd2f20f7b1a9bec234c7a41c80308c806b9268ceacc31ee696e81f83
hits_original_vs_historical_comparison.csv,b0a2f674755f01c86aca7057a34dd1fbd71141271de385047f709fcccf3cf2ce
backend/mlb/exports/prospective_lineage/2026-08-03/prediction_lineage_ledger.csv,30cb74db99d6240ed987b3e3d7f877919436d8221e518c385ab80c25d300dfa8
backend/mlb/exports/prospective_lineage/2026-08-04/prediction_lineage_ledger.csv,9393e6b308ea4ca3534309c76ef7453d9814736deda385d7e1f1598c4e7587e6
backend/mlb/exports/prospective_lineage/2026-08-05/prediction_lineage_ledger.csv,1e538783b71b0f72bf2169ce1ec6adf7cfa1522d05b8f806ffa5e763728fdef1
backend/mlb/exports/prospective_lineage/2026-08-06/prediction_lineage_ledger.csv,b8914783625894cb370665a53a05f909596ecfc7917f2b37f49e715bda34c2d6
backend/mlb/exports/prospective_lineage/2026-08-07/prediction_lineage_ledger.csv,bcac35aee86067bb5e9d6a6aa17759c3e2822f6e96b88bcb9bad0f283c8951ed
backend/mlb/exports/prospective_lineage/2026-08-08/prediction_lineage_ledger.csv,eaf6503d66dc49e0a3d315595eabafb45c6474d41de95bb71a3e481a7f95709b
backend/mlb/exports/prospective_lineage/2026-08-09/prediction_lineage_ledger.csv,ff4e01cdd18a9be713655c19a116b064bfd0eaeb69094e036b0519d53712e783
backend/mlb/exports/prospective_lineage/2026-08-10/prediction_lineage_ledger.csv,e1851a890b35b74ff989f5a3b4f5410512cea3d159aee41598c9b23d1288f98d
backend/mlb/exports/prospective_lineage/2026-08-11/prediction_lineage_ledger.csv,2d484778f3c021f9f601f6dcfc782b69aa3ab014d6f82895fcd022b976008b21
backend/mlb/exports/prospective_lineage/2026-08-12/prediction_lineage_ledger.csv,55e9796e00e746fc574abfde44760be8dcabfe117b4c098f942ba1651116b7da
backend/mlb/exports/prospective_lineage/2026-08-13/prediction_lineage_ledger.csv,12a57d89b35e1274f9456d3e7973ce379225275de15c338737769d255d56d2b0
backend/mlb/scripts/evaluate_mlb_hits_aug3_aug13_original_prospective_evidence_v1.py,2e27ce880241d8effd0f7ab40a76b14d9d575d7eed9c63bbcf0ec58274947f2a
mlb.player_stats canonical 2026-08-03/2026-08-13 outcome extract,52322068cc10efa98d8dff11995863e2c426dc8cb30745e621d6a39e10e557c4
