date,lane,source_path,source_sha256,run_observations,unique_identities,run_tags,first_prediction_timestamp,last_prediction_timestamp,tier_a_rows,tier_b_rows,semantic_model_id,model_sha256,feature_contract_sha256,original_probability_source
2026-08-08,HITS_0_5,backend/mlb/exports/prospective_lineage/2026-08-08/prediction_lineage_ledger.csv,eaf6503d66dc49e0a3d315595eabafb45c6474d41de95bb71a3e481a7f95709b,1319,281,local_daily_20260808T103119Z|local_daily_20260808T123001Z|local_daily_20260808T153001Z|local_daily_20260808T180004Z|local_daily_20260808T200002Z|local_daily_20260808T233002Z,2026-08-08T10:31:19.400134+00:00,2026-08-08T23:30:37.769038+00:00,1319,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-08,HITS_1_5_UNDER,backend/mlb/exports/prospective_lineage/2026-08-08/prediction_lineage_ledger.csv,eaf6503d66dc49e0a3d315595eabafb45c6474d41de95bb71a3e481a7f95709b,148,34,local_daily_20260808T103119Z|local_daily_20260808T123001Z|local_daily_20260808T153001Z|local_daily_20260808T180004Z|local_daily_20260808T200002Z|local_daily_20260808T233002Z,2026-08-08T10:31:19.400134+00:00,2026-08-08T23:30:37.769038+00:00,148,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-09,HITS_0_5,backend/mlb/exports/prospective_lineage/2026-08-09/prediction_lineage_ledger.csv,ff4e01cdd18a9be713655c19a116b064bfd0eaeb69094e036b0519d53712e783,1004,284,local_daily_20260809T103107Z|local_daily_20260809T123002Z|local_daily_20260809T153001Z|local_daily_20260809T180001Z|local_daily_20260809T200001Z|local_daily_20260809T233004Z,2026-08-09T10:31:07.950695+00:00,2026-08-09T23:30:48.575378+00:00,1004,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-09,HITS_1_5_UNDER,backend/mlb/exports/prospective_lineage/2026-08-09/prediction_lineage_ledger.csv,ff4e01cdd18a9be713655c19a116b064bfd0eaeb69094e036b0519d53712e783,167,57,local_daily_20260809T103107Z|local_daily_20260809T123002Z|local_daily_20260809T153001Z|local_daily_20260809T180001Z|local_daily_20260809T200001Z|local_daily_20260809T233004Z,2026-08-09T10:31:07.950695+00:00,2026-08-09T23:30:48.575378+00:00,167,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-10,HITS_0_5,backend/mlb/exports/prospective_lineage/2026-08-10/prediction_lineage_ledger.csv,e1851a890b35b74ff989f5a3b4f5410512cea3d159aee41598c9b23d1288f98d,991,190,local_daily_20260810T103050Z|local_daily_20260810T123004Z|local_daily_20260810T153001Z|local_daily_20260810T180002Z|local_daily_20260810T200002Z|local_daily_20260810T233003Z,2026-08-10T10:30:50.801356+00:00,2026-08-10T23:30:49.884309+00:00,991,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-10,HITS_1_5_UNDER,backend/mlb/exports/prospective_lineage/2026-08-10/prediction_lineage_ledger.csv,e1851a890b35b74ff989f5a3b4f5410512cea3d159aee41598c9b23d1288f98d,119,26,local_daily_20260810T103050Z|local_daily_20260810T123004Z|local_daily_20260810T153001Z|local_daily_20260810T180002Z|local_daily_20260810T200002Z|local_daily_20260810T233003Z,2026-08-10T10:30:50.801356+00:00,2026-08-10T23:30:49.884309+00:00,119,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-11,HITS_0_5,backend/mlb/exports/prospective_lineage/2026-08-11/prediction_lineage_ledger.csv,2d484778f3c021f9f601f6dcfc782b69aa3ab014d6f82895fcd022b976008b21,1431,279,local_daily_20260811T103116Z|local_daily_20260811T123005Z|local_daily_20260811T153005Z|local_daily_20260811T180004Z|local_daily_20260811T200005Z|local_daily_20260811T233004Z,2026-08-11T10:31:16.725561+00:00,2026-08-11T23:30:52.134323+00:00,1431,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-11,HITS_1_5_UNDER,backend/mlb/exports/prospective_lineage/2026-08-11/prediction_lineage_ledger.csv,2d484778f3c021f9f601f6dcfc782b69aa3ab014d6f82895fcd022b976008b21,160,34,local_daily_20260811T103116Z|local_daily_20260811T123005Z|local_daily_20260811T153005Z|local_daily_20260811T180004Z|local_daily_20260811T200005Z|local_daily_20260811T233004Z,2026-08-11T10:31:16.725561+00:00,2026-08-11T23:30:52.134323+00:00,160,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-12,HITS_0_5,backend/mlb/exports/prospective_lineage/2026-08-12/prediction_lineage_ledger.csv,55e9796e00e746fc574abfde44760be8dcabfe117b4c098f942ba1651116b7da,1255,288,local_daily_20260812T103126Z|local_daily_20260812T123005Z|local_daily_20260812T153005Z|local_daily_20260812T180004Z|local_daily_20260812T200005Z|local_daily_20260812T233001Z,2026-08-12T10:31:26.823141+00:00,2026-08-12T23:30:59.670769+00:00,1255,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-12,HITS_1_5_UNDER,backend/mlb/exports/prospective_lineage/2026-08-12/prediction_lineage_ledger.csv,55e9796e00e746fc574abfde44760be8dcabfe117b4c098f942ba1651116b7da,135,39,local_daily_20260812T103126Z|local_daily_20260812T123005Z|local_daily_20260812T153005Z|local_daily_20260812T180004Z|local_daily_20260812T200005Z|local_daily_20260812T233001Z,2026-08-12T10:31:26.823141+00:00,2026-08-12T23:30:59.670769+00:00,135,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-13,HITS_0_5,backend/mlb/exports/prospective_lineage/2026-08-13/prediction_lineage_ledger.csv,12a57d89b35e1274f9456d3e7973ce379225275de15c338737769d255d56d2b0,696,189,local_daily_20260813T103054Z|local_daily_20260813T123001Z|local_daily_20260813T153004Z|local_daily_20260813T180005Z|local_daily_20260813T200002Z|local_daily_20260813T233004Z,2026-08-13T10:30:54.184888+00:00,2026-08-13T23:31:07.252773+00:00,696,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
2026-08-13,HITS_1_5_UNDER,backend/mlb/exports/prospective_lineage/2026-08-13/prediction_lineage_ledger.csv,12a57d89b35e1274f9456d3e7973ce379225275de15c338737769d255d56d2b0,35,13,local_daily_20260813T103054Z|local_daily_20260813T123001Z|local_daily_20260813T153004Z|local_daily_20260813T180005Z|local_daily_20260813T200002Z,2026-08-13T10:30:54.184888+00:00,2026-08-13T20:01:03.388858+00:00,35,0,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,2b5cadbae4c7d1d34bae90822730200f48992514551461e793de06e17dfe8d76,PROSPECTIVE_LINEAGE
