date,lane,predictions,unresolved,resolved,brier,log_loss,ece,accuracy_at_50,mean_probability,observed_rate,probability_sd,probability_min,probability_max
2026-08-03,HITS_0_5,103,9,94,0.25194207284215053,0.6970790543992498,0.1042323428790185,0.5,0.5790273489225888,0.6063829787234043,0.08386676778292576,0.3758123590805667,0.759531869021303
2026-08-03,HITS_1_5_UNDER,19,1,18,0.2957908174587663,0.7931707268145618,0.26605817693894485,0.3888888888888889,0.5986101615002131,0.5555555555555556,0.09572359645187958,0.4445410799879428,0.7734704596060478
2026-08-04,HITS_0_5,276,20,256,0.2404190621465493,0.6736213837852736,0.06620326637571344,0.58984375,0.5573546777176862,0.57421875,0.07363594021774808,0.3738101757804691,0.7181055454858523
2026-08-04,HITS_1_5_UNDER,42,2,40,0.23072343555414337,0.6537992564845958,0.11076384648245637,0.65,0.5910968130338633,0.7,0.06894579740365056,0.39928973681990354,0.7014399935460107
2026-08-05,HITS_0_5,288,22,266,0.25012093396487445,0.6939397881216676,0.06750630493672703,0.5601503759398496,0.5548431680136362,0.5112781954887218,0.07411545143811464,0.3738101757804691,0.7212711676392968
2026-08-05,HITS_1_5_UNDER,38,1,37,0.18890781176461127,0.5690010297697317,0.3691067580159635,0.8918918918918919,0.5793880535814123,0.8918918918918919,0.07083269677118542,0.39928973681990354,0.7014399935460107
2026-08-06,HITS_0_5,216,17,199,0.23753986021271006,0.6682445626657417,0.10211684507068532,0.6130653266331658,0.54980932540709,0.6231155778894473,0.0716907449580099,0.3992897368199036,0.7014399935460106
2026-08-06,HITS_1_5_UNDER,34,2,32,0.2615707584913966,0.717799802480007,0.19298365331184764,0.5,0.5860931099543357,0.4375,0.057381702317353366,0.39928973681990354,0.692322332983399
2026-08-07,HITS_0_5,288,20,268,0.2515323024789118,0.696294784436585,0.0733265549286425,0.5223880597014925,0.5496001140495411,0.5746268656716418,0.0735172696791518,0.3738101757804691,0.7014399935460106
2026-08-07,HITS_1_5_UNDER,35,1,34,0.2180476092413395,0.6284509834330523,0.2555915995617306,0.7352941176470589,0.5797872235880348,0.7941176470588235,0.06677090205631152,0.4280140326174807,0.7014399935460107
2026-08-08,HITS_0_5,281,19,262,0.2396572087694811,0.6721198890987259,0.04973330733265136,0.5763358778625954,0.557545335837305,0.6068702290076335,0.07089095591718308,0.3738101757804691,0.7139473689811761
2026-08-08,HITS_1_5_UNDER,34,1,33,0.24908147241591413,0.6930839198329778,0.2066977063857762,0.6363636363636364,0.5845294465141473,0.6666666666666666,0.06466176446914776,0.4280140326174807,0.708509460347817
2026-08-09,HITS_0_5,284,23,261,0.2543868188738048,0.7024171105424059,0.099750458495144,0.5363984674329502,0.5499833133001056,0.5708812260536399,0.07236638265057276,0.3738101757804691,0.7014399935460106
2026-08-09,HITS_1_5_UNDER,57,2,55,0.22078072066101903,0.6332749602545784,0.14176373234773354,0.6727272727272727,0.5873218559909864,0.7272727272727273,0.06640330666471111,0.4280140326174807,0.692322332983399
2026-08-10,HITS_0_5,190,11,179,0.2380662058357598,0.6685199195246984,0.0845897774556107,0.553072625698324,0.5518546167146238,0.553072625698324,0.07675299785697828,0.3738101757804691,0.708509460347817
2026-08-10,HITS_1_5_UNDER,26,1,25,0.24100658416128518,0.6742528410009588,0.2812603731788253,0.48,0.573361416361717,0.56,0.06335746469797475,0.39887432560830316,0.6660507649473578
2026-08-11,HITS_0_5,279,19,260,0.24238014084254517,0.6781024140582511,0.049793127895306565,0.5884615384615385,0.5576111576139674,0.5538461538461539,0.06967186193957312,0.3738101757804691,0.7014399935460106
2026-08-11,HITS_1_5_UNDER,34,2,32,0.2230236948012686,0.6389147911015665,0.25587377639448383,0.71875,0.5866546004247399,0.75,0.07095272381341697,0.39887432560830316,0.708509460347817
2026-08-12,HITS_0_5,288,18,270,0.23867790872742925,0.6701200921258234,0.058851929182185944,0.5925925925925926,0.5579753525265424,0.6111111111111112,0.06729179162048511,0.3738101757804691,0.7014399935460106
2026-08-12,HITS_1_5_UNDER,39,2,37,0.24479344791599011,0.68200259706768,0.11828385558143448,0.5135135135135135,0.5914228963281001,0.6216216216216216,0.06558052396787895,0.39887432560830316,0.708509460347817
2026-08-13,HITS_0_5,189,21,168,0.25021006117666406,0.6939905895216631,0.05910362783786238,0.5654761904761905,0.5512134387064143,0.5416666666666666,0.06516013311207114,0.3738101757804691,0.6806877975535622
2026-08-13,HITS_1_5_UNDER,13,1,12,0.28277911561093816,0.761332762485485,0.20792922807827108,0.5,0.5857096202983073,0.5,0.046529194408930497,0.5089548904827526,0.6660507649473578
