lane,separation_band,rows,proppadia_brier,betonline_brier,model_closer,betonline_closer,ties
HITS_0_5,<2.5pp,117,0.2579371164116385,0.2581342056115276,56,61,0
HITS_0_5,2.5-4.99pp,111,0.2514023867095349,0.24929605925244339,49,62,0
HITS_0_5,5.0-7.49pp,115,0.24040978022993204,0.2410117709819718,55,60,0
HITS_0_5,7.5-9.99pp,74,0.24260176017292462,0.24034185128546168,34,40,0
HITS_0_5,10.0-14.99pp,98,0.2567991179935185,0.26585653843247675,50,48,0
HITS_0_5,>=15pp,40,0.24656628444424927,0.3061734347873661,25,15,0
HITS_1_5_UNDER,<2.5pp,19,0.2728024813248007,0.27509261315373107,7,12,0
HITS_1_5_UNDER,2.5-4.99pp,17,0.21530588397300554,0.20602469402816567,4,13,0
HITS_1_5_UNDER,5.0-7.49pp,24,0.1764301615746554,0.1487805896949388,3,21,0
HITS_1_5_UNDER,7.5-9.99pp,15,0.2434567692168784,0.24866669862218294,6,9,0
HITS_1_5_UNDER,10.0-14.99pp,33,0.23615765738100386,0.22441555863408502,11,22,0
HITS_1_5_UNDER,>=15pp,14,0.25831190563893347,0.21257719988441265,4,10,0
