quantile,rows,resolved,brier,log_loss,ece,accuracy_at_50,mean_probability,observed_rate,probability_sd,probability_min,probability_max,confidence_ordering
bottom20,496,496,0.2546543032112419,0.7026115626669472,0.06644747462796574,0.4838709677419355,0.4496815576300989,0.5161290322580645,0.028995315473266375,0.3738101757804691,0.4910451095172474,MONOTONIC
second20,497,497,0.24794820755532204,0.689038784570077,0.04025325400814747,0.5513078470824949,0.5150787379435627,0.5553319919517102,0.015172728515782274,0.4910451095172474,0.5409522078292466,MONOTONIC
middle20,496,496,0.24504853806690002,0.6832218045443782,0.018237077521844346,0.5766129032258065,0.5583758257039622,0.5766129032258065,0.013037352377266201,0.5409522078292466,0.5783260540559665,MONOTONIC
fourth20,497,497,0.24173235694102593,0.6764941487419485,0.010269875970838291,0.5895372233400402,0.5986252702061716,0.5895372233400402,0.013706076810886276,0.5783260540559665,0.626189824219531,MONOTONIC
top20,497,497,0.23443743285872237,0.6620236522507615,0.04410093271569074,0.6317907444668008,0.6529935334815867,0.6317907444668008,0.023578325912933178,0.626189824219531,0.759531869021303,MONOTONIC
top10,249,249,0.23949577478699588,0.6726871149237628,0.07797924186551815,0.6184738955823293,0.6708398332350717,0.6184738955823293,0.01955636246035217,0.6479767582325769,0.759531869021303,MONOTONIC
