period,metric,games,clusters,draws,seed,control_observed,repaired_observed,repaired_minus_control,ci_low,ci_high,fraction_draws_favoring_repaired,favor_contract
FROZEN_2025_VALIDATION,mae,2433,185,10000,20260816,3.597206636166537,3.609047729660149,0.011841093493611954,-0.002433194318015008,0.026324879410502752,0.0568,LOWER_IS_BETTER
FROZEN_2025_VALIDATION,rmse,2433,185,10000,20260816,4.591661831793692,4.581630238180419,-0.010031593613272882,-0.02446745020807457,0.004927046989226697,0.9018,LOWER_IS_BETTER
FROZEN_2025_VALIDATION,actual_minus_forecast_bias,2433,185,10000,20260816,0.21504740002206743,0.022841271842263648,-0.1922061281798038,-0.20492721929519717,-0.17925566293473186,0.9065,ABSOLUTE_BIAS_CLOSER_TO_ZERO
FROZEN_2025_VALIDATION,crps,2433,185,10000,20260816,2.5315957786140326,2.5261521172892056,-0.005443661324826987,-0.014076971896357093,0.0033735427552765923,0.8864,LOWER_IS_BETTER
FROZEN_2025_VALIDATION,brier,2433,185,10000,20260816,0.22718558400314987,0.22662294593769958,-0.0005626380654502883,-0.0015670753763720353,0.00045653911894352495,0.8659,LOWER_IS_BETTER
2026_SEQUENTIAL_EARLY,mae,1281,98,10000,20260816,3.5209459692414056,3.548085685155089,0.02713971591368347,-0.0016942622427052131,0.05627938286738095,0.0325,LOWER_IS_BETTER
2026_SEQUENTIAL_EARLY,rmse,1281,98,10000,20260816,4.500767948230816,4.486066338698284,-0.014701609532532522,-0.04444922335110928,0.016031785903423978,0.8249,LOWER_IS_BETTER
2026_SEQUENTIAL_EARLY,actual_minus_forecast_bias,1281,98,10000,20260816,0.5774332448470871,0.17030081717828816,-0.407132427668799,-0.4290945536256226,-0.384836421572662,0.9985,ABSOLUTE_BIAS_CLOSER_TO_ZERO
2026_SEQUENTIAL_EARLY,crps,1281,98,10000,20260816,2.5051476024217507,2.4930419264371597,-0.012105675984591002,-0.02976864070545867,0.005760076905602894,0.9073,LOWER_IS_BETTER
2026_SEQUENTIAL_EARLY,brier,1281,98,10000,20260816,0.22689948711410368,0.22561928466544015,-0.001280202448663531,-0.003366183308852848,0.0008159309629428905,0.8825,LOWER_IS_BETTER
2026_LATE_HOLDOUT,mae,439,33,10000,20260816,3.6782613120044236,3.7588648957244715,0.08060358372004783,0.03533202280349827,0.12488138694963195,0.0005,LOWER_IS_BETTER
2026_LATE_HOLDOUT,rmse,439,33,10000,20260816,4.68092949277268,4.664873737287822,-0.01605575548485838,-0.05862598919907209,0.028343989879427448,0.7593,LOWER_IS_BETTER
2026_LATE_HOLDOUT,actual_minus_forecast_bias,439,33,10000,20260816,0.6610547573577193,0.17216178771991095,-0.48889296963780837,-0.5140226436251675,-0.46293719464318017,0.982,ABSOLUTE_BIAS_CLOSER_TO_ZERO
2026_LATE_HOLDOUT,crps,439,33,10000,20260816,2.6022766473304486,2.595315853634535,-0.006960793695913736,-0.03404126702163158,0.019300842628158333,0.6898,LOWER_IS_BETTER
2026_LATE_HOLDOUT,brier,439,33,10000,20260816,0.23053602911161053,0.23071209742868853,0.0001760683170780042,-0.0031955495527858408,0.003475164079381861,0.458,LOWER_IS_BETTER
PROSPECTIVE_AUG06_15,mae,126,10,10000,20260816,3.265726718124754,3.2843054088213197,0.018578690696565925,-0.05153267564012435,0.08754009107598075,0.3094,LOWER_IS_BETTER
PROSPECTIVE_AUG06_15,rmse,126,10,10000,20260816,4.092129493546904,4.0776241318382,-0.014505361708703646,-0.07452138571646391,0.05343734137323465,0.6884,LOWER_IS_BETTER
PROSPECTIVE_AUG06_15,actual_minus_forecast_bias,126,10,10000,20260816,0.558992375399351,0.023905626931632923,-0.5350867484677181,-0.5811093729391453,-0.4805901776299491,0.9039,ABSOLUTE_BIAS_CLOSER_TO_ZERO
PROSPECTIVE_AUG06_15,crps,126,10,10000,20260816,2.3138777181992336,2.2967736770811533,-0.017104041118080282,-0.051509121412602,0.024962845403880985,0.8119,LOWER_IS_BETTER
PROSPECTIVE_AUG06_15,brier,126,10,10000,20260816,0.22434798471609646,0.22184329077228265,-0.002504693943813807,-0.0066256104417949605,0.0025386541227538375,0.8503,LOWER_IS_BETTER
