period,control_frozen_forecast_band,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece
FROZEN_2025_VALIDATION,<7.5,CONTROL_RAW,1,7.4730785603173135,9.0,1.5269214396826865,1.5269214396826865,1.5269214396826865,1.2740864836859527,0.17697264395228707,0.523301503377151,0.37698395461830125
FROZEN_2025_VALIDATION,<7.5,REPAIRED,1,8.187955818432872,9.0,0.8120441815671278,0.8120441815671278,0.8120441815671278,1.100358940662296,0.15495454205706777,0.48758232440876226,0.37142551231982346
FROZEN_2025_VALIDATION,7.5-7.99,CONTROL_RAW,186,7.866759037264501,8.575268817204302,0.7085097799398008,3.4497633577266322,4.535248326419312,2.495613069631965,0.22481347810784957,0.6421535980181093,0.04882820340391777
FROZEN_2025_VALIDATION,7.5-7.99,REPAIRED,186,8.254176861267888,8.575268817204302,0.3210919559364132,3.4628513186216803,4.47877199279086,2.4655396814288304,0.22173750825165403,0.6348522994396008,0.020167590649547287
FROZEN_2025_VALIDATION,8.0-8.49,CONTROL_RAW,858,8.270340466232598,8.750582750582751,0.4802422843501525,3.519977238542111,4.480753913593291,2.47608231060777,0.2293382266095299,0.6511625574930624,0.0408081361739025
FROZEN_2025_VALIDATION,8.0-8.49,REPAIRED,858,8.553323006553088,8.750582750582751,0.19725974402966334,3.5245477356984987,4.445498158875988,2.456180742821205,0.22702683260095094,0.6457236994615403,0.018576031814700186
FROZEN_2025_VALIDATION,8.5-8.99,CONTROL_RAW,853,8.73748446574074,8.807737397420867,0.0702529316801282,3.5987887674967842,4.609448916659037,2.537585514688557,0.22496803370896926,0.6413114487206797,0.007025565955401251
FROZEN_2025_VALIDATION,8.5-8.99,REPAIRED,853,8.92791692178758,8.807737397420867,-0.12017952436671193,3.6231111793977364,4.617150608645703,2.5427780936852047,0.2256732062683619,0.64285067573323,0.017663674814390757
FROZEN_2025_VALIDATION,9.0-9.49,CONTROL_RAW,340,9.18320747183876,8.773529411764706,-0.4096780600740533,3.814467894083647,4.7373847153334605,2.6245856680894484,0.23149852384223368,0.6552215519855684,0.04238860624482516
FROZEN_2025_VALIDATION,9.0-9.49,REPAIRED,340,9.192185357704764,8.773529411764706,-0.41865594594005884,3.8345805800879202,4.772836418259296,2.6427223026156588,0.2332884011363502,0.6593152888000373,0.0436992087324201
