period,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,status,v1_intercept_after_structural_repair
FROZEN_2025_VALIDATION,CONTROL_RAW,2433,8.673156463520883,8.888203863542952,0.21504740002206743,FROZEN_OR_RESEARCH_CONTROL,LIKELY_UNNECESSARY
FROZEN_2025_VALIDATION,REPAIRED,2433,8.865362591700688,8.888203863542952,0.022841271842263648,FROZEN_OR_RESEARCH_CONTROL,LIKELY_UNNECESSARY
FROZEN_2025_VALIDATION,REPAIRED_PLUS_INTERCEPT_MATH_ONLY,2433,9.358912591700687,8.888203863542952,-0.4707087281577371,MATHEMATICAL_DIAGNOSTIC_NOT_A_MODEL,LIKELY_UNNECESSARY
2026_SEQUENTIAL_EARLY,CONTROL_RAW,1281,8.412418433529181,8.989851678376269,0.5774332448470871,FROZEN_OR_RESEARCH_CONTROL,LIKELY_UNNECESSARY
2026_SEQUENTIAL_EARLY,REPAIRED,1281,8.819550861197982,8.989851678376269,0.17030081717828816,FROZEN_OR_RESEARCH_CONTROL,LIKELY_UNNECESSARY
2026_SEQUENTIAL_EARLY,REPAIRED_PLUS_INTERCEPT_MATH_ONLY,1281,9.31310086119798,8.989851678376269,-0.32324918282171267,MATHEMATICAL_DIAGNOSTIC_NOT_A_MODEL,LIKELY_UNNECESSARY
2026_LATE_HOLDOUT,CONTROL_RAW,439,8.266052304145697,8.927107061503417,0.6610547573577193,FROZEN_OR_RESEARCH_CONTROL,LIKELY_UNNECESSARY
2026_LATE_HOLDOUT,REPAIRED,439,8.754945273783505,8.927107061503417,0.17216178771991095,FROZEN_OR_RESEARCH_CONTROL,LIKELY_UNNECESSARY
2026_LATE_HOLDOUT,REPAIRED_PLUS_INTERCEPT_MATH_ONLY,439,9.248495273783506,8.927107061503417,-0.32138821228008985,MATHEMATICAL_DIAGNOSTIC_NOT_A_MODEL,LIKELY_UNNECESSARY
PROSPECTIVE_AUG06_15,CONTROL_RAW,126,8.05211873571176,8.61111111111111,0.558992375399351,FROZEN_OR_RESEARCH_CONTROL,LIKELY_UNNECESSARY
PROSPECTIVE_AUG06_15,REPAIRED,126,8.587205484179476,8.61111111111111,0.023905626931632923,FROZEN_OR_RESEARCH_CONTROL,LIKELY_UNNECESSARY
PROSPECTIVE_AUG06_15,REPAIRED_PLUS_INTERCEPT_MATH_ONLY,126,9.080755484179477,8.61111111111111,-0.4696443730683678,MATHEMATICAL_DIAGNOSTIC_NOT_A_MODEL,LIKELY_UNNECESSARY
