row_type,period,depth_group,variant,mean_depth,games,mean_prediction,mean_actual,actual_minus_forecast_bias,mae,rmse,crps,ladder_brier,ladder_log_loss,ladder_ece,d_log_location_per_depth_game,mechanical_depth_suppression
OBSERVED_GROUP,FROZEN_2025_VALIDATION,WITHIN_TRAINING_SUPPORT_BELOW_P95,CONTROL_RAW,39.05421686746988,166,9.593659899448904,9.355421686746988,-0.2382382127019147,3.4620623304693114,4.264841829807941,2.3793666780799474,0.22710497853503628,0.6456847475997913,0.014495036807561586,,
OBSERVED_GROUP,FROZEN_2025_VALIDATION,WITHIN_TRAINING_SUPPORT_BELOW_P95,REPAIRED,39.05421686746988,166,9.052999556786704,9.355421686746988,0.3024221299602863,3.4615356265452557,4.327958240659027,2.4195399549807948,0.23243469449822562,0.6575428381992882,0.03166441769871197,,
OBSERVED_GROUP,FROZEN_2025_VALIDATION,TRAINING_P95_TO_MAX,CONTROL_RAW,160.5,14,8.849373292424655,7.642857142857143,-1.2065161495675107,2.6185312876442484,3.379335351794063,1.9106875653346658,0.19222749612535808,0.5696700448832663,0.08581735425091529,,
OBSERVED_GROUP,FROZEN_2025_VALIDATION,TRAINING_P95_TO_MAX,REPAIRED,160.5,14,9.021182586840997,7.642857142857143,-1.3783254439838533,2.6657296085184528,3.494302733858469,1.9486317442567216,0.1947847580446067,0.57541329112417,0.1082950505095107,,
OBSERVED_GROUP,FROZEN_2025_VALIDATION,ABOVE_TRAINING_MAX,CONTROL_RAW,201.72525521526853,2253,8.604239195003927,8.861517976031957,0.25727878102803065,3.613245433159458,4.621327795178799,2.5466702329746935,0.22740875033159902,0.6468178951557607,0.018661179882284946,,
OBSERVED_GROUP,FROZEN_2025_VALIDATION,ABOVE_TRAINING_MAX,REPAIRED,201.72525521526853,2253,8.850569331098717,8.861517976031957,0.010948644933241818,3.625778072675265,4.605694893716743,2.5375959273938,0.22639257947940217,0.6444174093816947,0.010499527722548694,,
OBSERVED_GROUP,2026_SEQUENTIAL_EARLY,WITHIN_TRAINING_SUPPORT_BELOW_P95,CONTROL_RAW,81.93333333333334,45,10.057321721617685,12.266666666666667,2.2093449450489833,4.107265230347972,6.323356353649164,3.250074021772053,0.2072216972705842,0.602576339556311,0.1554079624031229,,
OBSERVED_GROUP,2026_SEQUENTIAL_EARLY,WITHIN_TRAINING_SUPPORT_BELOW_P95,REPAIRED,81.93333333333334,45,9.637428855191907,12.266666666666667,2.6292378114747597,4.27570008264425,6.55042278411646,3.3743930099636517,0.2206748624017444,0.6319371685839095,0.18569855896926382,,
OBSERVED_GROUP,2026_SEQUENTIAL_EARLY,ABOVE_TRAINING_MAX,CONTROL_RAW,260.5234627831715,1236,8.352531177894893,8.870550161812298,0.5180189839174065,3.4995993942011183,4.420255929649376,2.4780264949211337,0.22761591150161048,0.6476390819142623,0.046110665854457306,,
OBSERVED_GROUP,2026_SEQUENTIAL_EARLY,ABOVE_TRAINING_MAX,REPAIRED,260.5234627831715,1236,8.789773749766162,8.870550161812298,0.08077641204613499,3.521594869712523,4.392642033054926,2.4609539015514863,0.22579930003911838,0.6431838068421056,0.009280960859689857,,
