row_type,period,block_type,excluded_block,remaining_games,metric,repaired_minus_control,favors_repaired,min_repaired_minus_control,max_repaired_minus_control,delta_sign_changes,fraction_blocks_favoring_repaired
LEAVE_BLOCK_OUT,2026_SEQUENTIAL_EARLY,MONTH,2026-04,889,bias,-0.43370359886340143,True,,,,
LEAVE_BLOCK_OUT,2026_SEQUENTIAL_EARLY,MONTH,2026-04,889,crps,-0.006578517965163844,True,,,,
LEAVE_BLOCK_OUT,2026_SEQUENTIAL_EARLY,MONTH,2026-04,889,brier,-0.0005168789386307271,True,,,,
LEAVE_BLOCK_OUT,2026_SEQUENTIAL_EARLY,MONTH,2026-05,862,mae,0.00768905571807732,False,,,,
LEAVE_BLOCK_OUT,2026_SEQUENTIAL_EARLY,MONTH,2026-05,862,rmse,-0.033719829543788826,True,,,,
LEAVE_BLOCK_OUT,2026_SEQUENTIAL_EARLY,MONTH,2026-05,862,bias,-0.4009531032443989,True,,,,
LEAVE_BLOCK_OUT,2026_SEQUENTIAL_EARLY,MONTH,2026-05,862,crps,-0.025117449894556554,True,,,,
LEAVE_BLOCK_OUT,2026_SEQUENTIAL_EARLY,MONTH,2026-05,862,brier,-0.0027079246207694363,True,,,,
LEAVE_BLOCK_OUT,2026_SEQUENTIAL_EARLY,MONTH,2026-06,887,mae,0.03967705659781462,False,,,,
LEAVE_BLOCK_OUT,2026_SEQUENTIAL_EARLY,MONTH,2026-06,887,rmse,-0.0049811308253033815,True,,,,
LEAVE_BLOCK_OUT,2026_SEQUENTIAL_EARLY,MONTH,2026-06,887,bias,-0.38706460477032484,True,,,,
LEAVE_BLOCK_OUT,2026_SEQUENTIAL_EARLY,MONTH,2026-06,887,crps,-0.005150035809600162,True,,,,
LEAVE_BLOCK_OUT,2026_SEQUENTIAL_EARLY,MONTH,2026-06,887,brier,-0.0005448818910776809,True,,,,
SUMMARY,2026_SEQUENTIAL_EARLY,MONTH,ALL,VARIES,mae,,,0.00768905571807732,0.03967705659781462,False,0.0
SUMMARY,2026_SEQUENTIAL_EARLY,MONTH,ALL,VARIES,rmse,,,-0.033719829543788826,-0.0049811308253033815,False,1.0
SUMMARY,2026_SEQUENTIAL_EARLY,MONTH,ALL,VARIES,bias,,,-0.43370359886340143,-0.38706460477032484,False,1.0
SUMMARY,2026_SEQUENTIAL_EARLY,MONTH,ALL,VARIES,crps,,,-0.025117449894556554,-0.005150035809600162,False,1.0
SUMMARY,2026_SEQUENTIAL_EARLY,MONTH,ALL,VARIES,brier,,,-0.0027079246207694363,-0.0005168789386307271,False,1.0
LEAVE_BLOCK_OUT,2026_LATE_HOLDOUT,MONTH,2026-07,68,mae,0.06025886700862326,False,,,,
LEAVE_BLOCK_OUT,2026_LATE_HOLDOUT,MONTH,2026-07,68,rmse,-0.015942345122838653,True,,,,
LEAVE_BLOCK_OUT,2026_LATE_HOLDOUT,MONTH,2026-07,68,bias,-0.5032339697310504,False,,,,
LEAVE_BLOCK_OUT,2026_LATE_HOLDOUT,MONTH,2026-07,68,crps,0.005191321232587587,False,,,,
LEAVE_BLOCK_OUT,2026_LATE_HOLDOUT,MONTH,2026-07,68,brier,0.003628963435508753,False,,,,
LEAVE_BLOCK_OUT,2026_LATE_HOLDOUT,MONTH,2026-08,371,mae,0.08433253449195233,False,,,,
LEAVE_BLOCK_OUT,2026_LATE_HOLDOUT,MONTH,2026-08,371,rmse,-0.016079762020620336,True,,,,
LEAVE_BLOCK_OUT,2026_LATE_HOLDOUT,MONTH,2026-08,371,bias,-0.48626443053716,True,,,,
LEAVE_BLOCK_OUT,2026_LATE_HOLDOUT,MONTH,2026-08,371,crps,-0.009188135515692863,True,,,,
LEAVE_BLOCK_OUT,2026_LATE_HOLDOUT,MONTH,2026-08,371,brier,-0.0004568073380520621,True,,,,
SUMMARY,2026_LATE_HOLDOUT,MONTH,ALL,VARIES,mae,,,0.06025886700862326,0.08433253449195233,False,0.0
SUMMARY,2026_LATE_HOLDOUT,MONTH,ALL,VARIES,rmse,,,-0.016079762020620336,-0.015942345122838653,False,1.0
SUMMARY,2026_LATE_HOLDOUT,MONTH,ALL,VARIES,bias,,,-0.5032339697310504,-0.48626443053716,False,0.5
SUMMARY,2026_LATE_HOLDOUT,MONTH,ALL,VARIES,crps,,,-0.009188135515692863,0.005191321232587587,True,0.5
SUMMARY,2026_LATE_HOLDOUT,MONTH,ALL,VARIES,brier,,,-0.0004568073380520621,0.003628963435508753,True,0.5
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-06,121,mae,0.015846051562996344,False,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-06,121,rmse,-0.01681861637031945,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-06,121,bias,-0.5478808611431593,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-06,121,crps,-0.017808479094957086,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-06,121,brier,-0.0027231117151261253,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-07,112,mae,0.01702393629958099,False,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-07,112,rmse,-0.0035030403688640632,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-07,112,bias,-0.5209349801445745,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-07,112,crps,-0.010973360337286575,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-07,112,brier,-0.0019694652713295457,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-08,111,mae,0.031208854803840058,False,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-08,111,rmse,-0.016853516847291417,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-08,111,bias,-0.5317660869164769,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-08,111,crps,-0.018326365617411522,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-08,111,brier,-0.002702912241291877,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-09,111,mae,0.013233842096138204,False,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-09,111,rmse,-0.0011744394100476896,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-09,111,bias,-0.5230938684520811,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-09,111,crps,-0.00969766437848163,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-09,111,brier,-0.001656627414242634,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-10,116,mae,0.038347122161941805,False,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-10,116,rmse,-0.008805281940272636,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-10,116,bias,-0.5424815655407329,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-10,116,crps,-0.012103839633817337,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-10,116,brier,-0.0015150575243050302,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-11,111,mae,-0.006595137082103797,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-11,111,rmse,-0.044075821635195744,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-11,111,bias,-0.5471970679246799,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-11,111,crps,-0.03593388264085595,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-11,111,brier,-0.004761502464609102,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-12,111,mae,0.03602540075849214,False,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-12,111,rmse,-0.003970010200773366,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-12,111,bias,-0.533481403036099,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-12,111,crps,-0.012358963134178058,True,,,,
LEAVE_BLOCK_OUT,PROSPECTIVE_AUG06_15,DATE,2026-08-12,111,brier,-0.002179276490696047,True,,,,
