period,variant,row_type,line_events,ladder_brier,ladder_log_loss,ladder_ece,reliability_bin,mean_probability,observed_rate,absolute_calibration_gap
2026_SEQUENTIAL_EARLY,REPAIRED,RELIABILITY_BIN,157,,,,"[0.1, 0.2)",0.18830593449700364,0.19745222929936307,0.009146294802359428
2026_SEQUENTIAL_EARLY,REPAIRED,RELIABILITY_BIN,1606,,,,"[0.2, 0.3)",0.2533494928098336,0.2683686176836862,0.015019124873852596
2026_SEQUENTIAL_EARLY,REPAIRED,RELIABILITY_BIN,1606,,,,"[0.3, 0.4)",0.34944176171359514,0.37048567870485677,0.021043916991261624
2026_SEQUENTIAL_EARLY,REPAIRED,RELIABILITY_BIN,1425,,,,"[0.4, 0.5)",0.4501327591162214,0.4687719298245614,0.01863917070833998
2026_SEQUENTIAL_EARLY,REPAIRED,RELIABILITY_BIN,1309,,,,"[0.5, 0.6)",0.5502089030433494,0.5614973262032086,0.011288423159859229
2026_SEQUENTIAL_EARLY,REPAIRED,RELIABILITY_BIN,1318,,,,"[0.6, 0.7)",0.6498681282762482,0.6562974203338392,0.006429292057591018
2026_SEQUENTIAL_EARLY,REPAIRED,RELIABILITY_BIN,258,,,,"[0.7, 0.8)",0.7258981561774409,0.7441860465116279,0.018287890334186985
2026_SEQUENTIAL_EARLY,REPAIRED,RELIABILITY_BIN,7,,,,"[0.8, 0.9)",0.8053533355922916,0.8571428571428571,0.05178952155056549
2026_SEQUENTIAL_EARLY,V1_INTERCEPT_DIAGNOSTIC,SUMMARY,7686,0.22453178098165694,0.640511986093251,0.009348214576996746,,,,
2026_SEQUENTIAL_EARLY,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,83,,,,"[0.1, 0.2)",0.18978940883230444,0.2891566265060241,0.09936721767371964
2026_SEQUENTIAL_EARLY,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,1614,,,,"[0.2, 0.3)",0.25370591383114627,0.2620817843866171,0.008375870555470843
2026_SEQUENTIAL_EARLY,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,1552,,,,"[0.3, 0.4)",0.35045378788138865,0.34664948453608246,0.0038043033453061814
2026_SEQUENTIAL_EARLY,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,1402,,,,"[0.4, 0.5)",0.44886317299380657,0.4579172610556348,0.009054088061828225
2026_SEQUENTIAL_EARLY,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,1352,,,,"[0.5, 0.6)",0.5489675165873933,0.5569526627218935,0.007985146134500187
2026_SEQUENTIAL_EARLY,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,1355,,,,"[0.6, 0.7)",0.6507864868873411,0.6560885608856089,0.0053020739982677645
2026_SEQUENTIAL_EARLY,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,316,,,,"[0.7, 0.8)",0.7303525973334563,0.7721518987341772,0.04179930140072097
2026_SEQUENTIAL_EARLY,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,12,,,,"[0.8, 0.9)",0.8085561869478971,0.8333333333333334,0.024777146385436266
2026_LATE_HOLDOUT,CONTROL_RAW,SUMMARY,2634,0.23053602911161053,0.6543558561017102,0.04390562249268724,,,,
2026_LATE_HOLDOUT,CONTROL_RAW,RELIABILITY_BIN,266,,,,"[0.1, 0.2)",0.17493128460021748,0.2518796992481203,0.07694841464790284
2026_LATE_HOLDOUT,CONTROL_RAW,RELIABILITY_BIN,617,,,,"[0.2, 0.3)",0.24819367993495628,0.3209076175040519,0.07271393756909561
2026_LATE_HOLDOUT,CONTROL_RAW,RELIABILITY_BIN,529,,,,"[0.3, 0.4)",0.34962706061622745,0.3950850661625709,0.04545800554634344
2026_LATE_HOLDOUT,CONTROL_RAW,RELIABILITY_BIN,468,,,,"[0.4, 0.5)",0.45106901233092134,0.47649572649572647,0.02542671416480513
2026_LATE_HOLDOUT,CONTROL_RAW,RELIABILITY_BIN,425,,,,"[0.5, 0.6)",0.5515209069388559,0.5741176470588235,0.022596740119967595
2026_LATE_HOLDOUT,CONTROL_RAW,RELIABILITY_BIN,296,,,,"[0.6, 0.7)",0.6360755395198571,0.6351351351351351,0.0009404043847219823
2026_LATE_HOLDOUT,CONTROL_RAW,RELIABILITY_BIN,33,,,,"[0.7, 0.8)",0.742858470992254,0.8787878787878788,0.1359294077956248
2026_LATE_HOLDOUT,REPAIRED,SUMMARY,2634,0.23071209742868853,0.6540085325048086,0.034253115547978184,,,,
2026_LATE_HOLDOUT,REPAIRED,RELIABILITY_BIN,84,,,,"[0.1, 0.2)",0.1847979341612923,0.23809523809523808,0.05329730393394577
2026_LATE_HOLDOUT,REPAIRED,RELIABILITY_BIN,549,,,,"[0.2, 0.3)",0.2520245766771764,0.29508196721311475,0.04305739053593832
2026_LATE_HOLDOUT,REPAIRED,RELIABILITY_BIN,547,,,,"[0.3, 0.4)",0.3488910438052654,0.37294332723948814,0.02405228343422272
2026_LATE_HOLDOUT,REPAIRED,RELIABILITY_BIN,480,,,,"[0.4, 0.5)",0.4487236032104524,0.41875,0.029973603210452393
2026_LATE_HOLDOUT,REPAIRED,RELIABILITY_BIN,454,,,,"[0.5, 0.6)",0.5489065639763908,0.5066079295154186,0.04229863446097226
2026_LATE_HOLDOUT,REPAIRED,RELIABILITY_BIN,434,,,,"[0.6, 0.7)",0.6479422530916038,0.6267281105990783,0.021214142492525512
2026_LATE_HOLDOUT,REPAIRED,RELIABILITY_BIN,85,,,,"[0.7, 0.8)",0.7298654383908698,0.8,0.07013456160913023
2026_LATE_HOLDOUT,REPAIRED,RELIABILITY_BIN,1,,,,"[0.8, 0.9)",0.8086587846575345,1.0,0.1913412153424655
2026_LATE_HOLDOUT,V1_INTERCEPT_DIAGNOSTIC,SUMMARY,2634,0.22866341145627328,0.6493776320638077,0.022469598748715087,,,,
2026_LATE_HOLDOUT,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,74,,,,"[0.1, 0.2)",0.18844876829338336,0.3108108108108108,0.12236204251742744
2026_LATE_HOLDOUT,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,564,,,,"[0.2, 0.3)",0.25131940479175385,0.2712765957446808,0.019957190952926973
2026_LATE_HOLDOUT,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,534,,,,"[0.3, 0.4)",0.3486898354275333,0.3651685393258427,0.01647870389830941
2026_LATE_HOLDOUT,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,484,,,,"[0.4, 0.5)",0.448049779883071,0.4214876033057851,0.02656217657728588
2026_LATE_HOLDOUT,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,456,,,,"[0.5, 0.6)",0.5486951618776582,0.5219298245614035,0.026765337316254745
2026_LATE_HOLDOUT,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,445,,,,"[0.6, 0.7)",0.6488708630637832,0.6426966292134831,0.006174233850300026
2026_LATE_HOLDOUT,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,76,,,,"[0.7, 0.8)",0.7357818781397729,0.7631578947368421,0.02737601659706923
2026_LATE_HOLDOUT,V1_INTERCEPT_DIAGNOSTIC,RELIABILITY_BIN,1,,,,"[0.8, 0.9)",0.8145502257014621,1.0,0.18544977429853793
PROSPECTIVE_AUG06_15,CONTROL_RAW,SUMMARY,756,0.22434798471609654,0.6408382598645951,0.06835425792700746,,,,
PROSPECTIVE_AUG06_15,CONTROL_RAW,RELIABILITY_BIN,103,,,,"[0.1, 0.2)",0.17062442042127016,0.24271844660194175,0.0720940261806716
PROSPECTIVE_AUG06_15,CONTROL_RAW,RELIABILITY_BIN,182,,,,"[0.2, 0.3)",0.24807984998751068,0.2802197802197802,0.03213993023226955
PROSPECTIVE_AUG06_15,CONTROL_RAW,RELIABILITY_BIN,153,,,,"[0.3, 0.4)",0.35109414132799005,0.4444444444444444,0.09335030311645437
PROSPECTIVE_AUG06_15,CONTROL_RAW,RELIABILITY_BIN,132,,,,"[0.4, 0.5)",0.4543222909047478,0.5227272727272727,0.06840498182252491
PROSPECTIVE_AUG06_15,CONTROL_RAW,RELIABILITY_BIN,122,,,,"[0.5, 0.6)",0.5565704562943382,0.6229508196721312,0.06638036337779296
PROSPECTIVE_AUG06_15,CONTROL_RAW,RELIABILITY_BIN,59,,,,"[0.6, 0.7)",0.6321801763681191,0.7288135593220338,0.09663338295391477
PROSPECTIVE_AUG06_15,CONTROL_RAW,RELIABILITY_BIN,5,,,,"[0.7, 0.8)",0.7422321819654188,1.0,0.25776781803458115
PROSPECTIVE_AUG06_15,REPAIRED,SUMMARY,756,0.22184329077228265,0.634916603473847,0.029047055029137316,,,,
PROSPECTIVE_AUG06_15,REPAIRED,RELIABILITY_BIN,30,,,,"[0.1, 0.2)",0.18506674911678164,0.16666666666666666,0.018400082450114985
PROSPECTIVE_AUG06_15,REPAIRED,RELIABILITY_BIN,175,,,,"[0.2, 0.3)",0.25076232747833105,0.2742857142857143,0.02352338680738325
