date,capture_window,lane,exact_recovered,outcome_complete,month
2026-05-08,11:00,HITS_05_OVER,1,1,2026-05
2026-05-08,11:00,HITS_05_UNDER,1,0,2026-05
2026-05-08,13:00,HITS_05_OVER,28,26,2026-05
2026-05-08,13:00,HITS_05_UNDER,11,9,2026-05
2026-05-08,13:00,HITS_15_UNDER,5,4,2026-05
2026-05-08,16:30,HITS_05_OVER,34,31,2026-05
2026-05-08,16:30,HITS_05_UNDER,11,9,2026-05
2026-05-08,16:30,HITS_15_UNDER,4,3,2026-05
2026-05-09,05:30,HITS_05_UNDER,2,0,2026-05
2026-05-09,05:30,HITS_15_UNDER,1,0,2026-05
2026-05-09,08:30,HITS_05_UNDER,2,0,2026-05
2026-05-09,11:00,HITS_05_OVER,18,0,2026-05
2026-05-09,11:00,HITS_05_UNDER,10,0,2026-05
2026-05-09,11:00,HITS_15_UNDER,6,0,2026-05
2026-05-09,13:00,HITS_05_OVER,126,0,2026-05
2026-05-09,13:00,HITS_05_UNDER,54,0,2026-05
2026-05-09,13:00,HITS_15_OVER,3,0,2026-05
2026-05-09,13:00,HITS_15_UNDER,20,0,2026-05
2026-05-09,16:30,HITS_05_OVER,36,0,2026-05
2026-05-09,16:30,HITS_05_UNDER,12,0,2026-05
2026-05-09,16:30,HITS_15_UNDER,1,0,2026-05
2026-05-10,05:30,HITS_05_OVER,15,6,2026-05
2026-05-10,05:30,HITS_05_UNDER,12,1,2026-05
2026-05-10,05:30,HITS_15_OVER,1,0,2026-05
2026-05-10,05:30,HITS_15_UNDER,1,0,2026-05
2026-05-10,08:30,HITS_05_OVER,33,18,2026-05
2026-05-10,08:30,HITS_05_UNDER,6,4,2026-05
2026-05-10,08:30,HITS_15_UNDER,5,5,2026-05
2026-05-10,11:00,HITS_05_OVER,18,15,2026-05
2026-05-10,11:00,HITS_05_UNDER,6,2,2026-05
2026-05-10,11:00,HITS_15_UNDER,1,0,2026-05
2026-05-10,13:00,HITS_05_OVER,18,10,2026-05
2026-05-10,13:00,HITS_05_UNDER,9,2,2026-05
2026-05-10,13:00,HITS_15_UNDER,6,2,2026-05
2026-05-11,05:30,HITS_15_UNDER,3,0,2026-05
2026-05-11,08:30,HITS_15_UNDER,1,0,2026-05
2026-05-11,11:00,HITS_05_UNDER,1,0,2026-05
2026-05-11,13:00,HITS_05_OVER,11,9,2026-05
2026-05-11,13:00,HITS_05_UNDER,4,3,2026-05
2026-05-11,13:00,HITS_15_UNDER,1,1,2026-05
2026-05-11,16:30,HITS_05_OVER,12,10,2026-05
2026-05-11,16:30,HITS_05_UNDER,6,4,2026-05
2026-05-11,16:30,HITS_15_OVER,1,0,2026-05
2026-05-11,16:30,HITS_15_UNDER,1,1,2026-05
2026-05-12,05:30,HITS_15_UNDER,1,0,2026-05
2026-05-12,08:30,HITS_15_UNDER,3,0,2026-05
2026-05-12,11:00,HITS_05_OVER,3,2,2026-05
2026-05-12,13:00,HITS_05_OVER,39,22,2026-05
2026-05-12,13:00,HITS_05_UNDER,10,5,2026-05
2026-05-12,13:00,HITS_15_OVER,2,1,2026-05
2026-05-12,13:00,HITS_15_UNDER,8,6,2026-05
2026-05-12,16:30,HITS_05_OVER,32,19,2026-05
2026-05-12,16:30,HITS_05_UNDER,12,5,2026-05
2026-05-12,16:30,HITS_15_OVER,2,2,2026-05
2026-05-12,16:30,HITS_15_UNDER,13,10,2026-05
2026-05-13,05:30,HITS_05_UNDER,2,0,2026-05
2026-05-13,05:30,HITS_15_UNDER,1,0,2026-05
2026-05-13,08:30,HITS_05_OVER,9,7,2026-05
2026-05-13,08:30,HITS_05_UNDER,2,2,2026-05
2026-05-13,08:30,HITS_15_UNDER,1,1,2026-05
2026-05-13,11:00,HITS_05_UNDER,3,0,2026-05
2026-05-13,13:00,HITS_05_OVER,41,25,2026-05
2026-05-13,13:00,HITS_05_UNDER,11,7,2026-05
2026-05-13,13:00,HITS_15_OVER,2,0,2026-05
2026-05-13,13:00,HITS_15_UNDER,7,6,2026-05
2026-05-13,16:30,HITS_05_OVER,31,18,2026-05
2026-05-13,16:30,HITS_05_UNDER,14,5,2026-05
2026-05-13,16:30,HITS_15_UNDER,6,4,2026-05
2026-05-14,05:30,HITS_05_OVER,10,1,2026-05
2026-05-14,05:30,HITS_05_UNDER,6,0,2026-05
2026-05-14,05:30,HITS_15_UNDER,2,0,2026-05
2026-05-14,08:30,HITS_05_OVER,15,12,2026-05
2026-05-14,08:30,HITS_05_UNDER,6,4,2026-05
2026-05-14,08:30,HITS_15_OVER,1,0,2026-05
2026-05-14,08:30,HITS_15_UNDER,2,1,2026-05
2026-05-14,11:00,HITS_05_OVER,11,9,2026-05
2026-05-14,11:00,HITS_15_UNDER,4,3,2026-05
2026-05-14,13:00,HITS_05_OVER,10,7,2026-05
2026-05-14,13:00,HITS_05_UNDER,4,2,2026-05
2026-05-14,13:00,HITS_15_UNDER,4,4,2026-05
2026-05-14,16:30,HITS_05_OVER,2,1,2026-05
2026-05-14,16:30,HITS_05_UNDER,3,0,2026-05
2026-05-15,05:30,HITS_15_UNDER,1,0,2026-05
2026-05-15,08:30,HITS_15_UNDER,1,0,2026-05
2026-05-15,11:00,HITS_05_OVER,2,0,2026-05
2026-05-15,11:00,HITS_05_UNDER,1,0,2026-05
2026-05-15,13:00,HITS_05_OVER,26,11,2026-05
2026-05-15,13:00,HITS_05_UNDER,20,10,2026-05
2026-05-15,13:00,HITS_15_UNDER,6,4,2026-05
2026-05-15,16:30,HITS_05_OVER,17,10,2026-05
2026-05-15,16:30,HITS_05_UNDER,15,8,2026-05
2026-05-15,16:30,HITS_15_UNDER,14,10,2026-05
2026-05-16,05:30,HITS_05_OVER,2,0,2026-05
2026-05-16,05:30,HITS_05_UNDER,2,0,2026-05
2026-05-16,05:30,HITS_15_UNDER,4,1,2026-05
2026-05-16,08:30,HITS_05_OVER,4,1,2026-05
2026-05-16,08:30,HITS_05_UNDER,8,1,2026-05
2026-05-16,08:30,HITS_15_UNDER,3,3,2026-05
2026-05-16,11:00,HITS_05_OVER,14,3,2026-05
2026-05-16,11:00,HITS_05_UNDER,5,1,2026-05
2026-05-16,11:00,HITS_15_UNDER,11,6,2026-05
2026-05-16,13:00,HITS_05_OVER,45,32,2026-05
2026-05-16,13:00,HITS_05_UNDER,23,8,2026-05
2026-05-16,13:00,HITS_15_OVER,1,0,2026-05
2026-05-16,13:00,HITS_15_UNDER,10,8,2026-05
2026-05-16,16:30,HITS_05_OVER,11,8,2026-05
2026-05-16,16:30,HITS_05_UNDER,7,1,2026-05
2026-05-16,16:30,HITS_15_UNDER,2,1,2026-05
2026-05-17,05:30,HITS_05_OVER,10,3,2026-05
2026-05-17,05:30,HITS_05_UNDER,4,0,2026-05
2026-05-17,05:30,HITS_15_UNDER,2,2,2026-05
2026-05-17,08:30,HITS_05_OVER,29,20,2026-05
2026-05-17,08:30,HITS_05_UNDER,16,8,2026-05
2026-05-17,08:30,HITS_15_UNDER,11,5,2026-05
2026-05-17,11:00,HITS_05_OVER,11,5,2026-05
2026-05-17,11:00,HITS_05_UNDER,12,5,2026-05
2026-05-17,11:00,HITS_15_UNDER,7,5,2026-05
2026-05-17,13:00,HITS_05_OVER,16,11,2026-05
2026-05-17,13:00,HITS_05_UNDER,10,2,2026-05
2026-05-17,13:00,HITS_15_UNDER,8,5,2026-05
2026-05-18,05:30,HITS_05_OVER,1,0,2026-05
2026-05-18,05:30,HITS_05_UNDER,1,0,2026-05
2026-05-18,05:30,HITS_15_UNDER,1,0,2026-05
2026-05-18,11:00,HITS_05_OVER,1,0,2026-05
2026-05-18,11:00,HITS_15_UNDER,2,2,2026-05
2026-05-18,13:00,HITS_05_OVER,37,16,2026-05
2026-05-18,13:00,HITS_05_UNDER,21,9,2026-05
2026-05-18,13:00,HITS_15_OVER,1,1,2026-05
2026-05-18,13:00,HITS_15_UNDER,9,7,2026-05
2026-05-18,16:30,HITS_05_OVER,27,16,2026-05
2026-05-18,16:30,HITS_05_UNDER,20,10,2026-05
2026-05-18,16:30,HITS_15_OVER,2,2,2026-05
2026-05-18,16:30,HITS_15_UNDER,10,10,2026-05
2026-05-19,05:30,HITS_05_OVER,1,0,2026-05
2026-05-19,05:30,HITS_05_UNDER,2,0,2026-05
2026-05-19,05:30,HITS_15_UNDER,4,0,2026-05
2026-05-19,08:30,HITS_05_OVER,4,0,2026-05
2026-05-19,08:30,HITS_05_UNDER,1,0,2026-05
2026-05-19,11:00,HITS_05_OVER,3,0,2026-05
2026-05-19,13:00,HITS_05_OVER,18,12,2026-05
2026-05-19,13:00,HITS_05_UNDER,9,6,2026-05
2026-05-19,13:00,HITS_15_UNDER,2,1,2026-05
2026-05-19,16:30,HITS_05_OVER,38,25,2026-05
2026-05-19,16:30,HITS_05_UNDER,23,10,2026-05
2026-05-19,16:30,HITS_15_UNDER,16,9,2026-05
2026-05-20,05:30,HITS_05_OVER,3,0,2026-05
2026-05-20,05:30,HITS_05_UNDER,2,1,2026-05
2026-05-20,05:30,HITS_15_UNDER,3,0,2026-05
2026-05-20,08:30,HITS_05_OVER,17,10,2026-05
2026-05-20,08:30,HITS_05_UNDER,8,5,2026-05
2026-05-20,08:30,HITS_15_OVER,1,1,2026-05
2026-05-20,08:30,HITS_15_UNDER,2,2,2026-05
2026-05-20,11:00,HITS_05_OVER,21,8,2026-05
2026-05-20,11:00,HITS_05_UNDER,9,3,2026-05
2026-05-20,11:00,HITS_15_UNDER,7,5,2026-05
2026-05-20,13:00,HITS_05_OVER,20,15,2026-05
2026-05-20,13:00,HITS_05_UNDER,13,4,2026-05
2026-05-20,13:00,HITS_15_UNDER,3,1,2026-05
2026-05-20,16:30,HITS_05_OVER,20,11,2026-05
2026-05-20,16:30,HITS_05_UNDER,13,5,2026-05
2026-05-20,16:30,HITS_15_UNDER,2,1,2026-05
2026-05-21,05:30,HITS_05_OVER,2,0,2026-05
2026-05-21,08:30,HITS_05_OVER,8,6,2026-05
2026-05-21,08:30,HITS_05_UNDER,3,2,2026-05
2026-05-21,11:00,HITS_15_UNDER,1,1,2026-05
2026-05-21,13:00,HITS_05_OVER,8,6,2026-05
2026-05-21,13:00,HITS_05_UNDER,3,1,2026-05
2026-05-21,13:00,HITS_15_OVER,3,1,2026-05
2026-05-21,13:00,HITS_15_UNDER,4,3,2026-05
2026-05-21,16:30,HITS_05_OVER,26,19,2026-05
2026-05-21,16:30,HITS_05_UNDER,2,0,2026-05
2026-05-21,16:30,HITS_15_OVER,2,1,2026-05
2026-05-21,16:30,HITS_15_UNDER,1,1,2026-05
2026-05-22,05:30,HITS_05_OVER,4,0,2026-05
2026-05-22,05:30,HITS_15_UNDER,1,0,2026-05
2026-05-22,08:30,HITS_15_UNDER,2,0,2026-05
2026-05-22,11:00,HITS_05_OVER,7,3,2026-05
2026-05-22,11:00,HITS_05_UNDER,2,1,2026-05
2026-05-22,11:00,HITS_15_OVER,1,1,2026-05
2026-05-22,11:00,HITS_15_UNDER,3,0,2026-05
2026-05-22,13:00,HITS_05_OVER,29,13,2026-05
2026-05-22,13:00,HITS_05_UNDER,5,3,2026-05
2026-05-22,13:00,HITS_15_OVER,2,1,2026-05
2026-05-22,13:00,HITS_15_UNDER,6,2,2026-05
2026-05-22,16:30,HITS_05_OVER,26,16,2026-05
2026-05-22,16:30,HITS_05_UNDER,4,2,2026-05
2026-05-22,16:30,HITS_15_OVER,2,2,2026-05
2026-05-22,16:30,HITS_15_UNDER,2,1,2026-05
2026-05-23,05:30,HITS_05_OVER,74,48,2026-05
2026-05-23,05:30,HITS_05_UNDER,8,4,2026-05
2026-05-23,05:30,HITS_15_UNDER,2,1,2026-05
2026-06-19,05:30,HITS_05_OVER,4,2,2026-06
2026-06-19,08:30,HITS_15_UNDER,2,2,2026-06
2026-06-19,11:00,HITS_05_OVER,12,7,2026-06
2026-06-19,11:00,HITS_15_UNDER,1,0,2026-06
2026-06-19,13:00,HITS_05_OVER,28,20,2026-06
2026-06-19,13:00,HITS_05_UNDER,3,3,2026-06
2026-06-19,13:00,HITS_15_OVER,1,1,2026-06
2026-06-19,13:00,HITS_15_UNDER,7,5,2026-06
2026-06-19,16:30,HITS_05_OVER,40,33,2026-06
2026-06-19,16:30,HITS_05_UNDER,3,3,2026-06
2026-06-19,16:30,HITS_15_OVER,4,4,2026-06
2026-06-19,16:30,HITS_15_UNDER,15,10,2026-06
2026-06-20,05:30,HITS_05_OVER,3,2,2026-06
2026-06-20,05:30,HITS_15_UNDER,3,3,2026-06
2026-06-20,08:30,HITS_05_OVER,11,7,2026-06
2026-06-20,08:30,HITS_05_UNDER,2,2,2026-06
2026-06-20,08:30,HITS_15_UNDER,2,1,2026-06
2026-06-20,11:00,HITS_05_OVER,7,4,2026-06
2026-06-20,11:00,HITS_15_UNDER,2,2,2026-06
2026-06-20,13:00,HITS_05_OVER,52,43,2026-06
2026-06-20,13:00,HITS_05_UNDER,8,4,2026-06
2026-06-20,13:00,HITS_15_OVER,1,1,2026-06
2026-06-20,13:00,HITS_15_UNDER,7,4,2026-06
2026-06-21,05:30,HITS_05_OVER,3,2,2026-06
2026-06-21,05:30,HITS_05_UNDER,2,1,2026-06
2026-06-21,05:30,HITS_15_UNDER,1,0,2026-06
2026-06-21,08:30,HITS_05_OVER,33,23,2026-06
2026-06-21,08:30,HITS_05_UNDER,2,2,2026-06
2026-06-21,08:30,HITS_15_OVER,1,1,2026-06
2026-06-21,08:30,HITS_15_UNDER,2,0,2026-06
2026-06-21,11:00,HITS_05_OVER,22,17,2026-06
2026-06-21,11:00,HITS_05_UNDER,2,1,2026-06
2026-06-21,11:00,HITS_15_UNDER,11,8,2026-06
2026-06-21,13:00,HITS_05_OVER,21,19,2026-06
2026-06-21,13:00,HITS_05_UNDER,1,1,2026-06
2026-06-21,13:00,HITS_15_UNDER,3,3,2026-06
2026-06-22,05:30,HITS_05_OVER,2,2,2026-06
2026-06-22,05:30,HITS_15_UNDER,1,1,2026-06
2026-06-22,11:00,HITS_05_OVER,1,1,2026-06
2026-06-22,11:00,HITS_05_UNDER,1,1,2026-06
2026-06-22,11:00,HITS_15_OVER,1,0,2026-06
2026-06-22,11:00,HITS_15_UNDER,5,4,2026-06
2026-06-22,13:00,HITS_05_OVER,34,21,2026-06
2026-06-22,13:00,HITS_05_UNDER,2,0,2026-06
2026-06-22,13:00,HITS_15_UNDER,4,3,2026-06
2026-06-22,16:30,HITS_05_OVER,41,33,2026-06
2026-06-22,16:30,HITS_05_UNDER,8,3,2026-06
2026-06-22,16:30,HITS_15_UNDER,9,9,2026-06
2026-06-23,05:30,HITS_15_UNDER,1,0,2026-06
2026-06-23,08:30,HITS_05_OVER,1,1,2026-06
2026-06-23,08:30,HITS_15_UNDER,1,1,2026-06
2026-06-23,11:00,HITS_05_OVER,6,2,2026-06
2026-06-23,11:00,HITS_15_UNDER,4,3,2026-06
2026-06-23,13:00,HITS_05_OVER,32,22,2026-06
2026-06-23,13:00,HITS_05_UNDER,3,3,2026-06
2026-06-23,13:00,HITS_15_OVER,1,1,2026-06
2026-06-23,13:00,HITS_15_UNDER,4,2,2026-06
2026-06-23,16:30,HITS_05_OVER,38,29,2026-06
2026-06-23,16:30,HITS_05_UNDER,3,2,2026-06
2026-06-23,16:30,HITS_15_UNDER,9,9,2026-06
2026-06-24,05:30,HITS_05_OVER,11,8,2026-06
2026-06-24,05:30,HITS_15_OVER,1,0,2026-06
2026-06-24,08:30,HITS_05_OVER,2,1,2026-06
2026-06-24,08:30,HITS_15_OVER,1,1,2026-06
2026-06-24,11:00,HITS_05_OVER,10,7,2026-06
2026-06-24,11:00,HITS_05_UNDER,1,0,2026-06
2026-06-24,11:00,HITS_15_UNDER,3,2,2026-06
2026-06-24,13:00,HITS_05_OVER,54,33,2026-06
2026-06-24,13:00,HITS_05_UNDER,3,1,2026-06
2026-06-24,13:00,HITS_15_UNDER,9,7,2026-06
2026-06-24,16:30,HITS_05_OVER,18,13,2026-06
2026-06-24,16:30,HITS_05_UNDER,5,4,2026-06
2026-06-24,16:30,HITS_15_OVER,1,1,2026-06
2026-06-24,16:30,HITS_15_UNDER,5,4,2026-06
2026-06-25,05:30,HITS_05_OVER,6,5,2026-06
2026-06-25,05:30,HITS_05_UNDER,1,1,2026-06
2026-06-25,05:30,HITS_15_OVER,1,0,2026-06
2026-06-25,05:30,HITS_15_UNDER,2,1,2026-06
2026-06-25,08:30,HITS_05_OVER,5,4,2026-06
2026-06-25,08:30,HITS_15_UNDER,2,0,2026-06
2026-06-25,11:00,HITS_05_OVER,8,5,2026-06
2026-06-25,13:00,HITS_05_OVER,25,20,2026-06
2026-06-25,13:00,HITS_05_UNDER,2,0,2026-06
2026-06-25,13:00,HITS_15_OVER,1,1,2026-06
2026-06-25,13:00,HITS_15_UNDER,6,5,2026-06
2026-06-25,16:30,HITS_05_OVER,8,0,2026-06
2026-06-25,16:30,HITS_15_UNDER,1,0,2026-06
2026-06-26,05:30,HITS_15_OVER,1,0,2026-06
2026-06-26,05:30,HITS_15_UNDER,2,1,2026-06
2026-06-26,11:00,HITS_05_OVER,8,3,2026-06
2026-06-26,11:00,HITS_05_UNDER,2,0,2026-06
2026-06-26,11:00,HITS_15_UNDER,2,0,2026-06
2026-06-26,13:00,HITS_05_OVER,37,30,2026-06
2026-06-26,13:00,HITS_05_UNDER,3,3,2026-06
2026-06-26,13:00,HITS_15_OVER,1,0,2026-06
2026-06-26,13:00,HITS_15_UNDER,11,9,2026-06
2026-06-26,16:30,HITS_05_OVER,36,31,2026-06
2026-06-26,16:30,HITS_05_UNDER,4,2,2026-06
2026-06-26,16:30,HITS_15_OVER,1,1,2026-06
2026-06-26,16:30,HITS_15_UNDER,5,3,2026-06
2026-06-27,05:30,HITS_05_OVER,2,1,2026-06
2026-06-27,08:30,HITS_05_OVER,17,10,2026-06
2026-06-27,08:30,HITS_05_UNDER,4,3,2026-06
2026-06-27,08:30,HITS_15_UNDER,4,3,2026-06
2026-06-27,11:00,HITS_05_OVER,9,5,2026-06
2026-06-27,11:00,HITS_15_UNDER,3,3,2026-06
2026-06-27,13:00,HITS_05_OVER,54,47,2026-06
2026-06-27,13:00,HITS_05_UNDER,5,3,2026-06
2026-06-27,13:00,HITS_15_OVER,2,1,2026-06
2026-06-27,13:00,HITS_15_UNDER,8,5,2026-06
2026-06-27,16:30,HITS_05_OVER,9,6,2026-06
2026-06-27,16:30,HITS_05_UNDER,1,0,2026-06
2026-06-27,16:30,HITS_15_UNDER,3,2,2026-06
2026-06-28,05:30,HITS_05_OVER,18,9,2026-06
2026-06-28,05:30,HITS_05_UNDER,1,1,2026-06
2026-06-28,05:30,HITS_15_OVER,1,1,2026-06
2026-06-28,08:30,HITS_05_OVER,42,33,2026-06
2026-06-28,08:30,HITS_05_UNDER,5,5,2026-06
2026-06-28,08:30,HITS_15_OVER,1,0,2026-06
2026-06-28,08:30,HITS_15_UNDER,8,6,2026-06
2026-06-28,11:00,HITS_05_OVER,25,21,2026-06
2026-06-28,11:00,HITS_05_UNDER,2,2,2026-06
2026-06-28,11:00,HITS_15_UNDER,5,4,2026-06
2026-06-28,13:00,HITS_05_OVER,13,11,2026-06
2026-06-28,13:00,HITS_05_UNDER,3,1,2026-06
2026-06-28,13:00,HITS_15_OVER,1,1,2026-06
2026-06-28,13:00,HITS_15_UNDER,2,1,2026-06
2026-06-29,05:30,HITS_05_OVER,6,1,2026-06
2026-06-29,08:30,HITS_05_OVER,1,1,2026-06
2026-06-29,08:30,HITS_15_UNDER,1,1,2026-06
2026-06-29,11:00,HITS_05_OVER,3,3,2026-06
2026-06-29,11:00,HITS_15_OVER,1,1,2026-06
2026-06-29,11:00,HITS_15_UNDER,1,1,2026-06
2026-06-29,13:00,HITS_05_OVER,33,22,2026-06
2026-06-29,13:00,HITS_05_UNDER,2,1,2026-06
