population,rows,mean_model_probability,month_distribution,lane_distribution,over_pct,hits15_pct,classification
ORIGINAL_CANONICAL_MATCH,7564,0.5833392410100475,"{""2026-05"": 0.204521, ""2026-06"": 0.258858, ""2026-07"": 0.48982, ""2026-08"": 0.046801}","{""HITS_05_OVER"": 0.678477, ""HITS_05_UNDER"": 0.213908, ""HITS_15_OVER"": 0.012824, ""HITS_15_UNDER"": 0.094791}",0.6913008989952406,0.10761501850872554,RECOVERED_POPULATION_COMPOSITION_SIMILAR
RECOVERED_DETERMINISTIC_MATCH,5054,0.5945471141669965,"{""2026-05"": 0.180451, ""2026-06"": 0.190938, ""2026-07"": 0.565097, ""2026-08"": 0.063514}","{""HITS_05_OVER"": 0.661654, ""HITS_05_UNDER"": 0.19351, ""HITS_15_OVER"": 0.013257, ""HITS_15_UNDER"": 0.131579}",0.6749109616145628,0.1448357736446379,RECOVERED_POPULATION_COMPOSITION_SIMILAR
