active_start,active_end,artifact,position,feature,source,missing_value_handling,preprocessing,lineage_hash,recovery
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,0,d7_hits,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,1,d7_home_runs,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,2,d7_rbis,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,3,d7_walks,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,4,d15_hits,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,5,d15_home_runs,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,6,d15_rbis,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,7,d15_walks,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,8,d30_hits,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,9,d30_home_runs,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,10,d30_rbis,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,11,d30_walks,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,12,d7_total_bases,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,13,d15_total_bases,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,14,d30_total_bases,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,15,d7_hits_runs_rbis,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,16,d15_hits_runs_rbis,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,17,d30_hits_runs_rbis,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,18,d7_stolen_bases,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,19,d15_stolen_bases,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,20,d30_stolen_bases,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,21,d7_strikeouts_batting,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,22,d15_strikeouts_batting,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,23,d30_strikeouts_batting,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,24,d7_strikeouts_pitching,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,25,d15_strikeouts_pitching,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
2026-05-08,2026-05-20,models_out/archive/hits/hits-20260426T000351Z.joblib,26,d30_strikeouts_pitching,strict-prior prop_workflow/prepared feature vector,numeric coercion; missing/non-numeric -> 0.0,serialized sklearn pipeline,artifact_sha256=62b5829aa64509e4287429fbbaf95c84362efa93a8ee3f959f1b05beeeaec8aa,EXACT_FEATURE_CONTRACT_RECOVERED
