feature,temporal_effect,FROZEN_2025_VALIDATION_mae_delta,FROZEN_2025_VALIDATION_crps_delta,FROZEN_2025_VALIDATION_brier_delta,FROZEN_2025_VALIDATION_log_loss_delta,2026_SEQUENTIAL_EARLY_mae_delta,2026_SEQUENTIAL_EARLY_crps_delta,2026_SEQUENTIAL_EARLY_brier_delta,2026_SEQUENTIAL_EARLY_log_loss_delta,2026_LATE_HOLDOUT_mae_delta,2026_LATE_HOLDOUT_crps_delta,2026_LATE_HOLDOUT_brier_delta,2026_LATE_HOLDOUT_log_loss_delta,PROSPECTIVE_AUG17_28_CLEAN_RAW_mae_delta,PROSPECTIVE_AUG17_28_CLEAN_RAW_crps_delta,PROSPECTIVE_AUG17_28_CLEAN_RAW_brier_delta,PROSPECTIVE_AUG17_28_CLEAN_RAW_log_loss_delta,mae_delta,rmse_delta,absolute_bias_delta,crps_delta,brier_delta,log_loss_delta,mean_absolute_forecast_change,median_absolute_forecast_change,maximum_absolute_forecast_change,mean_signed_forecast_change
league_total,CONSISTENTLY_BENEFICIAL,-0.006854966870309731,0.005302411811632268,0.0005804709675478747,0.0014006975947897793,0.003482257693882218,0.01305150901824037,0.0014658263859690102,0.0034368917899442186,-0.004693424681841307,0.011999954759875031,0.001092062529273491,0.0027806912313582677,-0.007461465875917117,0.008906086383141165,0.0011075944507398516,0.0028277532724888532,-0.0035836074266821782,0.014594546544032916,0.1461861215342828,0.008418909400190522,0.0009148780805608436,0.0021982846581843907,0.14618612153428287,0.1443640326437361,0.22388609903254064,-0.14618612153428287
home_offense,MIXED,0.0012389423353882378,0.0013918994475519142,9.017421441967488e-05,0.00021160558596167167,-0.0005194675833584128,-0.0022764654471632007,-0.00026506059580028163,-0.0006106503140657082,0.0017288396177010945,0.00014544450932829633,6.225183147051672e-05,0.00018138431924685783,0.0013353416938324258,-0.0017741666100374864,-0.00014851345795074966,-0.00043536336454308433,0.0007695944822749823,0.0004085940587907899,-0.01824643091435746,5.973990868080037e-05,-2.691768506893344e-05,-5.933990030004832e-05,0.05523371745224538,0.05042388282807586,0.21097167524262517,0.018246430914357348
home_prevention,MOSTLY_HARMFUL,-0.0034120336780030236,-0.0006435231812189635,-9.585371067799553e-05,-0.0001561795650011355,-0.002189306410767422,-0.0009980650554743953,-9.511242631296546e-05,-0.0001575633839085988,0.0005064786993407289,-0.0004895311267434366,6.193255677805487e-05,0.0002603725942601498,-0.0013556272017076765,-0.001179419500573431,-6.908186360007895e-05,-8.595124447741131e-05,-0.002574869609011543,-0.0014678576888496053,0.009306843897550876,-0.0007526356098166431,-7.858887780981538e-05,-0.00011161021157879425,0.06540802108130628,0.05746027922104879,0.3397319456473795,-0.009306843897550906
away_offense,MOSTLY_HARMFUL,-0.00020092696756091044,-0.0008514641015509028,-0.00010707089425276983,-0.0002527909807401585,-0.002202321534821472,-0.0024393526280857003,-0.00027790771634508826,-0.0006601537104407029,0.00166851375179089,-0.0009382642861210932,-4.480535959650034e-05,-9.062907388934782e-05,0.001765348837466263,7.496257756534064e-05,3.2768561208040836e-05,7.335983320633233e-05,-0.0005342671716181968,-0.0023119774987021557,-0.013834172083167118,-0.0012988226352192989,-0.00014645182818975866,-0.000345564954437827,0.05320097475817681,0.048852680238084645,0.23710100840088444,0.013834172083167048
away_prevention,MIXED,-0.0008977667135097178,-0.00013361632776787147,9.676158109955812e-06,9.929020224230811e-06,-0.004452538102416526,-0.0016840730430622841,-0.0001498631007765816,-0.0003500481604866712,0.0009658325251562516,0.00025226446037462935,6.729254912229976e-05,0.0001525337281081951,-0.0040149451995170615,-0.0020986622621745887,-0.00022659885396700274,-0.000480120555140795,-0.0018775350883606379,-0.0013708315088614142,0.014715033653175336,-0.0006263711553535778,-4.043641948653365e-05,-0.00010029957933177513,0.06148205123617853,0.057109315676001415,0.2819253082136175,-0.014715033653175327
home_starter_ra9,MIXED,0.004143655184650985,0.0019132562041286327,0.00023082579406233372,0.0005095817407666514,0.0012158130761208419,-0.000592176558204649,-8.002242009882976e-05,-0.00020441732640430477,-0.0016338018781310026,-0.003447058758712096,-0.00036248906574701256,-0.000889939129935291,0.004177970773406425,0.002768186377327897,0.00023285489823787753,0.0005947675403251695,0.0026858886124196957,0.0009271915616979598,-0.011602515232511323,0.0006532727902928137,7.804202856095954e-05,0.0001578218237202611,0.04635261815028643,0.03479234061456182,0.7387794714056817,0.01160251523251125
away_starter_ra9,CONSISTENTLY_BENEFICIAL,0.0001522056224589896,0.00011206377605166296,1.6752688116183911e-06,7.338293352088243e-06,0.003352896976613451,0.0003912219281461127,8.624033506193785e-05,0.00016139878895660154,0.0025680371431890947,0.0013139973299209906,0.00016156362236777189,0.0003504465392452083,0.003212587930793376,0.0007063566637368623,9.853099270534793e-05,0.00017235629995460133,0.0014606426849730347,0.0003387741544740308,-0.004347737139960894,0.0003390213331320169,4.661106134007387e-05,9.40681201905269e-05,0.025166604398662855,0.01779821907289758,0.8449538002973807,0.004347737139960812
home_starter_prior_starts,MOSTLY_BENEFICIAL,-0.014788531822835793,0.0008559802872198929,-1.400846198060246e-05,4.46584721475185e-05,0.002968443520760644,0.01725883544036355,0.001876066367070106,0.0042214562978014625,-0.004339936170778547,0.023205386210781498,0.0020114402539415377,0.005225653554944754,0.0021690949862809283,0.024700627327836955,0.002852569233229185,0.006753593986909223,-0.007831231129259209,0.01577206206024151,0.18442853266933557,0.008872506532278113,0.0008580138083272293,0.0020570810287300345,0.21991079202296915,0.18101342044992386,0.687841268203556,-0.1844285326693357
away_starter_prior_starts,CONSISTENTLY_BENEFICIAL,-0.0004862533969243188,0.00034047676592452447,3.6506201465613675e-05,8.63559597713559e-05,0.00014859890634966177,0.0010280663017256941,0.0001230506993976921,0.0002788667847238857,0.0007956845347378838,0.0020769467955594756,0.00022783561852388057,0.0005599140218620624,-0.00021711381555178377,0.0012402329860732308,0.00016248948299282806,0.000421829309963595,-0.0001571741843022778,0.0012500070878758152,0.012092708525235918,0.0007543719872544763,8.6288171263188e-05,0.00020397772785019086,0.01451261458359747,0.011906160863345505,0.05018174799785058,-0.012092708525235979
home_expected_outs,MOSTLY_BENEFICIAL,0.005496147694631137,0.0032800940088648645,0.0003932764113105669,0.0008902723835184645,0.0029223369652005005,0.0020445157323960572,0.00024133244830940037,0.0005245386897873017,-0.006790464214379899,-0.004032478017219621,-0.0005382215949630287,-0.0012486052746482068,0.0025517478837939755,0.004060231928736613,0.00043883474495598485,0.0011824488258845856,0.003372638633839742,0.0035659585283820405,0.0030639466608009536,0.002196015713179289,0.0002548543316378271,0.0005742146836819062,0.06824522766488533,0.05134491179857115,0.45671973364488494,-0.003063946660801084
away_expected_outs,CONSISTENTLY_HARMFUL,-0.002439644442924216,-0.00119533821072082,-0.0001441824539493708,-0.00030140897193209337,-0.004003563171047109,-0.0020493984091127793,-0.0002920504298914717,-0.0006420375478340956,-0.00023555240746775397,-0.0007193601016450835,-8.120253903987074e-05,-0.00018187532196434208,-0.0009981557898286475,-0.0010689911190859824,-2.7714590614597023e-05,-6.90787839863205e-06,-0.002627834569932208,-0.0022134120784240707,-0.004416336199429716,-0.001396170556499765,-0.00017750844788214093,-0.00037983268109975654,0.04599921684974552,0.03568863316947102,0.32348900878219844,0.004416336199429632
home_workload_uncertainty_outs,MOSTLY_HARMFUL,0.0006527672301355203,0.0001424603497861554,-2.0041326645042767e-05,-3.474540030934392e-05,-0.0003174523404156915,-0.001069899716037881,-9.716668127487949e-05,-0.00022169220580259275,0.0013500165000106534,-0.001271987770631533,-4.912740318882558e-05,-0.0001348939226467616,-0.00463117336669594,-0.00327085051531828,-0.00037231670305967746,-0.0008902876813413618,0.00024407528919523358,-0.0005427907144790467,-0.008230166201198486,-0.0004856325868907163,-5.868633142672164e-05,-0.00013149839520010254,0.06800425057149131,0.06289820061825857,0.5167464204209633,0.008230166201198503
away_workload_uncertainty_outs,NEGLIGIBLE,0.0002398728370081038,2.641248594814627e-05,1.303354360576714e-06,3.007291653811528e-06,6.897145937934113e-05,-0.0002921364116854619,-2.7513075682189525e-05,-6.507214652096138e-05,-0.000116932286502891,-0.00027234199121961566,-3.616124760386086e-05,-9.157829530337391e-05,0.0006959696760260314,0.0010967223686493277,8.769639034031385e-05,0.0002029691036117276,0.0001692274420030948,-0.00011703053295430976,-0.001272082634202254,-5.9975541817802736e-05,-7.952503967179059e-06,-1.9628770149604513e-05,0.009319217471365361,0.008720092187441963,0.057266698825293005,0.0012720826342022427
home_bullpen_ra9,MOSTLY_BENEFICIAL,0.0030677026014087616,0.0009793580480184083,0.0001501265617467884,0.00028544401327113,0.004527845806259201,0.003049994308255144,0.00031518384714282477,0.0006709495638795859,-0.0008930721433082489,0.0005219330224490726,-5.554570761381883e-05,-0.0002148679039076784,0.0026567997971986834,0.0029666729838271344,0.00024705557611900963,0.0005027533039988485,0.0030833819922242434,0.0028499283841405543,0.001877510444646624,0.0016202716226585423,0.00018175087889343855,0.0003569445767526158,0.06479943081187357,0.055702500213831385,0.29577987894582947,-0.001877510444646698
away_bullpen_ra9,CONSISTENTLY_BENEFICIAL,0.0006655505775152726,0.000480042718477236,4.6025946784294947e-05,0.00011540327216585933,0.0032760997615652876,0.0017849088462633667,0.00018015228142695405,0.0004236498866735383,0.0003857153174440242,0.0008640712259526673,6.656639650248763e-05,0.00016387662794303814,0.0020838442526840417,0.0020427429497646976,0.0002270200763488106,0.0005314802158414844,0.0014644643948562575,0.0016933325254484544,-0.0023817681701038262,0.0009636591632573577,9.454490160340501e-05,0.0002270421024243019,0.04085574474364759,0.03674685464483041,0.16310579949031379,0.0023817681701037443
