feature,population,games,raw_value_min,raw_value_p10,raw_value_median,raw_value_mean,raw_value_p90,raw_value_max,raw_value_std,direct_log_location_contribution_min,direct_log_location_contribution_p10,direct_log_location_contribution_median,direct_log_location_contribution_mean,direct_log_location_contribution_p90,direct_log_location_contribution_max,direct_log_location_contribution_std,mean_absolute_forecast_change,mae_delta,crps_delta,brier_delta,upstream_support_confidence_shrinkage_preserved,temporal_effect
home_starter_prior_starts,DEVELOPMENT_2023_24,4859,0.0,2.0,15.0,18.73677711463264,42.0,65.0,15.546598179262267,-0.015278615923127346,-0.013647746768880389,-0.003047097266275162,-7.31161489771661e-19,0.01896963631605877,0.03772463158989879,0.012677233712015375,0.09469497209536167,0.0018237720440157368,0.0008614669435269562,0.00011358031835362326,True,MOSTLY_BENEFICIAL
home_starter_prior_starts,FROZEN_2025_VALIDATION,2433,0.0,6.0,44.0,42.2544184134813,76.0,99.0,26.138046961724335,-0.015278615923127346,-0.010386008460386472,0.02060050547030573,0.01917709788746832,0.046694411938257054,0.06544940721209706,0.021313867271067315,0.20135774746089763,-0.014788531822835793,0.0008559802872198929,-1.400846198060246e-05,True,MOSTLY_BENEFICIAL
home_starter_prior_starts,2026_SEQUENTIAL_EARLY,1281,0.0,6.0,47.0,48.70725995316159,95.0,113.0,32.26951808456668,-0.015278615923127346,-0.010386008460386472,0.023046809201676163,0.02443896799962234,0.06218766890360316,0.07686549129182577,0.02631368083326709,0.23880048071056129,0.002968443520760644,0.01725883544036355,0.001876066367070106,True,MOSTLY_BENEFICIAL
home_starter_prior_starts,2026_LATE_HOLDOUT,439,0.0,8.0,50.0,52.21412300683371,103.0,118.0,34.89711113345847,-0.015278615923127346,-0.008755139306139515,0.025493112933046604,0.027298585390823416,0.06871114552059099,0.08094266417744318,0.02845631105994276,0.25454232074205685,-0.004339936170778547,0.023205386210781498,0.0020114402539415377,True,MOSTLY_BENEFICIAL
home_starter_prior_starts,PROSPECTIVE_AUG17_28_CLEAN_RAW,156,0.0,5.5,50.0,52.30769230769231,104.5,118.0,35.30700798174881,-0.015278615923127346,-0.010793725748948213,0.025493112933046604,0.027374885034100786,0.06993429738627621,0.08094266417744318,0.028790555123092636,0.25669685037575707,0.0021690949862809283,0.024700627327836955,0.002852569233229185,True,MOSTLY_BENEFICIAL
away_starter_prior_starts,DEVELOPMENT_2023_24,4859,0.0,2.0,15.0,18.666803869108872,42.0,66.0,15.472110456847977,-0.00099756132196656,-0.0008906805373436078,-0.00019595543729441698,-4.5697593110728814e-20,0.0012469351551154407,0.0025295045705908694,0.0008268356527004493,0.0061819008878648924,2.461356801441994e-05,2.9031525095035704e-07,9.204746221347371e-07,True,CONSISTENTLY_BENEFICIAL
away_starter_prior_starts,FROZEN_2025_VALIDATION,2433,0.0,5.0,43.0,41.61734484175914,75.0,97.0,26.049722823972353,-0.00099756132196656,-0.0007303593604091791,0.001300375547426917,0.0012264859133390392,0.0030104681013941553,0.004186156732246632,0.0013921074073182985,0.01315278047014028,-0.0004862533969243188,0.00034047676592452447,3.6506201465613675e-05,True,CONSISTENTLY_BENEFICIAL
away_starter_prior_starts,2026_SEQUENTIAL_EARLY,1281,0.0,5.0,47.0,48.59328649492584,95.0,112.0,32.66310303648116,-0.00099756132196656,-0.0007303593604091791,0.0015141371166728216,0.0015992829720262354,0.0040792759476236794,0.0049877626169187745,0.001745529040379723,0.01593882919539633,0.00014859890634966177,0.0010280663017256941,0.0001230506993976921,True,CONSISTENTLY_BENEFICIAL
away_starter_prior_starts,2026_LATE_HOLDOUT,439,0.0,8.0,51.0,53.14123006833713,104.0,119.0,35.17982582651555,-0.00099756132196656,-0.0005700381834747505,0.0017278986859187264,0.0018423268607997915,0.004560239478426965,0.005361845363099109,0.0018800236936183936,0.017111210956631106,0.0007956845347378838,0.0020769467955594756,0.00022783561852388057,True,CONSISTENTLY_BENEFICIAL
away_starter_prior_starts,PROSPECTIVE_AUG17_28_CLEAN_RAW,156,0.0,4.0,45.5,50.98717948717949,106.0,120.0,36.44278747175323,-0.00099756132196656,-0.0007837997527206553,0.0014339765282056073,0.001727213552683964,0.004667120263049918,0.005415285755410585,0.0019475168594142427,0.01669666376670806,-0.00021711381555178377,0.0012402329860732308,0.00016248948299282806,True,CONSISTENTLY_BENEFICIAL
park_history_depth,DEVELOPMENT_2023_24,4859,0.0,15.0,80.0,80.043836180284,145.0,161.0,46.75071640123089,-0.04643096097529595,-0.0372544469144381,2.5141457796903595e-05,-1.462322979543322e-18,0.037304729830031906,0.04590771176208614,0.02681303790069205,0.2094250333843671,0.0044866898170776714,0.003892150308452802,0.0004165779437760586,True,MIXED
park_history_depth,FROZEN_2025_VALIDATION,2433,0.0,164.0,199.0,190.38923140156186,233.0,243.0,47.17787522072461,-0.0934605955371924,-0.08772527424915624,-0.06822518186983333,-0.06328662942493578,-0.048151557361706794,0.04590771176208614,0.02705802720777352,0.5929563195604253,0.06233888609813265,0.0040253707830610885,0.0006212520057353177,True,MIXED
park_history_depth,2026_SEQUENTIAL_EARLY,1281,0.0,243.0,262.0,254.24980483996876,280.0,290.0,38.598435679262835,-0.12041660559096233,-0.11468128430292616,-0.10435770598446109,-0.09991272005568491,-0.0934605955371924,0.04590771176208614,0.022137442983617035,0.8851331130798344,0.07366065110140507,-0.010538184072413248,-0.001200034070548972,True,MIXED
park_history_depth,2026_LATE_HOLDOUT,439,118.0,284.0,291.0,283.5512528473804,298.0,303.0,32.79808444913939,-0.12787252326540932,-0.12500486262139127,-0.12099013771976593,-0.11671804190840417,-0.11697541281814063,-0.02176907943674048,0.018810755194795668,1.0197567722128245,0.15192241167239828,-0.013708002318260082,0.0003756105625630224,True,MIXED
park_history_depth,PROSPECTIVE_AUG17_28_CLEAN_RAW,156,132.0,296.0,300.0,292.77564102564105,302.0,304.0,29.58377364452724,-0.12844605539421294,-0.12729899113660573,-0.12615192687899848,-0.12200852489719291,-0.12385779836378402,-0.0297985292399911,0.01696724467639,1.064635937288323,0.14923413978823863,0.017931113346176808,0.0016004145172814066,True,MIXED
