population,feature,variant,crps,governed_total_line_brier,governed_total_line_log_loss,governed_total_line_ece,crps_delta,brier_delta,log_loss_delta,probability_thresholds,champion_crps,champion_brier,champion_log_loss
FROZEN_2025_VALIDATION,UNALTERED_CHAMPION,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374,0.0,0.0,0.0,6.5|7.5|8.5|9.5|10.5|11.5,,,
FROZEN_2025_VALIDATION,league_total,FROZEN_DIRECT_TERM_ABLATION,2.536898190425665,0.22776605497069774,0.6476973546091177,0.02789826549508132,0.005302411811632268,0.0005804709675478747,0.0014006975947897793,6.5|7.5|8.5|9.5|10.5|11.5,2.5315957786140326,0.22718558400314987,0.6462966570143279
FROZEN_2025_VALIDATION,home_offense,FROZEN_DIRECT_TERM_ABLATION,2.5329876780615845,0.22727575821756954,0.6465082626002896,0.015797260175654783,0.0013918994475519142,9.017421441967488e-05,0.00021160558596167167,6.5|7.5|8.5|9.5|10.5|11.5,2.5315957786140326,0.22718558400314987,0.6462966570143279
FROZEN_2025_VALIDATION,home_prevention,FROZEN_DIRECT_TERM_ABLATION,2.5309522554328137,0.22708973029247187,0.6461404774493268,0.01778999209151245,-0.0006435231812189635,-9.585371067799553e-05,-0.0001561795650011355,6.5|7.5|8.5|9.5|10.5|11.5,2.5315957786140326,0.22718558400314987,0.6462966570143279
FROZEN_2025_VALIDATION,away_offense,FROZEN_DIRECT_TERM_ABLATION,2.5307443145124817,0.2270785131088971,0.6460438660335878,0.014807501420894284,-0.0008514641015509028,-0.00010707089425276983,-0.0002527909807401585,6.5|7.5|8.5|9.5|10.5|11.5,2.5315957786140326,0.22718558400314987,0.6462966570143279
FROZEN_2025_VALIDATION,away_prevention,FROZEN_DIRECT_TERM_ABLATION,2.5314621622862647,0.22719526016125982,0.6463065860345522,0.01724871023420983,-0.00013361632776787147,9.676158109955812e-06,9.929020224230811e-06,6.5|7.5|8.5|9.5|10.5|11.5,2.5315957786140326,0.22718558400314987,0.6462966570143279
FROZEN_2025_VALIDATION,home_starter_ra9,FROZEN_DIRECT_TERM_ABLATION,2.5335090348181613,0.2274164097972122,0.6468062387550946,0.017334981883080247,0.0019132562041286327,0.00023082579406233372,0.0005095817407666514,6.5|7.5|8.5|9.5|10.5|11.5,2.5315957786140326,0.22718558400314987,0.6462966570143279
FROZEN_2025_VALIDATION,away_starter_ra9,FROZEN_DIRECT_TERM_ABLATION,2.5317078423900843,0.22718725927196148,0.64630399530768,0.01582729490100373,0.00011206377605166296,1.6752688116183911e-06,7.338293352088243e-06,6.5|7.5|8.5|9.5|10.5|11.5,2.5315957786140326,0.22718558400314987,0.6462966570143279
FROZEN_2025_VALIDATION,home_starter_prior_starts,FROZEN_DIRECT_TERM_ABLATION,2.5324517589012525,0.22717157554116926,0.6463413154864754,0.02927439360220405,0.0008559802872198929,-1.400846198060246e-05,4.46584721475185e-05,6.5|7.5|8.5|9.5|10.5|11.5,2.5315957786140326,0.22718558400314987,0.6462966570143279
FROZEN_2025_VALIDATION,away_starter_prior_starts,FROZEN_DIRECT_TERM_ABLATION,2.531936255379957,0.22722209020461548,0.6463830129740993,0.017234299592708936,0.00034047676592452447,3.6506201465613675e-05,8.63559597713559e-05,6.5|7.5|8.5|9.5|10.5|11.5,2.5315957786140326,0.22718558400314987,0.6462966570143279
FROZEN_2025_VALIDATION,home_expected_outs,FROZEN_DIRECT_TERM_ABLATION,2.5348758726228975,0.22757886041446043,0.6471869293978464,0.016440447648270975,0.0032800940088648645,0.0003932764113105669,0.0008902723835184645,6.5|7.5|8.5|9.5|10.5|11.5,2.5315957786140326,0.22718558400314987,0.6462966570143279
FROZEN_2025_VALIDATION,away_expected_outs,FROZEN_DIRECT_TERM_ABLATION,2.530400440403312,0.2270414015492005,0.6459952480423958,0.015530431204941048,-0.00119533821072082,-0.0001441824539493708,-0.00030140897193209337,6.5|7.5|8.5|9.5|10.5|11.5,2.5315957786140326,0.22718558400314987,0.6462966570143279
