population,feature,metric,date_clusters,bootstrap_draws,point_delta_ablation_minus_champion,ci95_low,ci95_high,fraction_draws_keeping_feature_better,unadjusted_two_sided_bootstrap_p,seed
FROZEN_2025_VALIDATION,league_total,mae,185,10000,-0.006854966870310476,-0.012698238111190325,-0.0009411640715006902,0.0107,0.0214,20260829
FROZEN_2025_VALIDATION,league_total,crps,185,10000,0.005302411811632632,0.001865341097304958,0.008708263145843526,0.9981,0.0038,20260829
FROZEN_2025_VALIDATION,league_total,brier,185,10000,0.0005804709675478783,0.0001663589431956842,0.000989181973812477,0.9962,0.0076,20260829
FROZEN_2025_VALIDATION,league_total,log_loss,185,10000,0.0014006975947896633,0.00046450057344000226,0.0023200351389652653,0.9975,0.005,20260829
FROZEN_2025_VALIDATION,home_offense,mae,185,10000,0.0012389423353874737,-0.001852363129980139,0.004249283334640038,0.7901,0.4198,20260829
FROZEN_2025_VALIDATION,home_offense,crps,185,10000,0.0013918994475524476,-0.00036813648467521953,0.0031451640053765098,0.9381,0.1238,20260829
FROZEN_2025_VALIDATION,home_offense,brier,185,10000,9.01742144196385e-05,-0.00012102548689710945,0.000297251930097122,0.8045,0.391,20260829
FROZEN_2025_VALIDATION,home_offense,log_loss,185,10000,0.00021160558596160426,-0.00026261370459524324,0.000674603582754179,0.8131,0.3738,20260829
FROZEN_2025_VALIDATION,home_prevention,mae,185,10000,-0.003412033678003494,-0.006540691088188796,-0.00025570189199253663,0.0171,0.0342,20260829
FROZEN_2025_VALIDATION,home_prevention,crps,185,10000,-0.0006435231812187621,-0.002559608796441568,0.0012912941454260268,0.2563,0.5126,20260829
FROZEN_2025_VALIDATION,home_prevention,brier,185,10000,-9.58537106779428e-05,-0.00031299360157103226,0.00012929680076074554,0.1944,0.3888,20260829
FROZEN_2025_VALIDATION,home_prevention,log_loss,185,10000,-0.00015617956500125636,-0.0006413241579053501,0.00035158518782150283,0.2677,0.5354,20260829
FROZEN_2025_VALIDATION,away_offense,mae,185,10000,-0.00020092696756169532,-0.003060460046791806,0.002703265219568806,0.4493,0.8986,20260829
FROZEN_2025_VALIDATION,away_offense,crps,185,10000,-0.0008514641015510216,-0.0024774217703016346,0.0007893991885800186,0.151,0.302,20260829
FROZEN_2025_VALIDATION,away_offense,brier,185,10000,-0.00010707089425278832,-0.0003006902207998447,8.870936487893113e-05,0.1421,0.2842,20260829
FROZEN_2025_VALIDATION,away_offense,log_loss,185,10000,-0.00025279098074015426,-0.0006883295235561282,0.00018608617276899862,0.1306,0.2612,20260829
FROZEN_2025_VALIDATION,away_prevention,mae,185,10000,-0.0008977667135100796,-0.003672344345794158,0.0018211127684745752,0.2666,0.5332,20260829
FROZEN_2025_VALIDATION,away_prevention,crps,185,10000,-0.00013361632776753485,-0.0018592939780164891,0.0015676325994749111,0.447,0.894,20260829
FROZEN_2025_VALIDATION,away_prevention,brier,185,10000,9.676158109967124e-06,-0.00018934261732699324,0.00020324067427145699,0.5436,0.9128,20260829
FROZEN_2025_VALIDATION,away_prevention,log_loss,185,10000,9.92902022419111e-06,-0.00043672671110932406,0.0004468363517873181,0.525,0.95,20260829
FROZEN_2025_VALIDATION,home_starter_ra9,mae,185,10000,0.004143655184649651,0.0012415342361042129,0.007033807532524788,0.9961,0.0078,20260829
FROZEN_2025_VALIDATION,home_starter_ra9,crps,185,10000,0.0019132562041285785,0.00026187967490519105,0.00355294212686724,0.9876,0.0248,20260829
FROZEN_2025_VALIDATION,home_starter_ra9,brier,185,10000,0.00023082579406233445,3.5275274714836725e-05,0.0004253031758546478,0.9889,0.0222,20260829
