population,feature,games,mean_absolute_forecast_change,median_absolute_forecast_change,maximum_absolute_forecast_change,mean_signed_forecast_change,p90_absolute_forecast_change,pct_change_ge_0_10,pct_change_ge_0_25,pct_change_ge_0_50,pct_change_ge_1_00
FROZEN_2025_VALIDATION,league_total,2433,0.14779457973970322,0.14741386353325048,0.22388609903254064,-0.14779457973970322,0.1720532725768976,1.0,0.0,0.0,0.0
FROZEN_2025_VALIDATION,home_offense,2433,0.05927731340461899,0.05300519312723928,0.21097167524262517,0.018588010823437237,0.1179541457326572,0.15824085491163173,0.0,0.0,0.0
FROZEN_2025_VALIDATION,home_prevention,2433,0.06743429883166226,0.05778624011213829,0.3397319456473795,-0.009651440802295132,0.1021487889919154,0.10974106041923551,0.03329223181257707,0.0,0.0
FROZEN_2025_VALIDATION,away_offense,2433,0.056743319671532566,0.050741148119515245,0.23710100840088444,0.013793013546336486,0.10773211533578861,0.12453760789149199,0.0,0.0,0.0
FROZEN_2025_VALIDATION,away_prevention,2433,0.0634856072439008,0.05785240898847377,0.2600578190272991,-0.015006763740119765,0.10210804571007177,0.11796136457048911,0.0016440608302507192,0.0,0.0
FROZEN_2025_VALIDATION,home_starter_ra9,2433,0.04747906461783808,0.0356872146391467,0.7387794714056817,0.010222798177415553,0.10148788492571946,0.10275380189066996,0.011508425811755036,0.0012330456226880395,0.0
FROZEN_2025_VALIDATION,away_starter_ra9,2433,0.02612667774169291,0.01828530899045866,0.8449538002973807,0.0025313566570800707,0.05356918836742644,0.026715988491574187,0.0036991368680641184,0.0016440608302507192,0.0
FROZEN_2025_VALIDATION,home_starter_prior_starts,2433,0.20135774746089763,0.17378614710081663,0.5608274127510171,-0.16434958403152727,0.4022254509512873,0.6859843814221126,0.38224414303329224,0.010686395396629675,0.0
FROZEN_2025_VALIDATION,away_starter_prior_starts,2433,0.01315278047014028,0.011207181526033949,0.04208517033397641,-0.0106530837975093,0.026393344040216603,0.0,0.0,0.0,0.0
FROZEN_2025_VALIDATION,home_expected_outs,2433,0.06669770224544234,0.05216733114560235,0.42658014927037335,0.0012558716977309403,0.1342035362725529,0.21496095355528155,0.016440608302507192,0.0,0.0
FROZEN_2025_VALIDATION,away_expected_outs,2433,0.04445398232385572,0.03544913887786194,0.31034260874820774,0.0014455464133419848,0.0902905247020236,0.07685984381422113,0.006165228113440197,0.0,0.0
FROZEN_2025_VALIDATION,home_workload_uncertainty_outs,2433,0.06955185868626394,0.06467607478178294,0.5167464204209633,0.008881223265857165,0.13614231643358507,0.2318125770653514,0.004932182490752158,0.0004110152075626798,0.0
FROZEN_2025_VALIDATION,away_workload_uncertainty_outs,2433,0.009533174684124434,0.008913835186584507,0.057266698825293005,0.0011532878056740292,0.018590296223427685,0.0,0.0,0.0,0.0
FROZEN_2025_VALIDATION,home_bullpen_ra9,2433,0.06933461732363692,0.06064650769706503,0.29577987894582947,-0.0014645104190480359,0.1282846287049516,0.22564734895191121,0.026304973284011508,0.0,0.0
FROZEN_2025_VALIDATION,away_bullpen_ra9,2433,0.04366560526013257,0.039818262318375375,0.16310579949031379,0.0026763703938210647,0.08290117074296326,0.03986847513357994,0.0,0.0,0.0
FROZEN_2025_VALIDATION,home_bullpen_likely_available_reliever_count,2433,0.07819814032079808,0.06749128867454512,0.38932052139273843,0.00658285524570383,0.16078308136645278,0.32470201397451703,0.02055076037813399,0.0,0.0
FROZEN_2025_VALIDATION,away_bullpen_likely_available_reliever_count,2433,0.025269682442673892,0.022263060918538358,0.14949045543373707,-0.0018119017963280995,0.0522954965212552,0.006165228113440197,0.0,0.0,0.0
FROZEN_2025_VALIDATION,home_bullpen_recent_innings_burden,2433,0.005519641259254706,0.004671792266911723,0.026689589788482238,-0.00028530752894107795,0.011134442252637912,0.0,0.0,0.0,0.0
FROZEN_2025_VALIDATION,away_bullpen_recent_innings_burden,2433,0.047102311022983324,0.03910703639265911,0.32335753020966784,0.0009153874797510631,0.09765745193711481,0.09288943690916564,0.0004110152075626798,0.0,0.0
FROZEN_2025_VALIDATION,strict_prior_total_run_factor,2433,0.3217971314250789,0.2749064274444226,1.8198201018176903,0.05771571765495327,0.6367233321087225,0.729140978216194,0.5507603781339909,0.21002877106452938,0.03329223181257707
