population,metric,feature,family_size,unadjusted_two_sided_bootstrap_p,holm_adjusted_p,holm_significant_0_05,point_delta_ablation_minus_champion,fraction_draws_keeping_feature_better,interpretation
FROZEN_2025_VALIDATION,mae,league_total,22,0.0214,0.3424,False,-0.006854966870310476,0.0107,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,home_offense,22,0.4198,1.0,False,0.0012389423353874737,0.7901,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,home_prevention,22,0.0342,0.4788,False,-0.003412033678003494,0.0171,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,away_offense,22,0.8986,1.0,False,-0.00020092696756169532,0.4493,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,away_prevention,22,0.5332,1.0,False,-0.0008977667135100796,0.2666,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,home_starter_ra9,22,0.0078,0.1326,False,0.004143655184649651,0.9961,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,away_starter_ra9,22,0.8782,1.0,False,0.0001522056224585634,0.5609,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,home_starter_prior_starts,22,0.0036,0.0648,False,-0.014788531822836118,0.0018,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,away_starter_prior_starts,22,0.148,1.0,False,-0.0004862533969244626,0.074,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,home_expected_outs,22,0.0012,0.022799999999999997,True,0.005496147694630837,0.9994,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,away_expected_outs,22,0.0344,0.4788,False,-0.0024396444429245477,0.0172,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,home_workload_uncertainty_outs,22,0.6904,1.0,False,0.0006527672301342676,0.6548,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,away_workload_uncertainty_outs,22,0.3276,1.0,False,0.00023987283700757026,0.8362,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,home_bullpen_ra9,22,0.0536,0.6432,False,0.003067702601407982,0.9732,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,away_bullpen_ra9,22,0.4814,1.0,False,0.0006655505775151625,0.7593,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,home_bullpen_likely_available_reliever_count,22,0.0,0.0,True,-0.008254315635500156,0.0,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,away_bullpen_likely_available_reliever_count,22,0.025,0.375,False,0.0015754143204409108,0.9875,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,home_bullpen_recent_innings_burden,22,0.0734,0.7340000000000001,False,0.00026683849607076144,0.9633,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,away_bullpen_recent_innings_burden,22,0.1344,1.0,False,-0.0017575898780913507,0.0672,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,strict_prior_total_run_factor,22,0.001,0.02,True,0.027196686798763525,0.9995,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,park_history_depth,22,0.0,0.0,True,0.062338886098132006,1.0,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,mae,game_number,22,0.0628,0.6908,False,0.0011488315567950186,0.9686,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,league_total,22,0.0038,0.076,False,0.005302411811632632,0.9981,FWER sensitivity only; not sole screening interpretation
FROZEN_2025_VALIDATION,crps,home_offense,22,0.1238,1.0,False,0.0013918994475524476,0.9381,FWER sensitivity only; not sole screening interpretation
