population,date_min,date_max,games,date_clusters,source,outcome_completeness,feature_state_authority,bullpen_state,counterfactual_rows_mixed,row_identity_outcome_hash
FROZEN_2025_VALIDATION,2025-03-18,2025-09-30,2433,185,totals_core_feature_spine.csv plus independent retained residual spine,100% OFFICIAL FINAL,HISTORICALLY_FROZEN_GOVERNED_FEATURE_SPINE,HISTORICALLY_FROZEN,False,f629c77ce0c39a0873afad8e3c4d50f33e68c3ffd027697322030470a0844be8
2026_SEQUENTIAL_EARLY,2026-03-25,2026-06-30,1281,98,totals_core_feature_spine.csv plus independent retained residual spine,100% OFFICIAL FINAL,HISTORICALLY_FROZEN_GOVERNED_FEATURE_SPINE,HISTORICALLY_FROZEN,False,b4a38b93710a64b50fec2f8097b98321e15c18326ae0de9bf6539a364e0f3ca0
2026_LATE_HOLDOUT,2026-07-01,2026-08-05,439,33,totals_core_feature_spine.csv plus independent retained residual spine,100% OFFICIAL FINAL,HISTORICALLY_FROZEN_GOVERNED_FEATURE_SPINE,HISTORICALLY_FROZEN,False,3eef60ab36ad75f75d4bfdd41f459f3e9b3e435f834b88716e8cf0ec67588f24
PROSPECTIVE_AUG17_28_CLEAN_RAW,2026-08-17,2026-08-28,156,12,append-only totals shadow prediction/context/outcome ledgers,100% OFFICIAL FINAL,ORIGINAL_IMMUTABLE_PROSPECTIVE_CONTEXT_PAYLOAD,REPAIRED_AUTHORITATIVE_STRICT_PRIOR_STATE,False,7b9ccb01acc1ce3089779d62249f45aca7b2bbd7f92c6cfecf85418ecb8b85b6
