population,feature,variant,games,mae,rmse,actual_minus_forecast_bias,absolute_bias,mean_forecast,median_forecast,crps,governed_total_line_brier,governed_total_line_log_loss,governed_total_line_ece,mae_delta,rmse_delta,absolute_bias_delta,champion_mae,champion_rmse,champion_absolute_bias
FROZEN_2025_VALIDATION,UNALTERED_CHAMPION,DIRECT_NEGATIVE_BINOMIAL_RAW_V1,2433,3.5972066361665362,4.591661831793692,0.21504740002206743,0.21504740002206743,8.673156463520883,8.591585836811097,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374,0.0,0.0,0.0,,,
FROZEN_2025_VALIDATION,league_total,FROZEN_DIRECT_TERM_ABLATION,2433,3.5903516692962265,4.601249555820122,0.3628419797617706,0.3628419797617706,8.52536188378118,8.443727963693666,2.536898190425665,0.22776605497069774,0.6476973546091177,0.02789826549508132,-0.006854966870309731,0.009587724026429711,0.1477945797397032,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,home_offense,FROZEN_DIRECT_TERM_ABLATION,2433,3.5984455785019245,4.59497918949681,0.19645938919863015,0.19645938919863015,8.691744474344322,8.60415297474854,2.5329876780615845,0.22727575821756954,0.6465082626002896,0.015797260175654783,0.0012389423353882378,0.003317357703117807,-0.01858801082343728,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,home_prevention,FROZEN_DIRECT_TERM_ABLATION,2433,3.593794602488533,4.590686671039103,0.22469884082436256,0.22469884082436256,8.663505022718589,8.568018060968493,2.5309522554328137,0.22708973029247187,0.6461404774493268,0.01778999209151245,-0.0034120336780030236,-0.0009751607545886998,0.00965144080229513,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,away_offense,FROZEN_DIRECT_TERM_ABLATION,2433,3.5970057091989753,4.590044089902191,0.20125438647573093,0.20125438647573093,8.686949477067222,8.604506721723089,2.5307443145124817,0.2270785131088971,0.6460438660335878,0.014807501420894284,-0.00020092696756091044,-0.001617741891500657,-0.013793013546336497,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,away_prevention,FROZEN_DIRECT_TERM_ABLATION,2433,3.5963088694530265,4.591185372354564,0.23005416376218715,0.23005416376218715,8.658149699780765,8.578433087474567,2.5314621622862647,0.22719526016125982,0.6463065860345522,0.01724871023420983,-0.0008977667135097178,-0.0004764594391275523,0.015006763740119722,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,home_starter_ra9,FROZEN_DIRECT_TERM_ABLATION,2433,3.6013502913511872,4.594476341177159,0.2048246018446519,0.2048246018446519,8.6833792616983,8.602923593433962,2.5335090348181613,0.2274164097972122,0.6468062387550946,0.017334981883080247,0.004143655184650985,0.0028145093834668344,-0.010222798177415532,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,away_starter_ra9,FROZEN_DIRECT_TERM_ABLATION,2433,3.5973588417889952,4.591732810782124,0.2125160433649873,0.2125160433649873,8.675687820177963,8.602752816813574,2.5317078423900843,0.22718725927196148,0.64630399530768,0.01582729490100373,0.0001522056224589896,7.097898843166917e-05,-0.002531356657080125,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,home_starter_prior_starts,FROZEN_DIRECT_TERM_ABLATION,2433,3.5824181043437004,4.594545048971286,0.37939698405359473,0.37939698405359473,8.508806879489356,8.424012959917473,2.5324517589012525,0.22717157554116926,0.6463413154864754,0.02927439360220405,-0.014788531822835793,0.0028832171775938775,0.1643495840315273,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,away_starter_prior_starts,FROZEN_DIRECT_TERM_ABLATION,2433,3.596720382769612,4.592307086178285,0.2257004838195767,0.2257004838195767,8.662503379723374,8.583048095891128,2.531936255379957,0.22722209020461548,0.6463830129740993,0.017234299592708936,-0.0004862533969243188,0.0006452543845929526,0.01065308379750926,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,home_expected_outs,FROZEN_DIRECT_TERM_ABLATION,2433,3.6027027838611674,4.596407317770769,0.21379152832433646,0.21379152832433646,8.674412335218614,8.60174403476953,2.5348758726228975,0.22757886041446043,0.6471869293978464,0.016440447648270975,0.005496147694631137,0.004745485977077024,-0.0012558716977309758,3.5972066361665362,4.591661831793692,0.21504740002206743
