forecast,rows,brier,log_loss,mean_probability,observed_rate,ece,model_minus_forecast_brier,model_minus_forecast_log_loss
MODEL,2737,0.24406570752368253,0.6812155274645247,0.5548453093752059,0.5750822067957618,0.029602211638756835,0.0,0.0
BASELINE_A_STRICT_PRIOR_POPULATION,2737,0.24436306083463735,0.6818305611888376,0.5757135640313209,0.5750822067957618,0.0006313572355590713,-0.00029735331095481765,-0.000615033724312819
BASELINE_B_STRICT_PRIOR_HITTER_SHRUNK,2737,0.24622270221759296,0.6861552345706705,0.5868684052216456,0.5750822067957618,0.0517633692934333,-0.0021569946939104245,-0.004939707106145774
