probability_bin,rows,mean_prediction,observed_hit_rate,calibration_gap_predicted_minus_observed,current_model_upper_tail
<35%,0,,,,INSUFFICIENT_SAMPLE
35-39.99%,57,0.39083167582956746,0.5614035087719298,-0.17057183294236233,INSUFFICIENT_SAMPLE
40-44.99%,170,0.43286557198431713,0.4764705882352941,-0.04360501625097696,INSUFFICIENT_SAMPLE
45-49.99%,434,0.47532961829947956,0.5299539170506913,-0.05462429875121172,INSUFFICIENT_SAMPLE
50-54.99%,566,0.5252198303212494,0.5671378091872792,-0.04191797886602977,INSUFFICIENT_SAMPLE
55-59.99%,565,0.5676035294093327,0.5734513274336284,-0.005847798024295692,INSUFFICIENT_SAMPLE
60-64.99%,724,0.6200381522149387,0.6201657458563536,-0.0001275936414149026,INSUFFICIENT_SAMPLE
65-69.99%,190,0.671418538242805,0.6157894736842106,0.0556290645585944,INSUFFICIENT_SAMPLE
70-74.99%,30,0.708230341382497,0.6333333333333333,0.07489700804916366,INSUFFICIENT_SAMPLE
>=75%,1,0.759531869021303,1.0,-0.24046813097869701,INSUFFICIENT_SAMPLE
