date,resolved_rows,model_brier,population_brier,hitter_shrunk_brier,model_minus_population_brier,model_minus_hitter_shrunk_brier,model_log_loss,population_log_loss,hitter_shrunk_log_loss,model_minus_population_log_loss,model_minus_hitter_shrunk_log_loss
2026-08-03,94,0.25194207284215053,0.23962327483549073,0.25249609163233566,0.012318798006659804,-0.000554018790185129,0.6970790543992498,0.6722775196261809,0.6994672832677025,0.0248015347730689,-0.002388228868452691
2026-08-04,256,0.2404190621465493,0.24449381161742573,0.24975206440354353,-0.004074749470876438,-0.009333002256994238,0.6736213837852736,0.6820940894710328,0.6933996810593814,-0.008472705685759196,-0.019778297274107848
2026-08-05,266,0.25012093396487445,0.25402471902573875,0.25692281433529357,-0.0039037850608643065,-0.006801880370419122,0.6939397881216676,0.7013036391464488,0.7080293836520344,-0.0073638510247812095,-0.014089595530366816
2026-08-06,199,0.23753986021271006,0.23708950539875348,0.22929693856384756,0.0004503548139565827,0.008242921648862506,0.6682445626657417,0.6671707057861257,0.6513742735579553,0.0010738568796160308,0.01687028910778643
2026-08-07,268,0.2515323024789118,0.24443201183335164,0.2502365258179976,0.007100290645560142,0.001295776660914183,0.696294784436585,0.6819695319686626,0.6943413211135734,0.014325252467922378,0.001953463323011606
2026-08-08,262,0.2396572087694811,0.23954949192430214,0.23594388491986445,0.0001077168451789623,0.0037133238496166454,0.6721198890987259,0.6721288101238266,0.6650392505534379,-8.92102510074988e-06,0.007080638545287954
2026-08-09,261,0.2543868188738048,0.24499920328346336,0.25189505889255454,0.009387615590341458,0.0024917599812502855,0.7024171105424059,0.6831127066811656,0.6986372051676408,0.019304403861240216,0.0037799053747650246
2026-08-10,179,0.2380662058357598,0.24769590849008416,0.24864065902845683,-0.009629702654324362,-0.010574453192697036,0.6685199195246984,0.6885479176644717,0.6902196207537445,-0.020027998139773295,-0.021699701229046187
2026-08-11,260,0.24238014084254517,0.24757877534418268,0.2504240043943935,-0.005198634501637517,-0.00804386355184833,0.6781024140582511,0.6883118357377006,0.6951125650349544,-0.010209421679449493,-0.01701015097670333
2026-08-12,270,0.23867790872742925,0.2389073073269203,0.23913022896428673,-0.00022939859949105967,-0.0004523202368574841,0.6701200921258234,0.6708344866774113,0.6712159844229751,-0.0007143945515879491,-0.0010958922971517904
2026-08-13,168,0.25021006117666406,0.2494230801090482,0.25014466779509403,0.0007869810676158495,6.53933815700225e-05,0.6939905895216631,0.6920290331124636,0.6944674273610262,0.001961556409199594,-0.00047683783936303126
2026-08-14,254,0.23727790367279822,0.2426168082768363,0.2418784772584941,-0.005338904604038075,-0.004600573585695877,0.66699970672788,0.6783109880970203,0.6769364042717654,-0.01131128136914028,-0.009936697543885376
