through_date,date_clusters,resolved_rows,model_brier,population_brier,hitter_shrunk_brier,model_minus_population_brier,model_minus_hitter_shrunk_brier,model_log_loss,population_log_loss,hitter_shrunk_log_loss,model_minus_population_log_loss,model_minus_hitter_shrunk_log_loss
2026-08-03,1,94,0.25194207284215053,0.23962327483549073,0.25249609163233566,0.012318798006659804,-0.000554018790185129,0.6970790543992498,0.6722775196261809,0.6994672832677025,0.0248015347730689,-0.002388228868452691
2026-08-04,2,350,0.24351381359051077,0.24318572459599178,0.2504890317164191,0.0003280889945189991,-0.0069752181259083446,0.6799214438930271,0.6794576392841296,0.6950292656524734,0.0004638046088975001,-0.01510782175944625
2026-08-05,3,616,0.24636688829762235,0.2478661994633825,0.2532672560291149,-0.0014993111657601588,-0.006900367731492524,0.68597481980994,0.6888911392246766,0.7006429529704656,-0.002916319414736579,-0.01466813316052562
2026-08-06,4,815,0.24421157714560082,0.24523483490036269,0.2474143809670435,-0.0010232577547618638,-0.003202803821442668,0.6816455913784119,0.6835876223482696,0.6886129318623803,-0.0019420309698577887,-0.0069673404839684094
2026-08-07,5,1083,0.2460231693795134,0.2450361676963378,0.24811275106866462,0.0009870016831756145,-0.0020895816891512153,0.6852706917843124,0.6831872084777851,0.690030483403765,0.0020834833065273006,-0.0047597916194526135
2026-08-08,6,1345,0.2447831086510164,0.24396738773182228,0.2457423102277831,0.0008157209191941295,-0.0009592015767666828,0.6827089740864509,0.6810330818095791,0.6851623027295751,0.0016758922768718154,-0.0024533286431241974
2026-08-09,7,1606,0.2463438610595767,0.24413507382084987,0.24674222766334059,0.0022087872387268337,-0.00039836660376388333,0.6859118530497162,0.6813710532239529,0.6873521841345159,0.004540799825763386,-0.0014403310847996842
2026-08-10,8,1785,0.24551377686626394,0.24449215472045374,0.24693260257334387,0.001021622145810197,-0.0014188257070799348,0.6841677880071515,0.6820907499941785,0.6876397309999737,0.002077038012972987,-0.0034719429928221635
2026-08-11,9,2045,0.2451153683742508,0.24488458570439975,0.2473764971813991,0.00023078266985104845,-0.002261128807148294,0.6833966402190272,0.6828816948808855,0.6885898223687242,0.0005149453381417812,-0.005193182149696995
2026-08-12,10,2315,0.24436456314546381,0.2441874517251689,0.24641472939797776,0.00017711142029491755,-0.0020501662525139464,0.6818481875256515,0.6814766209219489,0.6865635000165202,0.00037156660370252226,-0.004715312490868762
2026-08-13,11,2483,0.2447600700601806,0.24454169480551188,0.24666709736040854,0.00021837525466872343,-0.0019070273002279314,0.6826697435205488,0.6821905980657292,0.6870982804409571,0.0004791454548195295,-0.004428536920408344
2026-08-14,12,2737,0.24406570752368253,0.24436306083463735,0.24622270221759296,-0.00029735331095481765,-0.0021569946939104245,0.6812155274645247,0.6818305611888376,0.6861552345706705,-0.000615033724312819,-0.004939707106145774
