excluded_date,resolved_rows,model_minus_population_brier,model_minus_population_log_loss,model_minus_hitter_shrunk_brier,model_minus_hitter_shrunk_log_loss,model_minus_population_brier_favors_model,model_minus_population_log_loss_favors_model,model_minus_hitter_shrunk_brier_favors_model,model_minus_hitter_shrunk_log_loss_favors_model
2026-08-03,2643,-0.000746054871248375,-0.001518990379157592,-0.002214005566006566,-0.0050304520756285775,True,True,True,True
2026-08-04,2481,9.241428958522979e-05,0.00019575387025771995,-0.0014165440948981645,-0.0034085990517330744,False,False,True,True
2026-08-05,2471,9.087446948868871e-05,0.00011146785477433863,-0.0016569786720765922,-0.003954733281442024,False,False,True,True
2026-08-06,2538,-0.00035597975573706253,-0.0007474565888447859,-0.0029724333669646774,-0.00664978955160378,True,True,True,True
2026-08-07,2469,-0.0011003377501391243,-0.0022367415815504055,-0.002531779109905874,-0.005687932976949472,True,True,True,True
2026-08-08,2475,-0.00034023346485667627,-0.0006791959575226381,-0.0027784183134676177,-0.006212163898338008,True,True,True,True
2026-08-09,2476,-0.001318264814685971,-0.002714780578040532,-0.0026470290114455064,-0.005858858502558517,True,True,True,True
2026-08-10,2558,0.0003556922451292688,0.0007434184376757802,-0.0015679700374277017,-0.0037669006370296687,False,False,True,True
2026-08-11,2477,0.00021711302314991743,0.00039204777279455705,-0.0015390754758790037,-0.003672724705522157,False,False,True,True
2026-08-12,2467,-0.000304790591901416,-0.000604159211396782,-0.0023435622267049816,-0.005360392148070492,True,True,True,True
2026-08-13,2569,-0.0003682634610520652,-0.0007835300818179736,-0.0023023279740507774,-0.005231556867461351,True,True,True,True
2026-08-14,2483,0.00021837525466872343,0.0004791454548195295,-0.0019070273002279314,-0.004428536920408344,False,False,True,True
