slate_date,admitted_sides,identity_rejects,name_only,ambiguous,cross_game,doubleheader_reuse,decision
2026-07-29,3016,0,0,0,0,0,CERTIFIED_PROSPECTIVE
2026-07-30,840,0,0,0,0,0,CERTIFIED_PROSPECTIVE
2026-07-31,2056,0,0,0,0,0,CERTIFIED_PROSPECTIVE
