player_id,game_id,game_date,line,p_over_raw,y_over
8471214,2025020038,2025-10-12,0.5,0.182787206305608,1
8475343,2025020038,2025-10-12,0.5,0.119091617141327,1
8475842,2025020038,2025-10-12,0.5,0.155934869059268,1
8476459,2025020038,2025-10-12,0.5,0.178939375428032,1
8476468,2025020038,2025-10-12,0.5,0.20258424169742,1
8476880,2025020038,2025-10-12,0.5,0.205532824852327,1
8477380,2025020038,2025-10-12,0.5,0.101568947927736,0
8477839,2025020038,2025-10-12,0.5,0.164003673800324,1
8477947,2025020038,2025-10-12,0.5,0.0727022420132746,1
8478440,2025020038,2025-10-12,0.5,0.124515132271459,1
8478463,2025020038,2025-10-12,0.5,0.161453778356108,1
8478550,2025020038,2025-10-12,0.5,0.168608920806542,1
8479390,2025020038,2025-10-12,0.5,0.151443583801432,1
8479400,2025020038,2025-10-12,0.5,0.196256247151667,0
8479520,2025020038,2025-10-12,0.5,0.10723005914807,1
8481580,2025020038,2025-10-12,0.5,0.172210796726658,1
8481656,2025020038,2025-10-12,0.5,0.149768001997457,1
8481726,2025020038,2025-10-12,0.5,0.123488698682904,0
8483485,2025020125,2025-10-24,0.5,0.18375195374834,1
8482088,2025020038,2025-10-12,0.5,0.184508728248082,1
8482109,2025020038,2025-10-12,0.5,0.171959845605608,1
8480043,2025020124,2025-10-24,1.5,0.296981714351571,0
8482157,2025020038,2025-10-12,0.5,0.148827090168602,1
8482460,2025020038,2025-10-12,0.5,0.166793541567085,0
8482516,2025020189,2025-11-01,0.5,0.108864710882299,1
8482703,2025020229,2025-11-07,1.5,0.241812533971182,1
8483450,2025020229,2025-11-07,1.5,0.166709446091451,0
8483493,2025020229,2025-11-07,1.5,0.30223175109008,0
8483609,2025020229,2025-11-07,1.5,0.141513272206934,0
8484144,2025020229,2025-11-07,1.5,0.409046272789783,1
8484180,2025020229,2025-11-07,1.5,0.999279376751247,0
8484197,2025020229,2025-11-07,1.5,0.185191962263837,1
8471817,2025020230,2025-11-07,1.5,0.226390579112011,0
8473604,2025020230,2025-11-07,1.5,0.0714117844457912,1
8475726,2025020230,2025-11-07,1.5,0.452977280726402,0
8475784,2025020230,2025-11-07,1.5,0.419783552729926,0
8475799,2025020230,2025-11-07,1.5,0.51569645404247,1
