player_id,game_id,team_id,opponent_id,is_home,game_date,season,lambda_sog,p_over_0.5,fair_american_0.5,p_over_1.5,fair_american_1.5,p_over_2.5,fair_american_2.5,p_over_3.5,fair_american_3.5
8474149,2025020436,1,54,1.0,2025-12-05,2025,1.2968190068683692,0.7265999049049241,-266,0.37204946510601,169,0.14215559049362436,603,0.04277867510697264,2238
8475191,2025020436,54,1,0.0,2025-12-05,2025,1.4656342626748373,0.7690685261973822,-333,0.43060744586226896,132,0.18257736790172763,448,0.061403574424100826,1529
8475913,2025020436,54,1,0.0,2025-12-05,2025,1.6066945000879445,0.7994505642109072,-399,0.47722888873283154,110,0.21837299183295822,358,0.07973887654483869,1154
8476292,2025020436,1,54,1.0,2025-12-05,2025,1.1924537182699102,0.6965242941380703,-230,0.33464356027842646,199,0.11888054694783845,741,0.03311807777744513,2919
8476438,2025020436,54,1,0.0,2025-12-05,2025,1.6688426383755794,0.8115349383057723,-431,0.497016407506361,101,0.2345754401277107,326,0.08858454798836868,1029
8476448,2025020436,54,1,0.0,2025-12-05,2025,1.4937808538968709,0.7754778367368487,-345,0.44009092797884586,127,0.1895936565036651,427,0.06486431380932123,1442
8476474,2025020436,1,54,1.0,2025-12-05,2025,1.9972940943110855,0.8642980163459397,-637,0.5932612458073856,-146,0.32259117523848424,210,0.14238859742047372,602
8476822,2025020436,1,54,1.0,2025-12-05,2025,1.0266112172207127,0.6417811681662995,-179,0.27402969718612247,265,0.0852608045572889,1073,0.02066338367892462,4739
8476881,2025020436,54,1,0.0,2025-12-05,2025,1.6516373680568788,0.8082642904649782,-422,0.49158642780603645,103,0.23006793200409037,335,0.0860900253025837,1062
8476925,2025020436,54,1,0.0,2025-12-05,2025,1.1056212456928618,0.6689948171904818,-202,0.3030284546418289,230,0.10071836182046534,893,0.026158916206667215,3723
8477015,2025020436,1,54,1.0,2025-12-05,2025,1.551768331578311,0.7881270193139842,-372,0.4593492375683219,118,0.2042557626485797,390,0.0723071039910057,1283
8477964,2025020436,54,1,0.0,2025-12-05,2025,1.4552331873414583,0.7666540557639671,-329,0.42708129358016267,134,0.1800025170566223,456,0.060150105228362394,1563
8477996,2025020436,1,54,1.0,2025-12-05,2025,1.154498661432522,0.6847844730024077,-217,0.3208685690209405,212,0.11079835701063545,803,0.02995643081972099,3238
8478403,2025020436,54,1,0.0,2025-12-05,2025,1.7291160416683595,0.8225588087149933,-464,0.5157423984113443,-107,0.25048180995977387,299,0.0975930303884408,925
8478414,2025020436,1,54,1.0,2025-12-05,2025,2.2797068846829633,0.8976858078223988,-877,0.6644394395143457,-198,0.39857276368476224,151,0.19654006658593726,409
8478434,2025020436,54,1,0.0,2025-12-05,2025,1.1107785944563793,0.6706975318400159,-204,0.3049153991062522,228,0.10176391746861879,883,0.02654514505689165,3667
8478483,2025020436,54,1,0.0,2025-12-05,2025,1.48973085120637,0.7745666775183547,-344,0.43873170212749324,128,0.18857984025054397,430,0.06436019154227535,1454
8479353,2025020436,54,1,0.0,2025-12-05,2025,1.3533856578559307,0.741635954060555,-287,0.39196975978047965,155,0.1553531535926198,544,0.04860864651755503,1957
8479407,2025020436,1,54,1.0,2025-12-05,2025,2.0756349259523126,0.8745232662386113,-697,0.6140793752490532,-159,0.34378615705463145,191,0.1567761424105012,538
8479772,2025020436,1,54,1.0,2025-12-05,2025,1.231938807389537,0.7082735723234039,-243,0.34888446492748804,187,0.12751177075043063,684,0.036605899799399655,2632
8479996,2025020436,1,54,1.0,2025-12-05,2025,1.26932404501931,0.7189784845155761,-256,0.36227111774343057,176,0.1358824989037274,636,0.04009565976641183,2394
8480002,2025020436,1,54,1.0,2025-12-05,2025,2.0444290401352485,0.8705459180341855,-672,0.6058862334992253,-154,0.33534726109107227,198,0.1509813505312133,562
8481032,2025020436,1,54,1.0,2025-12-05,2025,1.2105647326564861,0.7019710747698504,-236,0.34118776857471456,193,0.12281199526919562,714,0.03469265872577931,2782
